Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
hockey,france,ligue-magnus,Angers - Chamonix Mont-Blanc,5,4,200,44,3311,0,1,47903,2,99170,21,1.46,5.43,4.36,0,0,0,1,0.7106554230598614,0.08164547318999468
soccer,jamaica,premier-league-2017-2018,Tivoli - Harbour View,9,8,222,66,0,-1,1,0,0,0,0,2.27,3.12,2.88,0,0,0,0,0.3753403549399864,0.08068957896828194
soccer,europe,uefa-youth-league,Shakhtyor Soligorsk U19 - FK Liepaja U19,9,8,196,40,2168,4,1,90775,90,0,0,1.81,3.78,3.48,0,0,0,2,0.3440513808679825,0.07955596992765286
soccer,europe,uefa-youth-league,Shkendija U19 - Nitra U19,9,8,196,40,2168,4,2,0,0,67389,4,2.86,3.66,2.09,0,0,0,1,0.39482259307979684,0.06945839581087036
baseball,japan,npb,Hanshin Tigers - Yokohama Baystars,8,7,223,67,3452,0,2,80990,11,80980,1,1.98,0.0,1.92,0,0,0,1,0.537698036619511,0.06596133929248128
hockey,czech-republic,extraliga,Olomouc - Chomutov,5,4,187,31,3257,0,2,77689,10,44258,24,2.46,4.09,2.38,0,0,0,2,0.4511247641940333,0.053389086073767585
basketball,argentina,torneo-super-20,Regatas - Comunicaciones Mercedes,7,6,160,4,3877,2,1,67603,1,97536,4,1.24,0.0,3.85,0,0,0,1,0.816736212477484,0.0531370978003339
hockey,finland,liiga,KooKoo - Ilves,5,4,199,43,3306,0,1,78341,15,47440,9,2.3,4.09,2.56,0,0,0,2,0.4150831139662123,0.04013639214968169
hockey,finland,liiga,Hameenlinna - KalPa,5,4,199,43,3306,0,1,47456,25,77893,10,2.01,3.94,3.12,0,0,0,1,0.5155609001285942,0.03591822698858846
american-football,usa,nfl,Tennessee Titans - Indianapolis Colts,1,0,293,137,3487,0,1,81335,33,81325,23,1.32,0.0,3.48,0,0,0,1,0.7662809819182713,0.035909050412869646
hockey,switzerland,national-league,EHC Kloten - Lugano,5,4,284,128,3380,0,2,77990,17,39886,5,3.49,4.6,1.76,0,0,0,2,0.5835872492391057,0.035675735080034195
hockey,czech-republic,extraliga,Trinec - Kometa Brno,5,4,187,31,3257,0,1,44184,1,77683,4,2.09,4.46,2.71,0,0,0,1,0.4933105423581849,0.028457828925326834
hockey,denmark,metal-ligaen,Frederikshavn - Herning Blue Fox,5,4,188,32,3266,0,1,45142,136,77844,6,2.32,4.33,2.39,0,0,0,1,0.4465847785656332,0.02733082293353713
baseball,dominican-republic,lidom,Gigantes del Cibao - Leones del Escogido,8,7,189,33,3444,0,1,80929,2,80930,3,1.78,0.0,2.04,0,0,0,1,0.57168766018188,0.022569275799674753
basketball,europe,champions-league,Venezia - AEK Athens,7,6,196,40,2853,3,1,52031,65,68503,8,1.32,0.0,3.29,0,0,0,1,0.7626915431617648,0.021102615542280264
handball,germany,dhb-pokal,Erlangen - Goppingen,6,5,204,48,3149,2,1,49479,5,74292,0,1.89,8.15,2.28,0,0,0,1,0.5382058824446866,0.019336087438716454
soccer,europe,euro-u17,Poland U17 - San Marino U17,9,8,196,40,2171,7,1,46630,31,90800,49,1.01,16.5,35.83,0,0,0,1,0.9902883003922973,0.01911833962202623
hockey,russia,khl,Din. Minsk - Nizhny Novgorod,5,4,266,110,3341,0,2,41911,15,68396,20,2.56,3.78,2.46,0,0,0,1,0.3967755407688741,0.010093195107895987
hockey,russia,vhl,Nizhny Tagil - Penza,5,4,266,110,3342,1,2,78900,7,58971,8,2.61,4.05,2.21,0,0,0,2,0.4524095182031414,-0.00014459898434503743
hockey,switzerland,national-league,Langnau Tigers - Zurich,5,4,284,128,3380,0,2,78285,14,46220,89,3.58,4.75,1.69,0,0,0,2,0.5904018114886602,-0.003218751571252577
baseball,venezuela,lvbp,Margarita - Zulia,8,7,299,143,3464,0,2,64916,7,64889,10,1.99,0.0,1.82,0,0,0,1,0.5006989517331527,-0.003645541465682997
basketball,europe,eurocup,Torino - MoraBanc Andorra,7,6,196,40,2852,2,1,46295,56,71214,5,1.55,0.0,2.41,0,0,0,1,0.64385591097571,-0.0036787963411807644
baseball,usa,mlb,New York Yankees - Houston Astros,8,7,293,137,3460,0,1,80991,12,81099,26,1.73,0.0,2.18,0,0,0,1,0.575752351213813,-0.005408811506991183
baseball,south-korea,kbo,Doosan Bears - NC Dinos,8,7,279,123,3458,0,1,81067,9,81064,6,1.62,0.0,2.42,0,0,0,1,0.6146020211843214,-0.007007622066773095
volleyball,brazil,superliga-women,Pinheiros W - Volei Bauru W,2,1,175,19,3649,1,1,83717,6,83716,5,1.92,0.0,1.92,0,0,1,1,0.5113447974027281,-0.019802161942132697
soccer,uganda,premier-league,Kampala City - Bright Stars,9,8,294,138,2697,0,1,39158,173,64512,14,1.54,3.29,6.6,0,0,0,1,0.6404440553126333,-0.025400286701008724
hockey,canada,qmjhl,Halifax Mooseheads - Moncton Wildcats,5,4,180,24,3251,2,1,77651,9,77657,15,2.35,4.7,2.38,0,0,0,1,0.40826084190578,-0.03006446038623483
baseball,cuba,serie-nacional,Matanzas - Pinar del Rio,8,7,308,152,3442,0,1,80906,2,80910,6,1.67,0.0,2.2,0,0,0,1,0.5864329794625378,-0.03083123029486857
soccer,england,league-one,AFC Wimbledon - Rotherham,9,8,193,37,2148,2,2,45408,4,45364,18,2.97,3.29,2.41,0,0,0,2,0.39491426452270023,-0.03422455496474637
soccer,russia,division-2-center,FK Strogino Moscow - Saturn Ramenskoye,9,8,266,110,2539,4,2,58998,11,46798,1,2.79,3.31,2.23,0,0,0,2,0.4285158126938685,-0.0361054777989213
soccer,england,league-two,Barnet - Mansfield,9,8,193,37,2149,3,2,45483,10,45481,8,3.02,3.32,2.34,0,0,0,2,0.40667372421475106,-0.03610707861006165
soccer,romania,liga-2,Targu Mures - AFC Hermannstadt,9,8,265,109,2529,1,2,58494,2,0,0,6.83,4.08,1.38,0,0,0,2,0.714527605866378,-0.036715536590522346
hockey,czech-republic,extraliga,Zlin - Vitkovice,5,4,187,31,3257,0,1,44164,9,44194,11,2.07,4.2,2.85,0,0,0,1,0.46399120467171756,-0.03695159470050911
soccer,slovenia,slovenian-cup,Triglav - ND Gorica,9,8,276,120,2587,2,2,60237,12,46827,30,3.44,3.35,1.94,0,1,0,2,0.49734038931606395,-0.037403877368974436
soccer,england,league-two,Exeter - Luton,9,8,193,37,2149,3,2,45451,47,45396,50,3.09,3.42,2.27,0,0,0,2,0.41938954146024515,-0.03778404794113665
