Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,europe,champions-league-women,Medyk Konin W - Lyon W,9,8,196,40,2196,32,2,47089,17,47072,0,35.2,18.2,1.01,0,0,1,2,0.9974428189771842,0.7417247166956014
hockey,austria,alps-hockey-league,HK Olimpija - Klagenfurt II,5,4,165,9,3246,1,1,0,0,77570,29,1.07,12.5,13.25,0,0,0,1,0.9506079940441937,0.24500790896124758
basketball,argentina,torneo-super-20,Boca Juniors - Hispano Americano,7,6,160,4,3877,2,1,39721,9,97531,25,1.55,0.0,2.37,0,0,0,1,0.7278941676344916,0.2331562906062944
basketball,south-america,south-american-league,Cimarrones del Choco - Hebraica y Macabi,7,6,278,122,3003,1,2,0,0,71126,2,2.48,0.0,1.49,0,0,0,1,0.5024434939422915,0.16625666552492083
handball,spain,liga-asobal,Barcelona - Benidorm,6,5,280,124,3198,0,1,46135,4,61495,103,1.01,27.0,26.56,0,0,0,1,0.9916887438402606,0.16056312786631985
basketball,austria,abl,Furstenfeld - Traiskirchen Lions,7,6,165,9,2818,0,2,41778,141,67909,5,2.09,0.0,1.72,0,0,0,1,0.5388348216742407,0.11574750210932384
hockey,russia,mhl,Serebryanye Lvi - Kunlun Junior,5,4,266,110,3343,2,1,99217,34,0,0,2.12,4.19,2.75,0,0,0,2,0.4271926405977508,0.09987414951075126
soccer,romania,romanian-cup,Industria Galda - AFC Hermannstadt,9,8,265,109,2532,4,2,91688,146,0,0,3.53,3.65,1.83,0,1,0,2,0.5886999909325075,0.09315781133311896
hockey,russia,vhl,Zvezda Chekhov - Tyumen,5,4,266,110,3342,1,2,99207,30,58873,18,2.54,4.02,2.28,0,0,0,2,0.479627401453301,0.07308630883869228
soccer,europe,euro-u19,Italy U19 - Moldova U19,9,8,196,40,2170,6,1,46565,10,90791,48,1.13,7.09,15.01,0,0,0,1,0.8930479325191095,0.07033972112764358
soccer,europe,champions-league-women,Gintra W - Zurich W,9,8,196,40,2196,32,2,90851,136,47086,14,6.56,4.35,1.39,0,0,1,2,0.7346990619480092,0.05444024643008352
