Sport,Country,League,Participants,Home Odd,Draw Odd,Away Odd,Link
soccer,costa-rica,primera-division,Zeledon - Liberia,1.33,6.5,11.5,http://www.oddsportal.com/soccer/costa-rica/primera-division/zeledon-liberia-zgFtdsdh/
soccer,bangladesh,premier-league,Farashganj - Sheikh Jamal,9.5,6.5,1.53,http://www.oddsportal.com/soccer/bangladesh/premier-league/farashganj-sheikh-jamal-ttDs4gyn/
