Sport,Country,League,Season,Participants,WinningOdd,Bet
soccer,germany,regionalliga-sudwest,2018,Worms - Saarbrucken,1.51,2
soccer,peru,primera-division,2018,FBC Melgar - Alianza Atl.,1.29,1
soccer,world,world-cup-women,2018,Iceland W - Faroe Islands W,1.01,1
soccer,italy,serie-b,2018,Avellino - Venezia,2.42,1
soccer,england,northern-premier-league,2018,Shaw Lane - Workington,2.06,1
soccer,france,ligue-2,2018,Lens - Quevilly Rouen,1.79,1
soccer,italy,serie-c-group-b,2018,Padova - Vicenza,2.38,1
soccer,spain,laliga,2018,Espanyol - Celta Vigo,2.38,1
soccer,uruguay,primera-division,2018,Boston River - Sisley,1.83,1
soccer,uruguay,primera-division,2018,Sud America - Juventud,2.14,1
soccer,world,friendly-international-women,2018,France W - Spain W,1.68,1
soccer,portugal,primeira-liga,2018,Chaves - Moreirense,2.12,1
soccer,peru,primera-division,2018,Cajamarca - Comerciantes Unidos,1.78,1
soccer,argentina,superliga,2018,Gimnasia L.P. - Huracan,2.11,1
soccer,brazil,serie-a,2018,Palmeiras - Coritiba,1.47,1
soccer,colombia,torneo-aguila,2018,Cartagena - Cucuta,2.03,1
soccer,paraguay,primera-division,2018,Dep. Capiata - Libertad Asuncion,1.76,2
soccer,brazil,serie-c,2018,Tombense - CSA,2.15,1
basketball,world,club-friendly,2018,Flamengo (Bra) - Weber Bahia (Arg) ,1.57,1
handball,sweden,handbollsligan,2018,Ricoh - Hammarby,1.5,1
handball,sweden,handbollsligan,2018,Guif - Savehof,2.05,1
handball,sweden,handbollsligan,2018,Alingsas - Skovde,1.24,1
handball,denmark,888ligaen,2018,Tonder - Holstebro,1.3,2
hockey,russia,mhl,2018,Ladya - Avto,1.87,2
hockey,russia,mhl,2018,Tayfun - Russkie Vityazi,2.25,1
hockey,russia,mhl,2018,Amurskie Tigry - Kapitan,1.57,1
hockey,russia,mhl,2018,Irbis - Tolpar,1.9,1
hockey,russia,vhl,2018,Heilongjiang - SKA Neva St. Petersburg,1.52,2
hockey,russia,vhl,2018,Tseng Tou - Dinamo St. Petersburg,1.48,2
hockey,kazakhstan,championship,2018,Nomad Astana - Beibarys Atyrau,2.4,1
hockey,russia,mhl,2018,Belye Medvedi - Stalnye Lisy,2.03,2
hockey,russia,khl,2018,Salavat Ufa - Cherepovets,1.45,1
hockey,russia,vhl,2018,Perm - Bars,1.61,1
hockey,russia,vhl,2018,Toros Neftekamsk - CSK VVS,1.22,1
hockey,russia,mhl,2018,Loko - Krylya Sovetov,1.45,1
hockey,russia,mhl,2018,Almaz - MHC Spartak,2.07,2
hockey,russia,mhl,2018,Serebryanye Lvi - SKA-1946,1.73,2
hockey,russia,mhl,2018,HC Riga - Krasnaya Armiya,1.53,2
hockey,czech-republic,wsm-liga,2018,Usti nad Labem - Karlovy Vary,2.04,2
hockey,russia,mhl,2018,Kunlun Junior - Dinamo St. Petersburg,1.43,2
hockey,russia,khl,2018,Bars Kazan - Dinamo Riga,1.44,1
hockey,sweden,hockeyettan-ostra,2018,Huddinge - Nykopings,1.06,1
hockey,sweden,hockeyettan-sodra,2018,Halmstad - Tranas,1.72,2
hockey,hungary,erste-liga,2018,DVTK - Vienna Capitals II,1.25,1
hockey,usa,nhl,2018,New Jersey Devils - Washington Capitals,2.1,2
hockey,usa,nhl,2018,Boston Bruins - Montreal Canadiens,2.25,1
hockey,usa,nhl,2018,New York Rangers - New York Islanders,2.05,1
hockey,usa,nhl,2018,Buffalo Sabres - Carolina Hurricanes,2.2,1
