handball,world,club-friendly,CSM Focsani (Rou) - Constanta (Rou) ,5.84,11.38,1.17
handball,europe,european-championship-u17-women,Russia U17 W - Netherlands U17 W,1.22,13.00,5.43
handball,world,club-friendly-women,Nice W - Slavia Prague W,1.06,18.00,9.10
handball,world,world-championship-u19,Denmark U19 - Norway U19,1.33,10.44,3.97
handball,world,world-championship-u19,Argentina U19 - South Korea U19,3.99,10.46,1.34
handball,europe,european-championship-u17-women,Germany U17 W - Austria U17 W,1.11,15.17,8.87
handball,europe,european-championship-u17-women,Romania U17 W - Czech Republic U17 W,1.15,15.00,7.07
handball,world,club-friendly-women,Besancon W - Dijon W,1.38,10.00,3.58
handball,world,world-championship-u19,Sweden U19 - France U19,7.40,15.06,1.12
handball,world,world-championship-u19,Brazil U19 - Croatia U19,4.48,11.93,1.27
handball,europe,european-championship-u17-women,Serbia U17 W - Slovakia U17 W,4.62,12.00,1.29
handball,world,world-championship-u19,Egypt U19 - Bahrain U19,1.23,12.09,5.01
handball,world,club-friendly,Besiktas (Tur) - Ohrid (Mac) ,1.26,11.00,4.46
