Sport,Country,League,Participants,Odds
rugby-union,new-zealand,heartland-championships,Wanganui - Wairarapa,1.18,24.00,4.80
rugby-union,new-zealand,heartland-championships,King Country - West Coast,1.14,26.00,5.50
rugby-union,new-zealand,heartland-championships,Horowhenua - North Otago,2.80,21.00,1.44
rugby-union,new-zealand,heartland-championships,East Coast - Thames Valley,13.00,28.00,1.02
rugby-union,new-zealand,mitre-10-cup,Auckland - Northland,1.11,31.97,6.09
rugby-union,japan,top-league,Green Rockets - Red Sparks,1.33,21.00,3.40
rugby-union,world,rugby-championship,New Zealand - Australia,1.02,44.12,15.14
rugby-union,world,world-cup-women,Japan W - Hong Kong W,1.02,30.04,12.88
rugby-union,world,world-cup-women,Australia W - Canada W,4.11,19.13,1.25
rugby-union,south-africa,currie-cup,Cheetahs - Lions,1.18,24.33,4.72
rugby-union,france,top-14,Montpellier Herault RC - Agen,1.02,39.60,15.65
rugby-union,france,top-14,Stade Francais Paris - Lyon,1.42,21.02,2.91
rugby-union,france,top-14,Racing 92 - Castres Olympique,1.16,28.62,5.19
rugby-union,world,world-cup-women,Ireland W - Wales W,1.16,20.67,5.37
rugby-union,world,world-cup-women,France W - USA W,1.11,23.00,6.48
rugby-union,world,rugby-championship,Argentina - South Africa,3.24,23.43,1.35
