Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,usa,nba,&nbsp;Charlotte Hornets - Orlando Magic,7,6,293,137,3026,0,1,71556,17,71564,25,0.0,0.0,0.0,0,0,0,1,0.5855566856172041,1.0
basketball,usa,nba,&nbsp;Atlanta Hawks - Milwaukee Bucks,7,6,293,137,3026,0,1,71549,10,71551,12,0.0,0.0,0.0,0,0,0,1,0.5855499885969973,1.0
hockey,kazakhstan,championship,HC Astana - Nomad Astana,5,4,225,69,3329,0,1,78743,9,78734,0,0.0,0.0,0.0,0,0,0,1,0.6256727491922969,1.0
basketball,china,cba,Shandong - Shanxi Zhongyu,7,6,182,26,2835,0,1,68129,6,68139,16,0.0,0.0,0.0,0,0,0,1,0.618045188136868,1.0
handball,poland,superliga-women,Start Elblag W - Koscierzyna W,6,5,262,106,3181,2,1,75976,6,75973,3,1.01,19.5,41.25,0,0,1,1,0.9930988076357644,0.3029795712122138
volleyball,italy,serie-a2,Taviano - Cantu,2,1,220,64,3733,1,1,0,0,68403,27,1.49,0.0,2.52,0,0,0,1,0.765823438915325,0.28791208976292715
volleyball,italy,serie-a2,Gioia del Colle - Brescia,2,1,220,64,3733,1,1,0,0,51958,31,1.54,0.0,2.4,0,0,0,1,0.733005515167246,0.23857128399547914
rugby-union,england,greene-king-ipa-championship,Doncaster - Cornish Pirates,3,2,193,37,3517,1,1,45381,35,81840,4,1.27,22.2,3.86,0,0,0,1,0.8370500790256175,0.23353185319457093
volleyball,germany,1-bundesliga,&nbsp;Solingen - Alpenvolleys Haching,2,1,204,48,3716,0,2,85342,6,0,0,11.75,0.0,1.03,0,0,0,2,0.977237605334083,0.21849111647017988
volleyball,belgium,euromillions-league,Waremme - Prefaxis Menen,2,1,170,14,3644,0,2,42110,8,84457,82,2.44,0.0,1.5,0,0,0,1,0.5378033478538705,0.21683345053016942
volleyball,turkey,division-1,&nbsp;Galatasaray - Besiktas,2,1,292,136,3809,0,1,46172,41,46158,27,1.01,0.0,21.0,0,0,0,1,0.992093338084135,0.20142714649764565
hockey,united-kingdom,elite-league,Guildford Flames - Dundee,5,4,307,151,3392,0,1,0,0,79915,3,1.77,5.1,3.18,0,0,0,1,0.6440513415435339,0.18178035653513655
soccer,russia,premier-league,&nbsp;Krasnodar - SKA Khabarovsk,9,8,266,110,2535,0,1,46254,15,58823,3,1.23,5.66,14.99,0,0,0,1,0.8438755052476754,0.16507335415061236
soccer,spain,laliga,&nbsp;Girona - Real Madrid,9,8,280,124,2613,0,2,61337,11,46132,1,11.0,6.44,1.26,0,0,0,2,0.8237898362855867,0.14605843738399674
soccer,italy,serie-a,&nbsp;Benevento - Lazio,9,8,220,64,2342,0,2,51966,0,46225,94,11.78,5.73,1.28,0,0,0,2,0.8129124344736136,0.14474255759366259
basketball,italy,a2-east,Orzi Basket - Udine,7,6,220,64,2938,2,1,0,0,70074,26,1.83,0.0,1.83,0,0,0,1,0.607750126953223,0.13515991846313014
volleyball,italy,serie-a1,&nbsp;Monza - Vibo Valentia,2,1,220,64,3732,0,1,52080,47,85696,10,1.51,0.0,2.49,0,0,0,1,0.7036871255638697,0.12268148941459456
volleyball,brazil,superliga,SESC-RJ - Corinthians/Guarulhos,2,1,175,19,3648,0,1,0,0,0,0,1.25,0.0,3.67,0,0,0,1,0.8233752444911555,0.11687622245577778
soccer,italy,serie-d-group-f,ASD Pineto Calcio - Fabriano Cerreto,9,8,220,64,2353,11,1,91371,167,0,0,1.74,3.42,4.29,0,0,0,0,0.3687184873045853,0.107858358091604
volleyball,turkey,division-1,Maliye Piyango - Afyon Bld. Yuntas,2,1,292,136,3809,0,1,71466,11,86866,8,1.4,0.0,3.05,0,0,0,1,0.7414124560567429,0.09494359619860007
