Sport,Country,League,Participants,Bet,HomeOdd,DrawOdd,AwayOdd,ProbaLeague,Kelly,Probability,Prediction
soccer,northern-ireland,nifl-premiership,Ards - Glentoran,2,2.98,3.49,2.15,0.5689655172413793,0.13793103448275867,0.4463609217014599,2
american-football,usa,ncaa,Florida State - Miami (FL),2,2.19,0.0,1.68,0.655367231638418,0.08097928436911482,0.5533068952064716,2
american-football,usa,ncaa,South Carolina - Arkansas,2,2.18,0.0,1.67,0.655367231638418,0.08097928436911482,0.5529208667338561,2
soccer,turkey,spor-toto-2-lig-white-group,Karsiyaka - Pendikspor,1,1.91,3.3,3.53,0.5864197530864198,0.06944444444444448,0.4674591077759722,1
soccer,australia,a-league,Central Coast Mariners - Newcastle Jets,1,2.47,3.46,2.76,0.4380952380952381,0.03673469387755099,0.369090814290083,1
soccer,germany,regionalliga-bayern,Burghausen - SpVgg Bayreuth,1,2.14,3.51,3.0,0.5163398692810458,0.03267973856209161,0.4209540048149187,1
soccer,germany,regionalliga-bayern,Garching - Furth II,1,2.13,3.51,3.02,0.5163398692810458,0.03267973856209161,0.4227802172720334,1
hockey,canada,whl,Prince George Cougars - Kelowna Rockets,1,2.22,4.47,2.48,0.4633620689655173,0.016163793103448433,0.43382210302333707,1
hockey,canada,whl,Spokane Chiefs - Portland Winterhawks,1,2.24,4.33,2.43,0.4633620689655173,0.016163793103448433,0.426674520044134,1
soccer,germany,oberliga-schleswig-holstein,VfR Neumunster - Frisia Risum-Lindholm,1,1.4,5.0,5.0,0.71875,0.01562499999999967,0.6350877413119677,1
soccer,poland,division-2,Kluczbork - ROW Rybnik,1,2.0,3.27,3.23,0.5076923076923077,0.01538461538461533,0.4485884656466769,1
soccer,england,vanarama-national-league-north,Southport - Spennymoor,2,2.74,3.51,2.27,0.4628378378378378,0.01520270270270259,0.3976510905274562,2
