Sport,Country,League,Participants,Odds
basketball,usa,wnba,Connecticut Sun W - Chicago Sky W,1.19,4.85
basketball,usa,wnba,New York Liberty W - Washington Mystics W,1.41,2.95
basketball,usa,wnba,San Antonio Stars W - Minnesota Lynx W,7.20,1.10
basketball,asia,southeast-asian-games,Myanmar - Laos,2.95,1.36
basketball,world,americup,Brazil - Colombia,1.14,5.51
basketball,asia,southeast-asian-games-women,Indonesia W - Singapore W,1.01,10.78
basketball,world,universiade-women,South Korea Univ. W - Poland Univ. W,10.00,1.02
basketball,world,universiade-women,Chile Univ. W - Uganda Univ. W,4.65,1.16
basketball,world,universiade-women,Portugal Univ. W - Lithuania Univ. W,3.40,1.28
basketball,australia,seabl-women,Kilsyth W - Geelong W,1.48,2.47
basketball,australia,seabl-women,Bendigo W - Launceston W,1.42,2.66
basketball,philippines,governors-cup,Barangay Ginebra San Miguel - Alaska Aces,1.34,3.11
basketball,africa,african-championship-women,Tunisia W - Central African Republic W,0.00,0.00
basketball,australia,seabl,Ballarat - Dandenong,1.43,2.72
basketball,world,universiade-women,Chinese T. Univ. W - Australia Univ. W,5.20,1.18
basketball,asia,southeast-asian-games-women,Malaysia W - Thailand W,1.49,2.44
basketball,africa,african-championship-women,Guinea W - DR Congo W,0.00,0.00
