Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
hockey,kazakhstan,championship,Kokshetau - HC Astana,5,4,225,69,3329,0,1,78736,2,78743,9,1.03,23.0,23.0,0,0,0,1,0.9823824706484304,0.39513149226277877
volleyball,italy,serie-a2,Gioia del Colle - Bergamo,2,1,220,64,3733,1,1,0,0,85715,4,1.71,0.0,2.21,0,0,0,1,0.7297275965128056,0.3490622394885883
basketball,europe,eurocup,Levallois - Darussafaka Dogus,7,6,196,40,2852,2,2,0,0,68381,5,2.14,0.0,1.7,0,0,0,1,0.576644289383012,0.20527963094705767
soccer,world,world-cup-2018,Honduras - Mexico,9,8,302,146,0,-1,1,0,0,0,0,2.39,3.16,3.08,0,0,0,0,0.4129285650629274,0.14113623407354195
hockey,austria,alps-hockey-league,Val Pusteria - HK Olimpija,5,4,165,9,3246,1,2,77547,6,0,0,2.4,5.04,2.13,0,0,0,2,0.5440973620107054,0.14064370007327634
hockey,usa,nhl,Vegas Golden Knights - Arizona Coyotes,5,4,293,137,3383,0,1,0,0,79818,25,2.41,3.87,2.57,0,0,0,1,0.48304988694143436,0.11641860108429565
hockey,russia,vhl,Tseng Tou - Kurhan,5,4,266,110,3342,1,2,0,0,78896,3,2.85,4.06,2.06,0,0,0,1,0.4226106012314003,0.11050822351864374
volleyball,italy,coppa-italia-a1,Verona - Milano,2,1,220,64,3734,2,1,51947,20,78709,8,1.36,0.0,3.0,0,1,0,1,0.7608936625947363,0.09670939202455946
soccer,spain,tercera-division-2017-2018,Eldense - Castellon,9,8,280,124,0,-1,1,0,0,0,0,2.1,3.07,3.2,0,0,0,0,0.38898394122391816,0.0938071012354728
soccer,guatemala,liga-nacional,Sanarate - Malacateco,9,8,208,52,2300,0,1,0,0,50689,8,1.61,3.39,5.0,0,0,0,1,0.6512028996345929,0.07940437444540094
soccer,spain,tercera-division-2017-2018,Alzira - La Nucia,9,8,280,124,0,-1,1,0,0,0,0,2.39,3.38,2.5,0,0,0,0,0.3512703313593908,0.07869484033392474
hockey,finland,liiga,Ilves - Jukurit,5,4,199,43,3306,0,1,47440,9,78324,15,1.83,4.16,3.56,0,0,0,1,0.5788757118011513,0.0714970513206107
volleyball,iran,super-league,Matin Varamin - Paykan,2,1,216,60,3730,0,2,85657,4,51426,3,5.0,0.0,1.18,0,0,0,2,0.8577421410703506,0.06742070257229864
handball,france,lidl-starligue,Toulouse - Tremblay,6,5,200,44,3141,0,1,47920,19,74753,13,1.45,9.08,3.55,0,0,0,1,0.7007807098304758,0.0358489538981995
soccer,asia,asian-cup,India - Macau,9,8,162,6,1962,0,1,40140,13,40139,12,1.05,10.48,25.9,0,1,0,1,0.9539812417777577,0.03360607733291052
soccer,azerbaijan,azerbaijan-cup,Agsu - Mil-Mugan,9,8,166,10,2014,1,1,0,0,41839,22,1.72,3.75,3.75,0,1,0,1,0.5922830035340616,0.026009397331369335
hockey,czech-republic,wsm-liga,Trebic - Frydek Mistek,5,4,187,31,3258,1,1,44294,6,77708,8,2.3,4.08,2.37,0,0,0,1,0.4479587532004861,0.023311640277783152
soccer,europe,champions-league-women,Brondby W - LSK Kvinner W,9,8,196,40,2196,32,2,45152,4,47090,18,2.52,3.55,2.42,0,0,1,2,0.42500687006851934,0.020082130680152598
basketball,europe,champions-league,Oldenburg - Enisey,7,6,196,40,2853,3,1,48758,22,68530,5,1.28,0.0,3.62,0,0,0,1,0.7848451770044069,0.016435094877288923
