Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,usa,nba,Toronto Raptors - Chicago Bulls,7,6,293,137,3026,0,1,71546,7,71548,9,0.0,0.0,0.0,0,0,0,1,0.5855513050335548,1.0
soccer,europe,euro-u17,Spain U17 - Liechtenstein U17,9,8,196,40,2171,7,1,46599,0,90801,50,1.02,17.0,41.0,0,0,0,1,0.9937706358459417,0.6823024281430329
soccer,asia,afc-championship-women-u19,Vietnam U19 W - South Korea U19 W,9,8,162,6,1982,20,2,40911,9,40904,2,26.0,19.0,1.02,0,0,1,2,0.9913919136206987,0.5609875946556371
soccer,europe,euro-u19-women,France U19 W - Moldova U19 W,9,8,196,40,2198,34,1,47225,0,90894,42,1.01,29.0,34.0,0,0,1,1,0.9946239480936298,0.4570187574566061
soccer,world,world-cup-women,Belarus W - Scotland W,9,8,302,146,2768,44,2,47059,27,47041,9,19.54,11.79,1.05,0,1,1,2,0.9659137908151381,0.28418960711789926
rugby-union,europe,challenge-cup,Gloucester - Agen,3,2,196,40,3522,3,1,81827,6,48433,132,1.01,45.33,21.33,0,1,0,1,0.991057813111907,0.09683912430260558
soccer,palestine,west-bank-league-2017-2018,Shabab Doora - Wadi Al-Nes,9,8,257,101,0,-1,2,0,0,0,0,2.65,2.94,2.54,0,0,0,0,0.38860020439131154,0.07344567057239995
basketball,europe,euroleague,Olimpia Milano - Fenerbahce,7,6,196,40,2851,1,2,68384,8,46221,90,2.43,0.0,1.58,0,0,0,2,0.6573560633778558,0.06659065540864162
basketball,europe,euroleague,Maccabi Tel Aviv - Baskonia,7,6,196,40,2851,1,1,46169,38,68382,6,1.5,0.0,2.65,0,0,0,1,0.6772666110634459,0.03179983319033752
handball,croatia,premijer-liga,Varazdin - Dubrava,6,5,185,29,3102,0,2,43900,17,68184,23,2.23,8.81,1.84,0,0,0,1,0.4569920522175224,0.015522175971605642
soccer,europe,europa-league,Ostersunds - Ath Bilbao,9,8,196,40,2166,2,2,62168,14,46180,49,4.48,3.53,1.87,0,0,0,2,0.5414891223985601,0.014465125155525692
soccer,europe,europa-league,Sheriff Tiraspol - Lokomotiv Moscow,9,8,196,40,2166,2,2,55659,8,46238,107,3.83,3.15,2.15,0,0,0,2,0.4686906014464863,0.006682428791256975
baseball,usa,mlb,Chicago Cubs - Los Angeles Dodgers,8,7,293,137,3460,0,1,81095,22,81102,29,1.87,0.0,1.98,0,0,0,1,0.5368539155463121,0.004502094335176677
basketball,argentina,torneo-super-20,Gimnasia - Argentino,7,6,160,4,3877,2,1,67609,7,67613,11,1.4,0.0,2.82,0,0,0,1,0.7150358462940557,0.002625462029194892
baseball,dominican-republic,lidom,Aguilas Cibaenas - Toros del Este,8,7,189,33,3444,0,1,80927,0,80932,5,1.73,0.0,2.04,0,0,0,1,0.5780327425669972,-4.596382321633042e-06
soccer,jordan,premier-league,Al Hussein - Al-Faisaly Amman,9,8,224,68,2387,0,2,54753,5,0,0,4.43,3.76,1.62,0,0,0,2,0.6160910294995359,-0.0031169874366965273
soccer,europe,europa-league,Zenit Petersburg - Rosenborg,9,8,196,40,2166,2,1,46165,34,46226,95,1.32,5.38,10.37,0,0,0,1,0.7564967720966627,-0.004450815101266283
baseball,cuba,serie-nacional,Artemisa - Ciego de Avila,8,7,308,152,3442,0,1,80914,10,80905,1,1.85,0.0,1.95,0,0,0,1,0.5373453062864956,-0.006954333376450819
