Sport,Country,League,Season,Participants,WinningOdd,Bet
soccer,chile,chilean-cup,2018,Iberia - Colo Colo,1.33,2
soccer,brazil,brasileiro-u20,2018,Sao Paulo U20 - Chapecoense-SC U20,1.48,1
soccer,colombia,copa-aguila,2018,Atl. Nacional - Patriotas,1.21,1
soccer,brazil,primeira-liga,2018,Cruzeiro - Gremio,1.46,1
soccer,canada,csl,2018,Milton - Vorkuta,1.1,2
soccer,mexico,copa-mexico,2018,Toluca - Leones Negros,1.39,1
soccer,costa-rica,primera-division,2018,Santos DG - Guadalupe,1.46,1
soccer,turkey,turkish-cup,2018,Duzyurtspor - Hopaspor,1.33,1
soccer,world,club-friendly,2018,Bayer Leverkusen (Ger) - Bochum (Ger) ,1.46,1
soccer,europe,euro-u21,2018,Faroe Islands U21 - Denmark U21,1.14,2
soccer,slovakia,slovak-cup,2018,Simonovany - Z. Moravce,1.03,2
soccer,world,club-friendly,2018,Cagliari (Ita) - Tortoli (Ita) ,1.14,1
soccer,world,friendly-international,2018,Slovenia U19 - Kazakhstan U19,1.18,1
soccer,europe,euro-u21,2018,Israel U21 - Azerbaijan U21,1.35,1
soccer,europe,euro-u21,2018,Russia U21 - Armenia U21,1.26,1
soccer,world,club-friendly,2018,Hannover (Ger) - Arminia Hannover (Ger) ,1.08,1
soccer,world,club-friendly,2018,Monaco (Fra) - Nimes (Fra) ,1.29,1
soccer,europe,euro-u21,2018,Moldova U21 - Croatia U21,1.34,2
soccer,sweden,allsvenskan-women,2018,Goteborg W - Linkopings W,1.47,2
soccer,sweden,division-2-norrland,2018,Skelleftea - Moron,1.18,1
soccer,world,club-friendly,2018,KVV Quick 20 (Ned) - Heracles (Ned) ,1.06,2
soccer,world,club-friendly,2018,Gutersloh (Ger) - Schalke (Ger) ,1.05,2
soccer,world,world-cup-2018,2018,Hungary - Latvia,1.34,1
soccer,world,world-cup-2018,2018,Switzerland - Andorra,1.01,1
soccer,world,world-cup-2018,2018,Portugal - Faroe Islands,1.02,1
soccer,world,world-cup-2018,2018,Greece - Estonia,1.37,1
soccer,world,world-cup-2018,2018,Cyprus - Bosnia &amp; Herzegovina,1.5,2
soccer,world,world-cup-2018,2018,Belgium - Gibraltar,1.02,1
soccer,world,world-cup-2018,2018,Chile - Paraguay,1.42,1
basketball,usa,wnba,2018,Indiana Fever W - Minnesota Lynx W,1.06,2
basketball,world,americup,2018,Panama - Uruguay,1.02,2
basketball,europe,eurobasket-2017,2018,Slovenia - Poland,1.4,1
basketball,europe,eurobasket-2017,2018,Germany - Ukraine,1.23,1
basketball,europe,eurobasket-2017,2018,Iceland - Greece,1.05,2
basketball,europe,eurobasket-2017,2018,Lithuania - Georgia,1.33,1
basketball,europe,eurobasket-2017,2018,France - Finland,1.13,1
handball,germany,bundesliga,2018,SC Magdeburg - Ludwigshafen,1.02,1
handball,germany,bundesliga,2018,HSG Wetzlar - Minden,1.12,1
handball,germany,bundesliga,2018,Leipzig - Huttenberg,1.11,1
handball,denmark,888ligaen,2018,Sonderjyske - Skanderborg,1.43,1
handball,slovakia,extraliga,2018,Modra - Malacky,1.29,1
handball,europe,seha-liga,2018,PPD Zagreb (Cro) - Nexe (Cro) ,1.26,1
handball,germany,bundesliga,2018,Erlangen - Lemgo,1.38,1
handball,germany,bundesliga,2018,MT Melsungen - Gummersbach,1.09,1
handball,germany,bundesliga,2018,Hannover-Burgdorf - Flensburg-H.,1.14,2
hockey,europe,champions-league,2018,Malmo (Swe) - Stavanger (Nor) ,1.33,1
hockey,russia,khl,2018,Bars Kazan - Lada,1.5,1
hockey,europe,champions-league,2018,Esbjerg (Den) - HV 71 (Swe) ,1.26,2
hockey,europe,champions-league,2018,Klagenfurt (Aut) - Frolunda (Swe) ,1.46,2
hockey,europe,champions-league,2018,Zug (Sui) - Neman Grodno (Blr) ,1.27,1
hockey,europe,champions-league,2018,Zurich (Sui) - Gap (Fra) ,1.03,1
hockey,europe,champions-league,2018,Cardiff (Gbr) - Liberec (Cze) ,1.24,2
hockey,europe,champions-league,2018,Nottingham (Gbr) - Mountfield HK (Cze) ,1.31,2
baseball,usa,mlb,2018,Houston Astros - Texas Rangers,1.47,1
baseball,usa,mlb,2018,Chicago Cubs - Pittsburgh Pirates,1.47,1
baseball,usa,mlb,2018,Minnesota Twins - Chicago White Sox,1.42,1
baseball,japan,npb,2018,Chunichi Dragons - Yokohama Baystars,1.48,2
baseball,japan,npb,2018,Hanshin Tigers - Yakult Swallows,1.47,1
american-football,usa,ncaa,2018,UCF - FIU,1.08,1
rugby-league,australia,nrl,2018,NQ Cowboys - Brisbane Broncos,1.49,2
rugby-league,england,super-league,2018,Leeds Rhinos - Hull FC,1.32,1
rugby-union,new-zealand,mitre-10-cup,2018,Bay of Plenty - Wellington,1.38,2
volleyball,world,world-championship,2018,Argentina - Chile,1.01,1
volleyball,europe,european-championships,2018,Serbia - Bulgaria,1.39,1
volleyball,russia,russia-cup,2018,Lokomotiv Izumrud - Novyi Urengoy,1.29,2
