Sport,Country,League,Participants,Odds
hockey,australia,aihl,Newcastle - Melbourne Ice,5.30,5.55,1.37
hockey,world,junior-club-world-cup,HC Riga - Jokerit U20,5.50,5.28,1.43
hockey,world,junior-club-world-cup,Krasnaya Armiya - Trinec U20,1.31,6.68,6.47
