Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,asia,afc-championship-u19,Myanmar U19 - Philippines U19,9,8,162,6,1969,7,1,40709,28,40710,29,1.01,26.0,34.0,0,0,0,1,0.994353590409275,0.4297126313367757
soccer,england,carabao-cup,&nbsp;Manchester City - Wolves,9,8,193,37,3864,15,1,45327,19,45338,30,1.14,9.18,15.91,0,1,0,1,0.9108185559029985,0.2738082409244163
soccer,spain,copa-del-rey,&nbsp;Murcia - Barcelona&nbsp;,9,8,280,124,2623,10,2,61322,35,46135,4,11.62,6.41,1.22,0,1,0,2,0.8370160738707958,0.09618004601077626
basketball,argentina,torneo-super-20,&nbsp;Penarol - Quilmes,7,6,160,4,3877,2,1,43070,58,39728,16,1.76,0.0,1.99,0,0,0,1,0.6091746509314443,0.09493077057808155
soccer,portugal,league-cup,FC Porto - Leixoes,9,8,263,107,2525,8,1,46141,10,58043,28,1.11,7.89,20.51,0,1,0,1,0.907913187981546,0.07076035145014571
soccer,england,carabao-cup,&nbsp;Swansea - Manchester United,9,8,193,37,3864,15,2,45324,16,45320,12,7.34,4.26,1.47,0,1,0,2,0.7028539471337263,0.07062830273739923
soccer,spain,copa-del-rey,&nbsp;Cartagena - Sevilla&nbsp;,9,8,280,124,2623,10,2,43761,26,46142,11,11.88,6.41,1.22,0,1,0,2,0.8292566275753114,0.05315038928127166
hockey,denmark,metal-ligaen,Frederikshavn - Gentofte,5,4,188,32,3266,0,1,45142,136,77839,1,1.9,4.33,3.11,0,0,0,1,0.5479182547335523,0.0456052044374992
soccer,world,world-cup-women,Slovakia W - Ireland W,9,8,302,146,2768,44,2,47066,34,47050,18,4.09,3.27,1.83,0,1,1,2,0.5653307678501526,0.04163289779009542
soccer,uganda,premier-league,Soana - Mbarara City,9,8,294,138,2697,0,1,64501,3,0,0,2.24,2.74,3.23,0,0,0,0,0.3895171725587673,0.03866497287989797
basketball,europe,euroleague,&nbsp;Maccabi Tel Aviv - Olympiakos,7,6,196,40,2851,1,1,46169,38,68377,1,1.85,0.0,1.99,0,0,0,1,0.551739600017114,0.02437442356665986
