Sport,Country,League,Participants,Odds
basketball,world,friendly-international,Argentina - Colombia,1.01,11.25
basketball,asia,southeast-asian-games,Indonesia - Vietnam,0.00,0.00
basketball,usa,wnba,Dallas Wings W - Atlanta Dream W,1.43,2.87
basketball,asia,southeast-asian-games-women,Indonesia W - Myanmar W,0.00,0.00
basketball,asia,southeast-asian-games-women,Malaysia W - Vietnam W,0.00,0.00
basketball,world,universiade,Australia Univ. - Ukraine Univ.,1.07,7.60
basketball,world,universiade,South Korea Univ. - Mexico Univ.,1.23,3.98
basketball,asia,southeast-asian-games,Cambodia - Singapore,8.29,1.04
basketball,world,universiade,Romania Univ. - Czech Republic Univ.,5.03,1.14
basketball,philippines,governors-cup,Global Port - Kia Picanto,1.27,3.59
basketball,asia,southeast-asian-games,Myanmar - Malaysia,0.00,0.00
basketball,asia,asia-cup,Philippines - Jordan,1.31,3.88
basketball,asia,southeast-asian-games,Thailand - Philippines,15.50,1.01
