Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,fyr-of-macedonia,first-league,Shkupi - Pelister,9,197,2203,1,47294,47300,2.5,3.2,2.51,0,0,0
soccer,fyr-of-macedonia,first-league,Pobeda - FK Skopje,9,197,2203,1,47297,47311,1.48,3.89,6.46,0,0,0
soccer,poland,polish-cup,Chojniczanka - Termalica B-B.,9,262,2504,2,57721,57737,2.72,3.2,2.46,0,1,0
soccer,portugal,segunda-liga,Benfica B - Covilha,9,263,2518,1,58059,58070,1.86,3.45,3.96,0,0,0
soccer,romania,liga-1,Din. Bucuresti - Concordia,9,265,2528,1,58501,58500,1.39,4.47,7.5,0,0,0
soccer,slovakia,divison-c-central,Krasno - Zarnovica,9,275,2581,0,60076,60069,NaN,NaN,NaN,0,0,0
soccer,slovakia,divison-c-west,Nemsova - Crystal,9,275,2579,0,59999,59998,NaN,NaN,NaN,0,0,0
soccer,slovakia,slovak-cup,Jednota Banova - Zvolen,9,275,2583,2,0,60144,6.65,5.61,1.29,0,1,0
soccer,slovakia,slovak-cup,Bela Dulice - Ruzomberok,9,275,2583,2,0,60117,13.59,8.87,1.08,0,1,0
soccer,slovakia,slovak-cup,Medzev - Trencin,9,275,2583,2,0,60107,14.31,9.4,1.08,0,1,0
soccer,slovakia,slovak-cup,Namestovo - Trnava,9,275,2583,2,60199,60111,14.48,9.2,1.08,0,1,0
soccer,slovakia,slovak-cup,Hrusovany - Dun. Streda,9,275,2583,2,0,60110,20,14.13,1.04,0,1,0
soccer,uganda,premier-league,Onduparaka FC - Police,9,294,2697,0,64499,64506,NaN,NaN,NaN,0,0,0
soccer,uganda,premier-league,BUL - UPDF,9,294,2697,0,64498,64509,NaN,NaN,NaN,0,0,0
soccer,asia,afc-cup,Istiqlol Dushanbe (Taj)  - Bengaluru (Ind) ,9,162,1964,1,40358,40354,1.74,3.57,4.04,0,1,0
soccer,croatia,2-hnl-2017-2018,Dragovoljac - Kustosija,9,185,0,1,0,0,1.79,3.35,3.86,0,0,0
soccer,croatia,2-hnl-2017-2018,Lucko - Hajduk Split 2,9,185,0,2,0,0,2.58,3.18,2.39,0,0,0
soccer,croatia,2-hnl-2017-2018,Novigrad - Sesvete,9,185,0,1,0,0,2.17,3.1,2.98,0,0,0
soccer,czech-republic,division-2,Olympia Prague - Varnsdorf,9,187,2111,1,0,44186,2.11,3.21,3.17,0,0,0
soccer,czech-republic,mol-cup,Valasske Mezirici - Ostrava,9,187,2119,2,88468,44478,6.06,5.05,1.35,0,1,0
soccer,europe,uefa-youth-league,Bursaspor U19 - Saburtalo Tbilisi U19,9,196,2168,1,0,90783,1.1,8.96,12.68,0,0,0
soccer,europe,uefa-youth-league,Paris SG U19 - Bayern U19,9,196,2168,1,46430,46454,1.83,3.89,3.33,0,0,0
soccer,europe,uefa-youth-league,Sporting U19 - Barcelona U19,9,196,2168,2,46443,46420,3.5,3.84,1.8,0,0,0
soccer,latvia,synottip-virsliga,Spartaks - RFS,9,230,2401,1,54960,54959,1.91,3.29,3.49,0,0,0
soccer,poland,ekstraliga-women,Czarni Sosnowiec W - Medyk Konin W,9,262,2515,2,0,0,7.5,5.5,1.25,0,0,1
soccer,slovakia,divison-c-bratislava,D. Luzna - Rohoznik,9,275,2582,0,60083,60091,NaN,NaN,NaN,0,0,0
soccer,slovakia,slovak-cup,Simonovany - I. Bratislava,9,275,2583,2,60123,60176,6.68,5.68,1.29,0,1,0
soccer,slovakia,slovak-cup,Petrzalka Akademia - Poprad,9,275,2583,2,60192,60105,3.04,3.59,2.01,0,1,0
soccer,slovenia,2-snl,Verzej - NK Kranj,9,276,2586,1,60252,60250,2.4,3.4,2.5,0,0,0
soccer,slovenia,2-snl,Brda - Tabor Sezana,9,276,2586,2,60248,0,2.8,3.6,2.1,0,0,0
soccer,denmark,landspokal-cup,Vejgaard - Nordsjaelland,9,188,2138,2,45064,45023,42.9,13.07,1.01,0,1,0
soccer,czech-republic,cfl,Pisek - Domazlice,9,187,2112,1,44249,44244,2.01,4.34,2.62,0,0,0
soccer,czech-republic,cfl,Prevysov - Zapy,9,187,2112,1,44241,44248,1.79,3.86,3.45,0,0,0
soccer,czech-republic,cfl,Dobrovice - Usti nad Orlici,9,187,2112,1,44246,0,1.4,5.05,5,0,0,0
soccer,czech-republic,cfl,Litomericko - Chrudim,9,187,2112,2,44237,44236,3.8,4.35,1.62,0,0,0
soccer,czech-republic,cfl,Cizova - Vltavin,9,187,2112,2,0,44238,5.05,5.05,1.4,0,0,0
soccer,poland,iii-liga-group-ii-2017-2018,KKS Kalisz - Lech Poznan 2,9,262,0,0,0,0,NaN,NaN,NaN,0,0,0
soccer,slovakia,slovak-cup,SK FC Vydrany - Spisska Nova Ves,9,275,2583,2,0,60120,7.05,5.23,1.31,0,1,0
soccer,egypt,premier-league,El Raja - El-Entag El-Harby,9,191,2142,2,45224,45204,4.31,2.69,2.02,0,0,0
soccer,europe,euro-u17,Finland U17 - Iceland U17,9,196,2171,1,46620,46627,1.92,3.46,3.7,0,0,0
soccer,europe,uefa-youth-league,Brodarac U19 - Maccabi Haifa U19,9,196,2168,2,0,46439,3.84,4.36,1.62,0,0,0
soccer,lithuania,a-lyga,Atlantas - Zalgiris,9,234,2409,2,55095,55093,5.64,3.72,1.51,0,0,0
soccer,portugal,segunda-liga,Guimaraes B - U. Madeira,9,263,2518,1,58058,58066,2.44,3.13,2.85,0,0,0
soccer,saudi-arabia,division-1,Al-Nahda - Al-Hazm,9,269,2551,1,59290,59295,1.91,3.1,3.73,0,0,0
soccer,denmark,landspokal-cup,Vendsyssel FF - Sonderjyske,9,188,2138,2,45009,45015,3.01,3.39,2.19,0,1,0
soccer,finland,veikkausliiga,HJK - Mariehamn,9,199,2210,1,47433,47434,1.3,5.34,8.86,0,0,0
soccer,saudi-arabia,division-1,Al Mojzel - Jeddah,9,269,2551,1,59306,59318,2.2,3,3.1,0,0,0
soccer,estonia,esiliiga,Levadia U21 - Flora U21,9,194,2160,2,45944,45952,3.23,3.97,1.79,0,0,0
soccer,estonia,estonian-cup,Narva - Rakvere,9,194,2161,1,45994,45995,1.13,8,10.24,0,1,0
soccer,europe,champions-league,Qarabag - AS Roma,9,196,2165,2,0,46166,7.7,4.65,1.45,0,0,0
soccer,europe,uefa-youth-league,Breidablik U19 - Legia U19,9,196,2168,2,90770,46442,5.11,4.56,1.45,0,0,0
soccer,europe,uefa-youth-league,Nitra U19 - Shkendija U19,9,196,2168,1,90774,0,1.34,5.5,5.5,0,0,0
soccer,norway,toppserien-women,Klepp W - Avaldsnes W,9,254,2483,2,57164,57165,6.34,4.47,1.38,0,0,1
soccer,peru,primera-division,Juan Aurich - Ayacucho,9,260,2492,1,57360,57373,1.58,3.71,5.12,0,0,0
soccer,poland,division-1,Suwalki - Rakow,9,262,2498,1,57511,57527,2.31,3.23,2.91,0,0,0
soccer,portugal,segunda-liga,Santa Clara - Varzim,9,263,2518,1,58067,58062,1.74,3.39,4.72,0,0,0
soccer,turkey,spor-toto-2-lig-red-group,Bucaspor - Tokatspor,9,292,2675,1,63702,63687,2.18,3.38,2.75,0,0,0
soccer,turkey,spor-toto-2-lig-white-group,Karsiyaka - Bugsasspor,9,292,2674,1,0,63637,1.83,3.53,3.48,0,0,0
soccer,turkey,tff-3-lig-group-1,Dardanelspor - Kozan,9,292,2678,0,63870,63820,NaN,NaN,NaN,0,0,0
soccer,turkey,tff-3-lig-group-2,Vanspor Bld. - Darica Genclerbirligi,9,292,2679,0,0,63913,NaN,NaN,NaN,0,0,0
soccer,gibraltar,premier-division,Lincoln Red Imps - Glacis United,9,206,2281,0,50230,50226,NaN,NaN,NaN,0,0,0
soccer,finland,veikkausliiga,SJK - Ilves,9,199,2210,1,47436,47440,2.33,3.19,3.09,0,0,0
soccer,germany,junioren-bundesliga-west,Dusseldorf U19 - Leverkusen U19,9,204,2275,2,50087,50083,2.86,4.48,1.83,0,0,0
