basketball,world,friendly-international,Uruguay - Argentina,3.30,1.31
basketball,world,americup-women,Canada W - Argentina W,1.11,5.94
basketball,asia,asia-cup,Japan - South Korea,2.96,1.46
basketball,asia,asia-cup,Lebanon - Chinese Taipei,1.01,30.00
