Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
volleyball,world,norceca-championship,Trinidad &amp; Tobago - Dominican Republic,2,302,3856,1,88029,88032,0.0,0.0,0.0,0,0,0,1,0.6232555328802841,1.0
soccer,luxembourg,national-division,Esch - Fola,9,235,2413,1,0,55202,0.0,0.0,0.0,0,0,0,1,0.6784126542844262,1.0
hockey,belarus,extraleague,Brest - Soligorsk,5,169,3248,2,77594,77588,23.0,23.0,1.03,0,0,0,2,0.9896550631111576,0.6448238334830764
basketball,spain,leb-oro,Manresa - Caceres,7,280,3009,1,0,71243,1.19,0.0,5.1,0,0,0,1,0.8800389484661323,0.24866499302472353
soccer,england,fa-cup,South Shields - York,9,193,3863,2,0,89077,3.07,3.63,2.01,0,1,0,1,0.48694862112084164,0.2390977134497506
soccer,france,ligue-1,Paris SG - Bordeaux,9,200,2223,1,47916,47909,1.15,9.01,17.85,0,0,0,1,0.8972097059669045,0.21194107907960144
soccer,england,fa-cup,Buxton - Alvechurch,9,193,3863,1,88879,0,1.82,3.82,3.48,0,1,0,2,0.41637812087607157,0.18104671800351976
handball,germany,2-bundesliga,Rhein Vikings - Dessauer,6,204,3148,1,0,75306,1.55,9.35,2.8,0,0,0,1,0.6981269404011652,0.1492668320396475
handball,poland,superliga,Spojnia Gdynia - Szczecin,6,262,3179,2,0,75952,2.61,8.75,1.63,0,0,0,1,0.4582412462389004,0.12174512589039131
soccer,czech-republic,first-league-women,Liberec W - Slovacko W,9,187,2124,2,44680,44679,17.0,11.0,1.06,0,0,1,2,0.9500376482458838,0.11733178567728068
handball,poland,superliga,Kalisz - Meble Elblag Wojcik,6,262,3179,2,0,75957,2.41,8.44,1.74,0,0,0,1,0.482525420754245,0.11552217306222015
soccer,russia,division-1,Olimpiyets - F. Voronezh,9,266,2536,1,0,58859,1.95,3.11,3.93,0,0,0,1,0.5639163899241058,0.10488101089684863
basketball,argentina,torneo-super-20,Quilmes - Penarol,7,160,3877,1,97535,97539,1.87,0.0,1.87,0,0,0,1,0.5783372536871623,0.09366743033907302
soccer,serbia,super-liga,Macva Sabac - Backa,9,272,2565,1,0,59673,1.81,3.26,4.0,0,0,0,1,0.5921999647519587,0.0887431311124015
soccer,italy,serie-c-group-c,Trapani - Casertana,9,220,2346,1,0,52156,1.61,3.61,4.98,0,0,0,1,0.6520928128619529,0.08175316181597397
soccer,spain,tercera-division-2017-2018,Txantrea - AD San Juan,9,280,0,1,0,0,2.25,3.4,2.63,0,0,0,0,0.3514107555001839,0.08116523695859384
soccer,croatia,1-hnl,Cibalia - D. Zagreb,9,185,2100,2,43883,43885,13.64,5.79,1.2,0,0,0,2,0.8467266120364715,0.08035967221882824
soccer,spain,tercera-division-2017-2018,Rayo Ibense - Eldense,9,280,0,2,0,0,2.8,3.01,2.38,0,0,0,0,0.38495999587634405,0.07896994407353007
hockey,russia,vhl,Nizhny Tagil - Heilongjiang,5,266,3342,1,78900,0,2.23,4.2,2.53,0,0,0,2,0.4415880473562807,0.07661291490940533
soccer,russia,division-2-west,Chertanovo M. - S. Kostroma,9,266,2540,1,0,58991,1.56,3.75,4.97,0,0,0,1,0.6657529266513373,0.06888315281443981
soccer,spain,primera-division-women,Madrid C. W - Real Sociedad W,9,280,2626,1,0,62097,2.39,3.31,2.55,0,0,1,2,0.4299352234120035,0.06215149658103798
handball,greece,a1,PAOK - Olympiacos SFP,6,207,3155,2,75548,0,2.38,8.49,1.73,0,0,0,2,0.6033230131313116,0.05992988043447841
hockey,russia,vhl,Chelmet Chelyabinsk - Tseng Tou,5,266,3342,1,78909,0,2.03,4.18,2.83,0,0,0,2,0.39046126002473325,0.057379981349724156
soccer,spain,laliga2,Lorca FC - Cadiz CF,9,280,2614,2,0,61328,2.82,2.98,2.67,0,0,0,1,0.3904293967921993,0.055500493930770306
soccer,germany,regionalliga-bayern,Munich 1860 - Schweinfurt,9,204,2246,1,0,49007,1.71,3.84,4.21,0,0,0,1,0.606986951070361,0.05344744553565834
soccer,england,vanarama-national-league,Woking - Hartlepool,9,193,2150,2,45546,0,2.8,3.38,2.39,0,0,0,2,0.4484176255132305,0.05159577336447554
baseball,japan,npb,Yokohama Baystars - Hiroshima Carp,8,223,3452,2,80980,80981,1.97,0.0,1.85,0,0,0,1,0.5318339434434777,0.04918852431304225
soccer,romania,liga-2,Braila - Metaloglobus,9,265,2529,1,58547,0,2.22,3.3,2.85,0,0,0,0,0.3343849134208182,0.04498704969073916
soccer,south-africa,first-division,Richards Bay - Royal Eagles,9,277,2590,1,0,60381,2.11,3.23,3.18,0,0,0,1,0.4975896952351627,0.044967799050624535
soccer,portugal,segunda-liga,Real SC - Famalicao,9,263,2518,2,0,58057,2.76,3.06,2.55,0,0,0,1,0.3906501219171811,0.04442860027921575
soccer,france,ligue-1,Amiens - Lille,9,200,2223,2,0,47907,3.01,3.1,2.59,0,0,0,1,0.36172760079772937,0.04417914348316684
soccer,mexico,primera-division,Lobos BUAP - Club Leon,9,242,2428,2,0,55548,2.79,3.31,2.39,0,0,0,1,0.3841915399464536,0.040164467290841104
soccer,spain,segunda-division-b-group-1,Cerceda - Celta Vigo B,9,280,2615,2,0,61411,2.92,3.12,2.3,0,0,0,1,0.36861078920470075,0.03976224191548234
soccer,spain,segunda-division-b-group-3,Saguntino - Elche,9,280,2617,2,61667,0,4.91,3.52,1.65,0,0,0,2,0.6213910707372066,0.03891579494829357
soccer,northern-ireland,nifl-championship,H&amp;W Welders - Portadown,9,253,2469,2,56588,0,2.87,3.74,2.0,0,0,0,2,0.5180994523782992,0.03619890475659848
