Sport,Country,League,Participants,Odds
basketball,usa,wnba,Minnesota Lynx W - Phoenix Mercury W,1.26,3.89
basketball,asia,southeast-asian-games,Laos - Vietnam,0.00,0.00
basketball,usa,wnba,Los Angeles Sparks W - San Antonio Stars W,1.08,8.05
basketball,world,universiade,Mozambique Univ. - Lithuania Univ.,0.00,0.00
basketball,world,universiade,Argentina Univ. - Estonia Univ.,0.00,0.00
basketball,world,universiade-women,Russia Univ. W - Australia Univ. W,2.97,1.36
basketball,world,universiade,Ukraine Univ. - Russia Univ.,1.05,8.42
basketball,world,universiade-women,Canada Univ. W - Japan Univ. W,2.62,1.45
basketball,philippines,governors-cup,Alaska Aces - Blackwater Elite,1.38,2.93
basketball,africa,african-championship-women,Guinea W - DR Congo W,20.67,1.01
basketball,world,universiade,Czech Republic Univ. - USA Univ.,0.00,0.00
basketball,philippines,governors-cup,Star Hotshots - Phoenix Fuelmasters,1.22,4.14
basketball,africa,african-championship-women,Egypt W - Mozambique W,3.89,1.25
basketball,world,universiade,Romania Univ. - United Arab Emirates Univ.,1.04,9.70
basketball,europe,acropolis-tournament,Serbia - Italy,1.29,3.31
basketball,world,friendly-international,Lithuania - Iceland,1.02,17.50
basketball,europe,acropolis-tournament,Greece - Georgia,1.14,5.39
basketball,world,friendly-international,Belgium - Spain,4.88,1.16
basketball,africa,african-championship-women,Senegal W - Nigeria W,2.73,1.46
