Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,europe,europa-league,Ath Bilbao - FK Zorya Luhansk,9,196,2166,1,46263,89988,1.22,6.48,15.56,0,0,0,1,0.887840415668141,0.3780241232505997
soccer,europe,europa-league,FC Koln - FK Crvena zvezda,9,196,2166,1,0,90499,1.71,3.8,5.26,0,0,0,1,0.7204568525525651,0.326734109668854
hockey,belarus,extraleague,Brest - Yunost Minsk,5,169,3248,2,77594,77587,27.5,20.5,1.01,0,0,0,2,0.9930378781233214,0.29682569045545976
soccer,europe,europa-league,Everton - Apollon,9,196,2166,1,46296,90221,1.29,5.65,11.09,0,0,0,1,0.8163372882648662,0.1830175926264734
basketball,europe,fiba-europe-cup,Ostrow Wielkopolski - Bnei Herzliya,7,196,2854,1,0,68553,1.46,0.0,2.61,0,1,0,1,0.7419496753699448,0.18097070878286828
hockey,finland,suomi-sarja,Jarvenpaa - FPS,5,199,3308,2,0,78359,2.9,6.5,1.6,0,0,0,1,0.43584683170196686,0.13892411154510734
handball,iceland,olis-deildin,IR Reykjavik - Fjolnir,6,213,3162,1,75667,0,1.6,9.5,2.7,0,0,0,2,0.45633429569383344,0.1365309402196179
soccer,europe,europa-league,FC Astana - Slavia Prague,9,196,2166,1,89987,46363,2.46,3.17,3.12,0,0,0,0,0.39037529799284226,0.1094422555932304
soccer,europe,europa-league,Sheriff Tiraspol - FC Copenhagen,9,196,2166,2,90312,46247,3.88,3.25,2.11,0,0,0,2,0.5239930683084336,0.09515799471242782
soccer,turkey,tff-3-lig-group-3,Osmaniyespor - Karacabey Birlikspor,9,292,2680,1,0,64074,1.85,3.3,3.75,0,0,0,1,0.5832017794510531,0.0928509317464097
soccer,panama,lpf-2017-2018,Santa Gema - Miguelito,9,258,0,1,0,0,2.25,2.99,2.98,0,0,0,0,0.3945874585713502,0.09036005081825992
soccer,europe,europa-league,Skenderbeu - Young Boys,9,196,2166,2,90136,46299,4.93,3.84,1.73,0,0,0,2,0.614640053162562,0.08674971502908523
basketball,argentina,torneo-super-20,Quilmes - Argentino,7,160,3877,1,97535,97545,1.79,0.0,1.96,0,0,0,1,0.5968704403431534,0.0865798584990437
soccer,europe,europa-league,Ludogorets - Hoffenheim,9,196,2166,2,46255,0,3.64,3.67,2.03,0,0,0,2,0.5276071115215454,0.068973239212366
soccer,europe,europa-league,Lazio - Waregem,9,196,2166,1,46277,46371,1.23,6.84,13.09,0,0,0,1,0.8254085819426155,0.06631545995398687
hockey,russia,vhl,Chelmet Chelyabinsk - Heilongjiang,5,266,3342,1,78909,0,2.12,4.12,2.73,0,0,0,2,0.4068857216037842,0.06404509825337049
hockey,russia,vhl,Nizhny Tagil - Tseng Tou,5,266,3342,1,78900,0,2.15,3.86,2.81,0,0,0,2,0.39123541260062156,0.054901386413119625
soccer,iran,persian-gulf-pro-league,Pars Janoobi Jam - Padideh Khorasan,9,216,2328,1,0,51438,2.52,2.62,3.14,0,0,0,1,0.4241322086040259,0.0452718195277272
baseball,japan,npb,Yokohama Baystars - Hanshin Tigers,8,223,3452,1,80980,80990,1.87,0.0,1.95,0,0,0,1,0.5415563314418387,0.014609585972687906
soccer,usa,nwsl-women,Houston Dash W - North Carolina Courage W,9,293,2696,2,64493,64492,3.8,3.78,1.74,0,0,1,2,0.5772932577193312,0.006067930313021805
soccer,czech-republic,division-a,Aritma Prague - Sobeslav,9,187,2114,2,44335,0,2.53,3.88,2.1,0,0,0,2,0.4772079290499106,0.001942410004374925
basketball,spain,supercopa-women,Perfumerias Avenida W - Uni Girona W,7,280,3014,1,71352,71354,1.18,0.0,5.7,0,0,1,1,0.8472259895698289,-0.0015185128200108835
baseball,netherlands,hoofdklasse,Curacao Neptunus - L&amp;D Amsterdam,8,248,3455,1,81029,81031,1.65,0.0,2.3,0,0,0,1,0.6035482615684938,-0.006377489864592626
baseball,usa,mlb,Kansas City Royals - Detroit Tigers,8,293,3460,1,81094,81087,1.56,0.0,2.55,0,0,0,1,0.6347979797742479,-0.01734848491459515
soccer,romania,liga-2,Targu Mures - Clinceni,9,265,2529,1,0,58542,2.06,4.11,2.6,0,0,0,1,0.47535354830269305,-0.019595934430615407
hockey,usa,nhl,Florida Panthers - Tampa Bay Lightning,5,293,3383,2,79810,79806,2.67,3.98,2.4,0,0,0,2,0.4048225747448352,-0.02030415758028259
hockey,austria,ebel,Klagenfurt - Liwest Linz,5,165,3245,1,77526,77531,2.11,4.34,2.68,0,0,0,1,0.462538957152976,-0.02166018054704571
hockey,asia,asia-league,Nippon Paper Cranes - Daemyung,5,162,3241,1,77507,77510,1.9,4.73,3.02,0,0,0,1,0.5154370272052655,-0.022966275899995017
hockey,usa,nhl,Philadelphia Flyers - Boston Bruins,5,293,3383,1,79811,79802,2.1,4.1,3.1,0,0,0,1,0.46181071654229183,-0.02745226841926099
soccer,iran,persian-gulf-pro-league,Siah Jamegan - Paykan,9,216,2328,2,51433,51426,3.22,2.62,2.46,0,0,0,2,0.3900501424548413,-0.027723732576089257
baseball,taiwan,cpbl,Uni Lions - Fubon Guardians,8,309,3459,1,81071,81070,1.57,0.0,2.46,0,0,0,1,0.625941486203898,-0.030301520455930032
hockey,germany,del,ERC Ingolstadt - Eisbaren Berlin,5,204,3315,1,78455,78450,2.31,4.29,2.46,0,0,0,1,0.41495839221191916,-0.031638254954554745
baseball,japan,npb,Fukuoka S. Hawks - Seibu Lions,8,223,3452,1,80988,80987,1.5,0.0,2.59,0,0,0,1,0.6560672826760946,-0.031798151971716315
soccer,egypt,premier-league,Wadi Degla - Smouha,9,191,2142,0,45213,45203,2.66,2.63,2.91,0,0,0,0,0.3603707264255655,-0.032039870859363696
soccer,europe,europa-league,Maccabi Tel Aviv - Villarreal,9,196,2166,2,46314,46264,3.81,3.47,2.04,0,0,0,2,0.4734740993766612,-0.03280080506885691
soccer,iran,persian-gulf-pro-league,Gostaresh - Tractor,9,216,2328,2,51427,51435,3.52,2.72,2.24,0,0,0,2,0.42710067632425475,-0.03491490728521716
hockey,norway,get-ligaen,Lorenskog - Lillehammer,5,254,3334,1,78785,78779,2.22,4.33,2.53,0,0,0,1,0.43041185297750495,-0.03646367736880236
soccer,egypt,premier-league,El Gaish - El Masry,9,191,2142,2,45208,45205,3.25,2.65,2.4,0,0,0,2,0.3952033142477427,-0.036794318432441124
soccer,colombia,copa-aguila,Dep. Cali - Ind. Medellin,9,183,2095,1,43800,43799,2.31,3.1,3.06,0,1,0,1,0.41173321654213324,-0.03732539678448255
hockey,sweden,shl,Lulea - HV 71,5,283,3353,1,79083,79071,2.39,4.12,2.48,0,0,0,1,0.3961371698699957,-0.03829652087101452
hockey,sweden,shl,Skelleftea - Vaxjo,5,283,3353,1,79079,79081,2.24,4.12,2.65,0,0,0,1,0.4243900426994925,-0.03981153576865863
hockey,slovakia,tipsport-liga,Nitra - Slovakia U20,5,275,3347,1,78999,79014,1.07,12.87,16.29,0,0,0,1,0.9319600075644737,-0.040039884371615236
hockey,usa,nhl,Carolina Hurricanes - Edmonton Oilers,5,293,3383,1,79820,79797,2.26,3.96,2.62,0,0,0,1,0.4181401056817214,-0.04365346123754739
hockey,finland,liiga,TPS Turku - Hameenlinna,5,199,3306,1,78315,78313,1.76,4.29,3.72,0,0,0,1,0.5485101062388215,-0.045555543446939836
hockey,kazakhstan,championship,Almaty - Beibarys Atyrau,5,225,3329,2,78739,78740,3.85,4.4,1.75,0,0,0,2,0.550454196707278,-0.048940207683018024
soccer,cameroon,elite-one,Bamboutos FC - Bafoussam,9,179,2080,1,43392,43396,2.5,3.0,2.6,0,0,0,2,0.35425087024037,-0.04934233585939876
hockey,russia,khl,Metallurg Magnitogorsk - Niznekamsk,5,266,3341,1,78864,78882,1.63,4.81,4.23,0,0,0,1,0.5940685724925151,-0.050267026725715085
soccer,europe,europa-league,AEK Athens FC - Austria Vienna,9,196,2166,1,46361,46387,1.55,3.99,6.85,0,0,0,1,0.6259340206587537,-0.054185941779875825
hockey,norway,get-ligaen,Valerenga - Stjernen,5,254,3334,1,78787,78788,1.92,4.46,3.05,0,0,0,1,0.49442337007562714,-0.05511644505956081
