Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
american-football,usa,ncaa,Syracuse - Clemson,1,0,293,137,3488,1,2,71690,51,71801,162,13.5,0.0,1.05,0,0,0,2,0.9668437668906491,0.3037191047036322
volleyball,africa,african-championship-women,Kenya W - Egypt W,2,1,156,0,3612,1,1,39505,4,39507,6,1.21,0.0,4.75,0,0,1,1,0.8562711299087065,0.17184793899778442
volleyball,france,pro-a,Tourcoing - Tours,2,1,200,44,3709,0,2,84500,125,47944,5,6.0,0.0,1.15,0,0,0,2,0.8896273755241632,0.1538098790185835
volleyball,africa,african-championship-women,Cameroon W - Senegal W,2,1,156,0,3612,1,1,39501,0,39519,18,1.17,0.0,5.5,0,0,1,1,0.8732859163243493,0.1279089535264031
rugby-union,france,pro-d2,Beziers - Carcassonnaise,3,2,200,44,3528,1,1,47991,2,82042,13,1.09,29.2,6.83,0,0,0,1,0.9267673073373814,0.11307072219717511
soccer,belgium,super-league-women-2017-2018,St. Liege W - Heist W,9,8,170,14,0,-1,1,0,0,0,0,1.04,14.0,26.0,0,0,0,1,0.9651031137328825,0.09268095705494686
soccer,world,world-cup-u17,Spain U17 - North Korea U17,9,8,302,146,2731,7,1,46599,0,66355,11,1.08,9.83,21.48,0,1,0,1,0.9326289322931224,0.09049058595715356
basketball,france,pro-b,Orleans - Vichy,7,6,200,44,2911,1,1,47941,2,69552,25,1.3,0.0,3.74,0,0,0,1,0.7888570705626212,0.08504730577135891
hockey,austria,ebel,Dornbirn - Klagenfurt,5,4,165,9,3245,0,2,41492,24,77526,0,2.47,4.44,2.24,0,0,0,1,0.44667667976028563,0.07026625782850722
handball,greece,a1,AEK Athens - Olympiacos SFP,6,5,207,51,3155,0,2,68503,8,0,0,2.09,8.37,1.93,0,0,0,2,0.5510121575964314,0.0682295313560351
basketball,argentina,torneo-super-20,Quimsa - Salta,7,6,160,4,3877,2,1,67620,18,97548,16,1.23,0.0,3.92,0,0,0,1,0.8197520083450525,0.0360650881061505
soccer,uganda,premier-league,Proline - Mbarara City,9,8,294,138,2697,0,1,64503,5,0,0,2.24,2.71,3.2,0,0,0,0,0.39046062813832494,0.034004855119801496
hockey,germany,del2,Kassel - Freiburg,5,4,204,48,3316,1,1,48781,45,78468,21,1.62,4.87,3.79,0,0,0,1,0.6287552995518306,0.029973524635428628
hockey,denmark,metal-ligaen,Aalborg - Odense Bulldogs,5,4,188,32,3266,0,1,44699,14,77840,2,2.24,4.23,2.52,0,0,0,1,0.4628639268950516,0.029689674391061037
basketball,france,pro-b,Nantes - Rouen,7,6,200,44,2911,1,1,46925,128,47986,47,1.35,0.0,3.38,0,0,0,1,0.7480763617340002,0.028294538116858187
baseball,mexico,lmp,Yaquis de Obregon - Hermosillo,8,7,242,86,3454,1,2,81020,6,81016,2,1.92,0.0,1.83,0,0,0,1,0.5326491559154015,0.02465910799735967
hockey,finland,liiga,Hameenlinna - Vaasan Sport,5,4,199,43,3306,0,1,47456,25,78321,12,2.04,4.02,2.98,0,0,0,1,0.5024480939847336,0.024032799739285165
rugby-union,south-africa,currie-cup,Bulls - Pumas,3,2,277,121,3534,0,1,82124,1,82125,2,1.22,25.78,4.36,0,1,0,1,0.8239430538532152,0.02368420773146595
hockey,hungary,erste-liga,DAB - Ferencvaros,5,4,212,56,3323,0,2,77568,27,50757,2,2.33,4.69,2.31,0,0,0,2,0.4442857543370169,0.020076406502678674
basketball,australia,nbl,New Zealand Breakers - Sydney,7,6,163,7,2811,0,2,67843,7,67842,6,1.99,0.0,1.81,0,0,0,1,0.5103189629712235,0.01569165284114618
baseball,usa,mlb,Washington Nationals - Chicago Cubs,8,7,293,137,3460,0,1,81101,28,81095,22,1.92,0.0,1.92,0,0,0,1,0.5240794679485433,0.006774541805655626
volleyball,russia,russia-cup,Ufa - Krasnoyarsk,2,1,266,110,3773,4,1,58836,16,78902,9,1.59,0.0,2.28,0,1,0,1,0.6306928143589984,0.0047484319166227985
basketball,germany,bbl,Oldenburg - Bayreuth,7,6,204,48,2917,0,1,48758,22,69700,7,1.59,0.0,2.38,0,0,0,1,0.629288989579015,0.0009652431027694057
hockey,czech-republic,extraliga,Pardubice - Trinec,5,4,187,31,3257,0,2,68212,3,44184,1,3.28,4.48,1.84,0,0,0,2,0.5427348538861985,-0.0016284152968985368
soccer,russia,premier-league,Akhmat Grozny - Spartak Moscow,9,8,266,110,2535,0,2,58830,10,46192,61,3.13,3.21,2.29,0,0,0,2,0.4351761451874411,-0.002671804279658892
