Sport,Country,League,Participants,Bet,HomeOdd,DrawOdd,AwayOdd,ProbaLeague,Kelly,Probability,Prediction
hockey,slovakia,tipsport-liga,Liptovsky Mikulas - Kosice,2,3.12,4.3,1.91,0.5689655172413793,0.030172413793103647,0.5022156695923979,2
hockey,austria,ebel,Graz 99ers - Fehervar AV19,1,1.87,4.62,3.11,0.5676328502415459,0.027173913043478104,0.5202470491462999,1
hockey,denmark,metal-ligaen,Aalborg - Odense Bulldogs,1,2.24,4.23,2.52,0.4603174603174603,0.010582010582010543,0.4628639268950516,1
hockey,czech-republic,extraliga,Pardubice - Trinec,2,3.28,4.48,1.84,0.5596330275229358,0.009174311926605505,0.5427348538861985,2
soccer,poland,ekstraklasa,Jagiellonia - Lech Poznan,1,2.51,3.13,2.88,0.4219409282700422,0.009041591320072382,0.34840177950295914,1
soccer,germany,regionalliga-sudwest,Kickers Offenbach - Stadtallendorf,1,1.41,4.63,6.15,0.7155963302752294,0.004587155963302615,0.6532490144640881,1
