Sport,Country,League,Participants,Odds
rugby-league,australia,intrust-super-cup,Tweed Heads - Northern Pride,2.50,25.42,1.50
rugby-league,australia,intrust-super-cup,Souths Logan - Central Capras,1.19,34.65,4.27
rugby-league,australia,intrust-super-cup,PNG Hunters - Wynnum Manly,1.25,30.63,3.63
rugby-league,australia,nrl,Canterbury Bulldogs - Manly Sea Eagles,4.04,25.46,1.24
rugby-league,england,league-1,Hemel - Crusaders,5.66,33.29,1.14
rugby-league,england,league-1,Oxford RLFC - South Wales Ironmen,1.46,20.75,2.90
rugby-league,england,championship,Batley - Oldham,1.02,42.99,12.47
rugby-league,england,league-1,Barrow - York City,1.29,22.24,3.73
rugby-league,england,league-1,Whitehaven - Keighley,1.29,22.24,3.73
rugby-league,england,league-1,Coventry - London Skolars,5.66,33.29,1.14
rugby-league,england,super-league,Hull KR - London Broncos,1.20,24.63,4.32
rugby-league,england,super-league,Widnes Vikings - Featherstone Rovers,1.01,42.41,14.45
