Sport,Country,League,Participants,Odds
basketball,world,universiade,Mozambique Univ. - Australia Univ.,0.00,0.00
basketball,asia,southeast-asian-games-women,Vietnam W - Philippines W,0.00,0.00
basketball,asia,southeast-asian-games-women,Myanmar W - Malaysia W,0.00,0.00
basketball,world,universiade,Estonia Univ. - USA Univ.,0.00,0.00
basketball,world,universiade,Japan Univ. - Norway Univ.,11.50,1.02
basketball,world,universiade,Argentina Univ. - Romania Univ.,1.04,5.30
basketball,world,universiade,Latvia Univ. - South Korea Univ.,1.15,5.00
basketball,philippines,governors-cup,Phoenix Fuelmasters - TNT KaTropa,3.18,1.34
basketball,world,universiade,Lithuania Univ. - Russia Univ.,1.08,7.00
basketball,australia,seabl,Mt Gambier - Nunawading,1.26,3.85
basketball,philippines,governors-cup,San Miguel Beermen - Global Port,1.28,3.57
basketball,world,universiade,Serbia Univ. - Chinese Taipei Univ.,1.14,5.20
basketball,asia,southeast-asian-games,Thailand - Indonesia,1.14,5.00
