Sport,Country,League,Season,Participants,WinningOdd,Bet
soccer,world,world-cup-2018,2018,Brazil - Ecuador,1.25,1
soccer,mexico,copa-mexico,2018,U.N.A.M.- Pumas - Celaya,1.42,1
soccer,world,world-cup-2018,2018,Peru - Bolivia,1.35,1
soccer,world,world-cup-2018,2018,New Zealand - Solomon Islands,1.11,1
soccer,russia,division-2-ural-povolzhye,2018,Chelyabinsk - Lada Togliatti,1.42,1
soccer,russia,division-2-ural-povolzhye,2018,Orenburg 2 - Nosta,1.25,2
soccer,russia,division-2-west,2018,Kolomna - Luki-Energiya,1.49,2
soccer,slovakia,2-liga,2018,Skalica - Sered,1.45,1
soccer,europe,euro-u21,2018,Latvia U21 - Ukraine U21,1.44,2
soccer,europe,euro-u21,2018,Slovenia U21 - Luxembourg U21,1.17,1
soccer,europe,euro-u21,2018,Estonia U21 - Slovakia U21,1.31,2
soccer,russia,division-2-ural-povolzhye,2018,M. Saransk - Anzhi-Junior Zelenodolsk,1.3,1
soccer,russia,division-2-west,2018,Chertanovo M. - Znamya Truda,1.19,1
soccer,finland,kakkonen-group-b,2018,EsPa - Tampere Utd,1.41,2
soccer,romania,liga-2,2018,Targu Mures - Braila,1.43,1
soccer,world,world-cup-2018,2018,Ghana - Congo,1.33,1
soccer,europe,euro-u21,2018,Serbia U21 - Gibraltar U21,1.01,1
soccer,world,friendly-international,2018,Germany U21 - Hungary U21,1.25,1
soccer,europe,euro-u21,2018,Kosovo U21 - Norway U21,1.22,2
soccer,europe,euro-u21,2018,Switzerland U21 - Wales U21,1.46,1
soccer,germany,regionalliga-bayern,2018,Munich 1860 - Ingolstadt II,1.3,1
soccer,sweden,division-2-ostra-gotaland,2018,Hassleholms IF - Rappe GOIF,1.5,1
soccer,austria,regionalliga-east,2018,Ebreichsdorf - Neusiedl,1.37,1
soccer,belgium,super-league-women-2017-2018,2018,Leuven W - Gent W,1.3,2
soccer,belgium,super-league-women-2017-2018,2018,St. Liege W - Heist W,1.06,1
soccer,germany,oberliga-hamburg,2018,TuS Osdorf - Dassendorf,1.33,2
soccer,germany,regionalliga-west,2018,RW Essen - Wiedenbruck,1.5,1
soccer,netherlands,eredivisie-women,2018,Excelsior/Barendrecht W - PSV W,1.2,2
soccer,netherlands,eredivisie-women,2018,PEC Zwolle W - Twente W,1.06,2
soccer,belgium,super-league-women-2017-2018,2018,RSC Anderlecht W - Genk W,1.33,1
soccer,netherlands,eerste-divisie,2018,Maastricht - Den Bosch,1.43,1
soccer,netherlands,eerste-divisie,2018,Nijmegen - Eindhoven FC,1.37,1
soccer,world,friendly-international,2018,Austria U21 - Finland U21,1.45,1
soccer,england,fa-cup,2018,Kingstonian - Shoreham,1.22,1
soccer,ireland,division-1,2018,Athlone - Cobh Ramblers,1.34,2
soccer,ireland,division-1,2018,UC Dublin - Wexford,1.34,1
soccer,ireland,division-1,2018,Waterford - Shelbourne,1.45,1
soccer,ireland,premier-division,2018,Dundalk - St. Patricks,1.34,1
soccer,world,club-friendly,2018,AS Roma (Ita) - Chapecoense-SC (Bra) ,1.36,1
soccer,world,world-cup-2018,2018,San Marino - Northern Ireland,1.04,2
soccer,world,world-cup-2018,2018,Czech Republic - Germany,1.45,2
soccer,world,world-cup-2018,2018,Romania - Armenia,1.44,1
soccer,world,world-cup-2018,2018,Malta - England,1.04,2
soccer,argentina,copa-argentina,2018,Talleres Cordoba - Gimnasia Mendoza,1.47,1
basketball,philippines,governors-cup,2018,Kia Picanto - Blackwater Elite,1.34,2
basketball,philippines,governors-cup,2018,TNT KaTropa - Global Port,1.25,1
basketball,europe,eurobasket-2017,2018,Belgium - Great Britain,1.38,1
basketball,europe,eurobasket-2017,2018,Hungary - Croatia,1.03,2
basketball,europe,eurobasket-2017,2018,Serbia - Latvia,1.39,1
basketball,europe,eurobasket-2017,2018,Spain - Montenegro,1.1,1
basketball,europe,eurobasket-2017,2018,Romania - Czech Republic,1.12,2
basketball,usa,wnba,2018,New York Liberty W - San Antonio Stars W,1.17,1
