Sport,Country,League,Participants,Odds
american-football,usa,afl,Philadelphia Soul - Tampa Bay Storm,1.20,5.05
american-football,usa,nfl,New York Giants - New York Jets,1.44,2.78
american-football,usa,ncaa,San Jose State - South Florida,10.09,1.05
american-football,usa,nfl,Tampa Bay Buccaneers - Cleveland Browns,1.48,2.65
american-football,usa,nfl,Pittsburgh Steelers - Indianapolis Colts,1.39,3.03
american-football,canada,cfl,Calgary Stampeders - Toronto Argonauts,1.23,4.24
american-football,usa,ncaa,Rice - Stanford,21.37,1.01
american-football,finland,vaahteraliiga,Helsinki Roosters - Porvoo Butchers,1.03,7.00
