Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
rugby-league,australia,holden-cup,Parramatta Eels U20 - Manly-Warringah U20,4,163,3495,1,0,0,0.0,0.0,0.0,0,1,0,1,0.6938809146979954,1.0
soccer,peru,segunda-division,Los Caimanes - Huaral,9,260,2493,1,57402,57397,0.0,0.0,0.0,0,0,0,1,0.5730200356904273,1.0
soccer,czech-republic,first-league-women,Plzen W - Slavia Prague W,9,187,2124,2,44676,44678,34.0,26.0,1.01,0,0,1,2,0.998148968371034,0.813045805474432
soccer,spain,laliga,Barcelona - Las Palmas,9,280,2613,1,61287,61300,1.09,13.3,26.58,0,0,0,1,0.9598685358333494,0.513963378426122
basketball,argentina,torneo-super-20,Hispano Americano - Ferro,7,160,3877,1,0,97547,1.48,0.0,2.55,0,0,0,1,0.8028218879442625,0.39203415449480944
soccer,spain,laliga,Real Madrid - Espanyol,9,280,2613,1,61290,61306,1.12,11.03,21.57,0,0,0,1,0.9326475075726188,0.3713767373444436
soccer,ukraine,premier-league,Veres Rivne - Stal Kamianske,9,295,2698,1,0,64530,1.3,4.49,10.86,0,0,0,1,0.8439986825322291,0.3239942909729931
soccer,italy,serie-a,Napoli - Cagliari,9,220,2342,1,51940,51941,1.13,9.42,21.09,0,0,0,1,0.9189595100684798,0.2955711259798623
soccer,denmark,3f-ligaen-women,VSK Aarhus W - Fortuna Hjorring W,9,188,2139,2,45159,45153,23.24,9.19,1.04,0,0,1,2,0.9722069272512083,0.27738010853141626
soccer,italy,serie-d-group-g,Cassino - Latte Dolce,9,220,2354,1,0,91373,2.03,3.29,3.29,0,0,0,1,0.5979049917367808,0.2075214885686067
basketball,spain,acb,San Pablo Burgos - Tenerife,7,280,3008,2,0,71213,2.4,0.0,1.58,0,0,0,1,0.5178482190021549,0.1734540897179799
hockey,sweden,hockeyettan-ostra,Nykopings - Valbo,5,283,3358,1,0,99244,2.14,5.05,2.29,0,0,0,1,0.5596711257861827,0.17341772735300964
handball,spain,copa-del-rey,Agustinos Alicante - Palma del Rio,6,280,3201,1,0,76325,1.4,9.0,3.6,0,1,0,1,0.751095090525412,0.1288328168389419
soccer,italy,serie-a,Spal - Crotone,9,220,2342,1,0,51927,1.98,3.36,4.26,0,0,0,1,0.5638243132917423,0.11874708195678557
soccer,italy,serie-b,Foggia - Novara,9,220,2343,1,0,51978,1.82,3.4,4.49,0,0,0,1,0.5991427566401781,0.1102924598599075
soccer,sweden,allsvenskan,Malmo FF - Halmstad,9,283,2630,1,62167,62164,1.15,7.56,17.57,0,0,0,1,0.8816216715729848,0.09243281539288296
soccer,spain,tercera-division-2017-2018,Diocesano - Trujillo,9,280,0,1,0,0,2.09,3.28,2.98,0,0,0,0,0.3656275441978994,0.087394010951364
soccer,spain,tercera-division-2017-2018,Castilleja CF - CD Gerena,9,280,0,1,0,0,2.1,3.4,2.88,0,0,0,0,0.3555845461372521,0.08707810702777384
soccer,usa,usl-2017,Colorado Springs - Orange County SC,9,293,0,1,0,0,2.31,3.38,2.61,0,0,0,0,0.35714334234844075,0.08703550299904607
soccer,spain,tercera-division-2017-2018,Santuxu - Santurtzi,9,280,0,1,0,0,2.4,3.1,2.7,0,0,0,0,0.38150861559390703,0.08698890873386277
soccer,spain,tercera-division-2017-2018,Barreda Balompie - Textil Escudo,9,280,0,1,0,0,2.23,3.2,2.79,0,0,0,0,0.3720190668633262,0.08657318816483814
soccer,spain,tercera-division-2017-2018,Paterna - Silla CF,9,280,0,1,0,0,2.3,3.25,2.7,0,0,0,0,0.36742119195613876,0.08627505504775594
soccer,italy,serie-a,Benevento - Inter,9,220,2342,2,0,51931,12.36,5.98,1.27,0,0,0,2,0.8057380354019187,0.08624927763124718
soccer,usa,usl-2017,Richmond Kickers - Orlando City 2,9,293,0,1,0,0,2.51,3.21,2.51,0,0,0,0,0.3703381452654006,0.08542327886965423
