soccer,china,super-league,,1.46,4.46,6.37
soccer,china,yi-league,,0.00,0.00,0.00
soccer,indonesia,liga-1,,1.49,4.05,5.53
soccer,czech-republic,division-a,Karlovy Vary - Petrin Plzen,1.29,4.93,7.25
soccer,czech-republic,youth-league,,1.45,4.70,4.93
soccer,slovakia,2-liga,,1.18,6.47,10.38
soccer,poland,iii-liga-group-i-2017-2018,Nowe Miasto Lubawskie - Pelikan,1.40,4.60,5.63
soccer,denmark,2nd-division-group-2,Avarta - Dalum IF,1.29,5.14,7.51
soccer,germany,junioren-bundesliga-north,Hamburger SV U19 - Niendorfer TSV U19,1.20,5.83,8.57
soccer,norway,toppserien-women,Sandviken W - Medkila W,1.29,5.03,7.92
soccer,switzerland,swiss-cup,Granichen - Sion,25.97,17.89,1.02
soccer,germany,oberliga-bremen,BTS Neustadt - Grolland,1.41,5.00,4.94
soccer,singapore,singapore-cup,Albirex Niigata - Tampines,1.50,4.14,5.32
soccer,china,super-league,Guangzhou Evergrande - Henan Jianye,1.22,6.27,11.89
soccer,china,super-league,Beijing Guoan - Liaoning,1.18,7.00,13.27
soccer,china,super-league,Shanghai SIPG - Chongqing Lifan,1.25,5.83,10.88
soccer,germany,junioren-bundesliga-north,Bremen U19 - Holstein Kiel U19,1.48,4.12,5.14
soccer,germany,oberliga-hamburg,Pinneberg - Sasel,1.45,4.50,4.97
soccer,germany,oberliga-schleswig-holstein,NTSV Strand 08 - Neumunster,1.25,6.13,7.05
soccer,sweden,division-2-norrland,Pitea - Anundsjo,1.11,7.90,11.63
soccer,sweden,division-2-ostra-gotaland,IFK Malmo - Vimmerby,1.49,4.22,5.12
soccer,cameroon,elite-one,Bafoussam - Canon Yaounde,1.49,3.34,7.01
soccer,netherlands,eredivisie,Feyenoord - Twente,1.23,6.29,12.91
soccer,switzerland,swiss-cup,Wettswil-Bonstetten - Basel,27.82,14.43,1.03
soccer,switzerland,swiss-cup,Kreuzlingen - Rapperswil,8.98,5.27,1.27
soccer,switzerland,swiss-cup,Chippis - Zurich,24.95,14.33,1.03
soccer,germany,oberliga-hessen,Baunatal - Ginsheim,1.41,4.51,5.48
soccer,germany,oberliga-niederrhein,Schonnebeck - Dusseldorf-West,1.41,4.50,5.53
soccer,germany,oberliga-niederrhein,Bocholt - SW Essen,1.26,6.00,6.90
soccer,germany,oberliga-westfalen,TuS Haltern - Arminia Bielefeld II,1.21,6.00,8.85
soccer,ireland,fai-cup,Portmarnock - St. Patricks,16.94,8.06,1.10
soccer,ireland,fai-cup,Evergreen Utd. - Drogheda,7.25,4.53,1.36
soccer,ireland,fai-cup,Killester Utd - Galway,5.67,3.94,1.50
soccer,sweden,allsvenskan,AIK - AFC Eskilstuna,1.26,5.64,12.22
soccer,switzerland,swiss-cup,Ruti - Schaffhausen,16.10,10.48,1.08
soccer,switzerland,swiss-cup,Romontois - Grasshoppers,26.72,14.83,1.02
soccer,switzerland,swiss-cup,Beroche-Gorgier - Kosova,5.60,4.62,1.44
soccer,germany,dfb-pokal,Bonner - Hannover,10.05,5.47,1.28
soccer,germany,dfb-pokal,Dorfmerkingen - RB Leipzig,35.99,15.78,1.02
soccer,germany,dfb-pokal,Morlautern - Greuther Furth,22.84,11.40,1.06
soccer,germany,dfb-pokal,FC Nottingen - Bochum,14.40,7.62,1.15
soccer,germany,dfb-pokal,Norderstedt - Wolfsburg,14.98,7.26,1.16
soccer,norway,division-2-group-1,Ham-Kam - Finnsnes,1.22,6.02,8.59
soccer,switzerland,swiss-cup,Echallens - Aarau,11.47,7.40,1.16
soccer,russia,division-2-south,Anzhi 2 - Armavir,5.60,4.11,1.46
soccer,luxembourg,national-division,Mondorf - Dudelange,10.30,5.57,1.20
soccer,norway,division-2-group-1,Raufoss - Brumunddal,1.39,4.60,6.06
soccer,russia,division-1,FC Tambov - R. Volgograd,1.48,3.90,6.93
soccer,sweden,division-2-ostra-gotaland,IFK Hassleholm - Hassleholms IF,6.44,5.05,1.33
soccer,sweden,division-2-sodra-svealand,Linkoping City - Huddinge,1.13,7.57,11.23
soccer,switzerland,swiss-cup,Baden - St. Gallen,13.18,7.92,1.13
soccer,russia,premier-league,Lokomotiv Moscow - Tosno,1.37,4.47,10.04
soccer,switzerland,swiss-cup,Gambarogno - Contone - Winterthur,16.64,8.73,1.10
soccer,ukraine,druha-liga,Nikopol - Dnipro-1,11.50,4.70,1.31
soccer,azerbaijan,premier-league,Zira - Sabail,1.46,4.02,5.88
soccer,czech-republic,cfl,Benatky - Brozany,1.46,4.47,4.92
soccer,czech-republic,cfl,Zapy - Litomericko,1.50,4.46,4.49
soccer,czech-republic,division-c,Caslav - Pardubice B,1.43,4.83,4.53
soccer,czech-republic,division-d,Tasovice - Blansko,1.49,4.48,4.38
soccer,england,premier-league,Manchester United - West Ham,1.31,5.53,11.35
