Sport,Country,League,Participants,Odds
american-football,canada,cfl,BC Lions - Calgary Stampeders,2.60,1.50
american-football,usa,nfl,Dallas Cowboys - Indianapolis Colts,1.44,2.76
american-football,usa,nfl,Detroit Lions - New York Jets,1.42,2.85
