Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
hockey,kazakhstan,championship,Kulager - HC Astana,5,4,225,69,3329,0,1,78738,4,78743,9,0.0,0.0,0.0,0,0,0,1,0.625696863737751,1.0
basketball,world,club-friendly,Houston Rockets (Usa)  - Shanghai (Chn) ,7,6,302,146,3056,7,1,98326,681,72798,115,0.0,0.0,0.0,0,0,0,1,0.5488876600774905,1.0
soccer,world,world-cup-2018,Spain - Albania,9,8,302,146,0,-1,1,0,0,0,0,1.07,13.36,36.4,0,0,0,1,0.9733782366817963,0.5930673321360304
soccer,world,world-cup-2018,Italy - FYR Macedonia,9,8,302,146,0,-1,1,0,0,0,0,1.07,12.14,35.69,0,0,0,1,0.9681076098442687,0.512502036190966
soccer,world,world-cup-2018,Ireland - Moldova,9,8,302,146,0,-1,1,0,0,0,0,1.1,9.82,32.33,0,0,0,1,0.9501394787814308,0.45153426659573853
soccer,world,world-cup-2018,Croatia - Finland,9,8,302,146,0,-1,1,0,0,0,0,1.12,8.85,26.31,0,0,0,1,0.9267857600145013,0.31666709346867894
handball,denmark,hth-go-ligaen-women,Ajax Kobenhavn W - Viborg W,6,5,188,32,3109,4,2,73968,15,45161,13,22.6,25.16,1.01,0,0,1,2,0.9932132073043747,0.3145339377418341
rugby-union,france,pro-d2,Nevers - Beziers,3,2,200,44,3528,1,1,0,0,47991,2,1.45,20.31,2.77,0,0,0,1,0.7580290554325801,0.22031584528275794
rugby-union,new-zealand,mitre-10-cup,Canterbury - Taranaki,3,2,249,93,3532,1,1,56163,4,82108,6,1.13,31.37,5.58,0,1,0,1,0.9055208145719681,0.1787578497409533
rugby-union,france,pro-d2,Aurillac - Aviron Bayonnais,3,2,200,44,3528,1,1,48440,139,81925,9,1.29,21.6,3.62,0,0,0,1,0.8147034815460599,0.17574996963592188
soccer,world,world-cup-2018,Mali - Ivory Coast,9,8,302,146,0,-1,2,0,0,0,0,3.31,3.12,2.3,0,0,0,0,0.40759185567549,0.12815405174883437
soccer,poland,ekstraliga-women,LUKS Sportowa Czworka Radom W - Leczna W,9,8,262,106,2515,18,2,0,0,0,0,17.0,11.0,1.06,0,0,1,2,0.9493882391915702,0.10585889238440643
hockey,france,ligue-magnus,Chamonix Mont-Blanc - Strasbourg,5,4,200,44,3311,0,1,99170,21,46380,141,1.95,4.57,2.76,0,0,0,2,0.40676504042330963,0.06969972248200829
handball,denmark,hth-go-ligaen-women,Copenhagen W - Aarhus United W,6,5,188,32,3109,4,1,73954,1,0,0,1.05,17.75,14.02,0,0,1,1,0.955135722132092,0.05785016477393152
soccer,wales,fa-cup,Aberdare - Ammanford,9,8,301,145,2722,3,2,65025,18,0,0,2.55,3.5,2.35,0,1,0,2,0.45858223094634476,0.05753203164734085
hockey,austria,ebel,Villach - Bolzano,5,4,165,9,3245,0,1,41576,27,77529,3,2.03,4.6,2.76,0,0,0,1,0.5191172513045965,0.05224079626051541
hockey,austria,ebel,Znojmo - Vienna Capitals,5,4,165,9,3245,0,2,44174,19,77527,1,2.61,4.47,2.14,0,0,0,1,0.41119449538660174,0.04547679065778299
