Sport,Country,League,Participants,Odds
basketball,usa,wnba,Washington Mystics W - Dallas Wings W,1.45,3.02
basketball,world,universiade,Japan Univ. - South Korea Univ.,2.82,1.40
basketball,world,universiade,USA Univ. - Israel Univ.,1.15,5.60
basketball,world,universiade,Canada Univ. - Chinese Taipei Univ.,1.19,4.35
basketball,world,universiade,Estonia Univ. - Australia Univ.,5.10,1.15
basketball,world,universiade,Germany Univ. - Latvia Univ.,1.24,4.15
basketball,world,universiade,Mexico Univ. - Norway Univ.,1.40,2.83
basketball,philippines,governors-cup,NLEX Road Warriors - San Miguel Beermen,3.06,1.34
basketball,world,friendly-international,Germany - France,3.31,1.29
basketball,world,americup,Virgin Islands - Canada,4.15,1.24
