Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,europe,fiba-europe-cup,Belfius Mons - Beroe,7,6,196,40,2854,4,1,67995,6,43185,14,0.0,0.0,0.0,0,1,0,1,0.5663997693326297,1.0
basketball,europe,fiba-europe-cup,Pardubice - Spirou Charleroi,7,6,196,40,2854,4,1,68212,3,67992,3,0.0,0.0,0.0,0,1,0,1,0.6062973828042207,1.0
hockey,europe,champions-league,Cardiff (Gbr)  - Vaxjo (Swe) ,5,4,196,40,3273,5,2,99520,593,77963,80,12.42,10.79,1.11,0,0,0,2,0.9137594986898679,0.12975494132503104
hockey,russia,mhl,Serebryanye Lvi - Kunlun Junior,5,4,266,110,3343,2,1,99217,34,0,0,2.2,3.98,2.62,0,0,0,2,0.44347674920314434,0.09994387834088782
soccer,england,fa-cup,Stratford - Scarborough Athletic,9,8,193,37,3863,14,1,45737,21,89025,428,2.18,3.76,2.68,0,1,0,1,0.507565264037042,0.09024769118707779
soccer,england,checkatrade-trophy,Portsmouth - Crawley Town,9,8,193,37,3869,20,1,45341,33,45437,33,1.47,4.14,6.54,0,0,0,1,0.6944076903102606,0.04421128671507051
american-football,usa,nfl,Kansas City Chiefs - Washington Redskins,1,0,293,137,3487,0,1,81308,6,81322,20,1.32,0.0,3.52,0,0,0,1,0.7677352290197978,0.04190781970666648
baseball,japan,npb,Yakult Swallows - Yomiuri Giants,8,7,223,67,3452,0,2,80982,3,80979,0,1.95,0.0,1.82,0,0,0,1,0.5320538529052661,0.03947896122659871
soccer,england,checkatrade-trophy,Blackburn - Bury,9,8,193,37,3869,20,1,45336,28,45425,21,1.49,4.08,6.3,0,0,0,1,0.6836949837006673,0.038174542273457776
hockey,germany,del,Dusseldorf - Eisbaren Berlin,5,4,204,48,3315,0,2,46793,2,77892,9,2.45,4.4,2.29,0,0,0,1,0.43050486162756596,0.03774959378450802
soccer,england,checkatrade-trophy,AFC Wimbledon - Tottenham U23,9,8,193,37,3869,20,1,45408,4,45881,3,2.14,3.46,3.23,0,0,0,1,0.48333875940335447,0.030127144844893452
hockey,europe,champions-league,Vienna Capitals (Aut)  - Zug (Sui) ,5,4,196,40,3273,5,2,99148,119,77947,64,2.84,4.4,2.02,0,0,0,2,0.5095321510789164,0.02868131880334419
soccer,england,checkatrade-trophy,Oxford Utd - Brighton U23,9,8,193,37,3869,20,1,45418,14,45897,19,1.99,3.51,3.5,0,0,0,1,0.5136277732970471,0.022342695819316978
hockey,germany,del2,Freiburg - Ravensburg,5,4,204,48,3316,1,1,78468,21,49617,17,2.24,4.66,2.41,0,0,0,2,0.4276965239498398,0.021807533843343295
soccer,germany,oberliga-bayern-nord,Schweinfurt II - Grossbardorf,9,8,204,48,2258,19,2,0,0,49026,43,2.67,3.74,2.12,0,0,0,1,0.38710734503830196,0.020105755240877956
soccer,england,checkatrade-trophy,Southend - Reading U23,9,8,193,37,3869,20,1,45398,52,45885,7,1.66,3.77,4.85,0,0,0,1,0.6060294604685531,0.009104400572421208
hockey,germany,del2,Kassel - Riessersee,5,4,204,48,3316,1,1,48781,45,78486,17,1.86,4.64,3.02,0,0,0,1,0.5407562001711173,0.006751781765439652
soccer,england,checkatrade-trophy,Rotherham - Chesterfield,9,8,193,37,3869,20,1,45364,18,45423,19,1.5,4.25,5.77,0,0,0,1,0.6672315553708745,0.0016946661126233664
soccer,england,checkatrade-trophy,Shrewsbury - West Brom U23,9,8,193,37,3869,20,1,45419,15,45898,20,1.56,4.1,5.29,0,0,0,1,0.6411459594613894,0.0003351727852992806
soccer,england,checkatrade-trophy,Accrington - Blackpool,9,8,193,37,3869,20,1,45494,21,45339,31,2.37,3.44,2.76,0,0,0,1,0.4213469513942551,-0.0010275366391353164
soccer,england,checkatrade-trophy,Doncaster - Sunderland U23,9,8,193,37,3869,20,1,45381,35,45886,8,1.66,3.89,4.69,0,0,0,1,0.6015701893411955,-0.0021113419600233565
hockey,czech-republic,extraliga,Sparta Prague - Pardubice,5,4,187,31,3257,0,1,44168,13,68212,3,1.36,6.05,5.8,0,0,0,1,0.7347187369671102,-0.0021736603464723226
