Sport,Country,League,Season,Participants,WinningOdd,Bet
soccer,mexico,copa-mexico,2018,Club Tijuana - Atlante,1.33,1
soccer,russia,division-2-east,2018,Chita - Omsk,1.34,1
soccer,bangladesh,premier-league,2018,Abahani Limited - Arambagh,1.36,1
soccer,turkey,turkish-cup,2018,Manisa - Bergama Bld.,1.5,1
soccer,bangladesh,premier-league,2018,Muktijoddha Sangsad - Abahani Chittagong,1.33,2
soccer,czech-republic,cfl,2018,Chrudim - Prevysov,1.31,1
soccer,czech-republic,cfl,2018,Zapy - Nymburk,1.34,1
soccer,czech-republic,cfl,2018,Domazlice - Cizova,1.21,1
soccer,czech-republic,cfl,2018,Vltavin - Stechovice,1.43,1
soccer,fyr-of-macedonia,macedonian-cup,2018,Lok. Skopje - Vardar,1.02,2
soccer,fyr-of-macedonia,macedonian-cup,2018,KF Gostivar - Shkendija,1.16,2
soccer,ghana,premier-league,2018,Hearts of Oak - Aduana Stars,1.5,1
soccer,montenegro,division-2,2018,Mornar Bar - Celik Niksic,1.27,1
soccer,poland,iii-liga-group-iv-2017-2018,2018,Ostrowiec Swietokrzyski - MKS Trzebinia Siersza,1.36,1
soccer,poland,iii-liga-group-iv-2017-2018,2018,NKP Podhale Nowy Targ - Spartakus Daleszyce,1.33,1
soccer,poland,iii-liga-group-iv-2017-2018,2018,R. Rzeszow - Unia Tarnow,1.36,1
soccer,slovakia,divison-c-bratislava,2018,Vajnory - Raca,1.5,2
soccer,slovakia,divison-c-bratislava,2018,Slovan Bratislava B - Pezinok,1.05,1
soccer,slovakia,divison-c-bratislava,2018,Devinska N. Ves - Bahon,1.4,1
soccer,world,club-friendly,2018,B. Monchengladbach (Ger) - Duisburg (Ger) ,1.49,1
soccer,denmark,landspokal-cup,2018,Norresundby - Skive,1.26,2
soccer,denmark,landspokal-cup,2018,RKG - Fredericia,1.11,2
soccer,denmark,landspokal-cup,2018,Varde - Horsens,1.03,2
soccer,denmark,landspokal-cup,2018,Vanlose - F. Amager,1.25,2
soccer,norway,norway-cup-women,2018,Arna-Bjornar W - Grand Bodo W,1.25,1
soccer,world,club-friendly,2018,Kickers Offenbach (Ger) - Bayern Munich (Ger) ,1.14,2
soccer,world,club-friendly,2018,NTSV Strand 08 (Ger) - Hamburger SV (Ger) ,1.08,2
soccer,denmark,3f-ligaen-women,2018,Vejle W - VSK Aarhus W,1.26,2
soccer,sweden,allsvenskan-women,2018,Bunkeflo W - Rosengard W,1.16,2
soccer,poland,iii-liga-group-iv-2017-2018,2018,Lublin - Karpaty Krosno,1.36,1
soccer,world,club-friendly,2018,TV Herkenrath (Ger) - FC Koln (Ger) ,1.13,2
soccer,spain,copa-del-rey,2018,UD Logrones - Real Aviles,1.09,1
soccer,spain,copa-del-rey,2018,Murcia - Cacereno,1.29,1
soccer,world,club-friendly,2018,Guadalajara (Esp) - Leganes (Esp) ,1.11,2
soccer,world,club-friendly,2018,Massese (Ita) - Genoa (Ita) ,1.1,2
soccer,scotland,highland-league,2018,Brora Rangers - Forres Mechanics,1.3,1
soccer,scotland,highland-league,2018,Cove Rangers - Deveronvale,1.12,1
soccer,scotland,highland-league,2018,Lossiemouth - Fort William,1.22,1
soccer,scotland,highland-league,2018,Strathspey Thistle - Inverurie Loco Works,1.12,2
soccer,wales,league-cup,2018,Holywell - Prestatyn,1.42,2
soccer,scotland,highland-league,2018,Buckie Thistle - Rothes,1.22,1
soccer,scotland,highland-league,2018,Clachnacuddin - Keith,1.33,1
soccer,scotland,highland-league,2018,Huntly - Fraserburgh,1.36,2
soccer,scotland,highland-league,2018,Nairn County - Wick Academy,1.4,1
basketball,world,americup,2018,Uruguay - USA,1.02,2
basketball,world,americup,2018,Virgin Islands - Argentina,1.17,2
basketball,philippines,governors-cup,2018,Blackwater Elite - TNT KaTropa,1.35,2
basketball,philippines,governors-cup,2018,Phoenix Fuelmasters - Barangay Ginebra San Miguel,1.21,2
handball,europe,seha-liga,2018,Presov (Svk) - Meshkov Brest (Blr) ,1.28,2
handball,austria,hla,2018,Linz - Bregenz,1.18,2
handball,europe,seha-liga,2018,Vojvodina (Srb) - Dinamo (Srb) ,1.24,1
handball,germany,bundesliga,2018,N-Lubbecke - Kiel,1.06,2
handball,switzerland,nla,2018,Zurich - HC Kriens,1.25,2
handball,switzerland,nla,2018,St. Gallen - Kadetten,1.07,2
handball,switzerland,nla,2018,Wacker Thun - Gossau,1.06,1
handball,switzerland,nla,2018,Bern - TV Endingen,1.2,1
