basketball,australia,seabl,Geelong - Sandringham,1.35,3.09
basketball,philippines,governors-cup,Kia Picanto - Rain or Shine Elasto Painters,4.41,1.20
basketball,world,friendly-international,Russia - Iceland,1.03,12.50
basketball,asia,asia-cup,Iraq - China,11.15,1.03
basketball,philippines,governors-cup,NLEX Road Warriors - Meralco Bolts,2.84,1.41
basketball,europe,european-championship-u18-b-women,Iceland U18 W - Ukraine U18 W,3.68,1.29
basketball,asia,asia-cup,Philippines - Qatar,1.01,12.41
basketball,world,friendly-international,Georgia - Czech Republic,1.25,3.70
basketball,europe,european-championship-u18-b-women,Belarus U18 W - Portugal U18 W,2.88,1.43
basketball,europe,european-championship-u18-b-women,Bulgaria U18 W - Finland U18 W,2.96,1.41
basketball,asia,asia-cup,Syria - India,1.21,4.15
basketball,europe,european-championship-u18-women,Belgium U18 W - Serbia U18 W,1.45,2.87
basketball,europe,european-championship-u18-b-women,Ireland U18 W - Germany U18 W,2.83,1.46
