handball,world,club-friendly,CSM Focsani (Rou) - Constanta (Rou) ,5.84,11.38,1.17
handball,europe,european-championship-u17-women,Russia U17 W - Netherlands U17 W,1.21,13.00,5.65
handball,world,world-championship-u19,Denmark U19 - Norway U19,1.33,10.40,4.10
handball,world,world-championship-u19,Argentina U19 - South Korea U19,3.82,10.09,1.36
handball,europe,european-championship-u17-women,Germany U17 W - Austria U17 W,1.11,15.17,8.80
handball,europe,european-championship-u17-women,Romania U17 W - Czech Republic U17 W,1.15,15.00,7.07
handball,world,world-championship-u19,Sweden U19 - France U19,6.93,13.98,1.13
handball,world,world-championship-u19,Brazil U19 - Croatia U19,4.06,11.56,1.31
handball,europe,european-championship-u17-women,Serbia U17 W - Slovakia U17 W,4.93,12.00,1.26
handball,world,world-championship-u19,Egypt U19 - Bahrain U19,1.23,12.12,5.06
