Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,australia,wnbl-women,Adelaide Lightning W - Canberra Capitals W,7,6,163,7,2813,2,1,67871,7,0,0,1.43,0.0,2.74,0,0,1,1,0.6542939767045544,-0.14967351933136583
soccer,fyr-of-macedonia,first-league,Shkupi - Pobeda,9,8,197,41,2203,0,1,47294,1,46898,101,1.73,3.51,4.04,0,0,0,1,0.5146695992272285,-0.15016656621492408
hockey,austria,alps-hockey-league,Ritten - Cortina,5,4,165,9,3246,1,1,77541,0,77544,3,1.37,5.77,5.25,0,0,0,1,0.6890310966177747,-0.15142539900986077
basketball,europe,eurocup,&nbsp;Hapoel M. Jerusalem - Bayern,7,6,196,40,2852,2,2,68413,2,68399,23,2.37,0.0,1.58,0,0,0,2,0.5772648832809412,-0.15158876623467743
hockey,czech-republic,wsm-liga,Ceske Budejovice - Benatky,5,4,187,31,3258,1,1,44173,18,44234,0,1.32,5.74,6.08,0,0,0,1,0.7205074649740368,-0.1529067069820977
basketball,japan,b-league,Alvark - Brave Thunders,7,6,223,67,2944,0,1,70263,5,70260,2,1.5,0.0,2.44,0,0,0,1,0.6153006521902087,-0.15409804342937394
handball,france,division-1-women,Fleury Loiret W - Dijon W,6,5,200,44,3145,4,1,74244,15,75239,9,1.4,9.96,3.41,0,0,1,1,0.670180666209138,-0.15436766826801732
soccer,europe,euro-u17,Croatia U17 - Spain U17&nbsp;,9,8,196,40,2171,7,2,46614,15,46599,0,5.53,3.85,1.53,0,0,0,2,0.5994541030611846,-0.15629287229507077
soccer,ukraine,persha-liga,Inhulets - Naftovik-Ukrnafta,9,8,295,139,2699,1,1,64552,3,64546,24,1.65,3.51,4.49,0,0,0,1,0.5442093984532259,-0.15700691161873426
basketball,europe,euroleague-women,Yakin Dogu Univ. W - Ekaterinburg W,7,6,196,40,2886,36,2,0,0,69097,3,2.25,0.0,1.62,0,0,1,2,0.5571526642364703,-0.15711723215631956
basketball,europe,eurocup,&nbsp;Lietkabelis - Reggiana,7,6,196,40,2852,2,1,68423,12,52035,2,1.41,0.0,2.89,0,0,0,1,0.6630643533097984,-0.15872990691020578
soccer,fyr-of-macedonia,first-league,Renova - FK Skopje,9,8,197,41,2203,0,1,46828,31,47311,18,1.57,3.58,5.1,0,0,0,1,0.5778473746827564,-0.16277126622468843
soccer,denmark,landspokal-cup,Jammerbugt - Sonderjyske,9,8,188,32,2138,12,2,44730,22,44696,11,9.68,5.63,1.24,0,1,0,2,0.774800202949566,-0.1635322847605758
soccer,saudi-arabia,saudi-professional-league,Al Feiha - Al-Ettifaq,9,8,269,113,2550,0,1,59293,5,40301,133,1.85,3.58,3.57,0,0,0,1,0.4643430563830282,-0.1658415831663504
