Sport,Country,League,Participants,Odds
soccer,russia,youth-league,SKA Khabarovsk U21 - Rubin Kazan U21,System.Double[]
handball,germany,bundesliga,MT Melsungen - Hannover-Burgdorf,System.Double[]
