Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,world,club-friendly,&nbsp;Corinthians (Bra)  - PSV (Ned) ,9,8,302,146,2728,4,2,60610,77,89823,205,3.16,3.25,2.24,0,0,0
soccer,brazil,campeonato-cearense,Iguatu - Ferroviario,9,8,175,19,2052,10,2,0,0,42803,1,3.7,3.2,1.9,0,0,0
soccer,mexico,copa-mexico,Correcaminos - Dorados de Sinaloa,9,8,242,86,2431,3,1,55565,8,55551,18,2.28,3.32,2.9,0,1,0
soccer,costa-rica,primera-division,Alajuelense - Limon,9,8,184,28,2097,0,1,43848,4,43846,2,1.6,3.85,4.92,0,0,0
soccer,costa-rica,primera-division,Zeledon - Liberia,9,8,184,28,2097,0,1,43854,10,38946,13,1.18,6.48,11.96,0,0,0
soccer,mexico,copa-mexico,Alebrijes Oaxaca - Cruz Azul,9,8,242,86,2431,3,2,55564,7,55549,16,3.69,3.25,1.98,0,1,0
soccer,mexico,copa-mexico,Atl. San Luis - Celaya,9,8,242,86,2431,3,1,55554,21,55566,9,2.34,3.27,2.85,0,1,0
soccer,asia,afc-championship-u23,&nbsp;Australia U23 - Syria U23,9,8,162,6,1968,6,1,40654,8,40661,15,1.72,3.44,4.61,0,0,0
soccer,bangladesh,premier-league,Farashganj - Sheikh Jamal,9,8,168,12,2018,0,2,41888,6,41887,5,5.29,3.74,1.55,0,0,0
soccer,czech-republic,tipsport-liga,&nbsp;Valasske Mezirici - Prostejov,9,8,187,31,2123,13,2,44437,9,44193,10,2.72,3.49,2.52,0,0,0
soccer,world,club-friendly,Genk (Bel)  - Arminia Bielefeld (Ger) ,9,8,302,146,2728,4,1,89872,254,65909,330,2.11,3.6,2.79,0,0,0
soccer,asia,afc-championship-u23,&nbsp;South Korea U23 - Vietnam U23,9,8,162,6,1968,6,1,40594,0,40605,11,1.2,5.74,10.63,0,0,0
soccer,iran,persian-gulf-pro-league,Esteghlal Khuzestan - Padideh Khorasan,9,8,216,60,2328,0,0,51430,7,51438,15,2.91,2.59,2.66,0,0,0
soccer,iran,persian-gulf-pro-league,Paykan - Sepidrood Rasht,9,8,216,60,2328,0,1,51426,3,51466,10,1.57,3.17,6.54,0,0,0
soccer,world,friendly-international,Indonesia - Iceland,9,8,302,146,2727,3,0,40165,38,46087,4,NaN,NaN,NaN,0,0,0
soccer,bangladesh,premier-league,Abahani Limited - Abahani Chittagong,9,8,168,12,2018,0,1,41891,9,41893,11,1.59,3.62,4.61,0,0,0
soccer,saudi-arabia,saudi-professional-league,Al-Fateh - Ohod,9,8,269,113,2550,0,1,59272,5,70933,2,1.94,3.35,3.52,0,0,0
soccer,england,professional-development-league,Leeds U23 - Hull City U23,9,8,193,37,2157,11,1,45905,3,45908,6,2.4,3.6,2.4,0,0,0
soccer,saudi-arabia,division-1,Al Taee - Najran,9,8,269,113,2551,1,1,59302,14,40811,22,1.67,3.72,3.97,0,0,0
soccer,saudi-arabia,division-1,Dhamk - Al-Nahda,9,8,269,113,2551,1,1,59297,9,59285,18,2.28,3.36,2.59,0,0,0
soccer,united-arab-emirates,uae-league,&nbsp;Hatta - Shabab Al-Ahli Dubai,9,8,296,140,2704,0,2,64693,10,0,0,4.94,4.27,1.52,0,0,0
soccer,world,club-friendly,Kapfenberg (Aut)  - AC Wolfsberger (Aut) ,9,8,302,146,2728,4,2,65810,231,90168,351,3.78,4.33,1.62,0,0,0
soccer,united-arab-emirates,uae-league,&nbsp;Al Dhafra - Emirates Club,9,8,296,140,2704,0,1,64696,13,40337,169,1.88,3.76,3.35,0,0,0
soccer,algeria,algeria-cup,Dar El Beida - Besbes,9,8,158,2,1946,1,1,0,0,0,0,1.51,3.74,5.53,0,1,0
soccer,world,club-friendly,&nbsp;Heerenveen (Ned)  - Anderlecht (Bel) ,9,8,302,146,2728,4,2,90376,559,89746,128,2.78,3.6,2.11,0,0,0
soccer,india,isl,&nbsp;Goa - Jamshedpur,9,8,214,58,2320,0,1,51256,6,0,0,2.11,3.09,3.37,0,0,0
soccer,bahrain,premier-league,East Riffa - Al-Muharraq,9,8,167,11,2016,0,2,40794,5,40803,14,3.93,3.13,1.91,0,0,0
soccer,world,club-friendly,&nbsp;Sparta Rotterdam (Ned)  - Kaiserslautern (Ger) ,9,8,302,146,2728,4,1,65804,225,65856,277,2.3,3.47,2.66,0,0,0
soccer,qatar,premier-league,Al-Kharitiyath - Umm-Salal,9,8,264,108,2527,0,2,40804,15,40349,181,2.87,3.58,2.12,0,0,0
soccer,saudi-arabia,division-1,Jeddah - Al Wehda,9,8,269,113,2551,1,2,59318,30,57283,31,3.97,3.48,1.72,0,0,0
soccer,united-arab-emirates,uae-league,&nbsp;Al Nasr - Al Sharjah,9,8,296,140,2704,0,1,40307,139,64690,7,1.62,3.85,4.59,0,0,0
soccer,world,friendly-international,&nbsp;Sweden - Denmark&nbsp;,9,8,302,146,2727,3,1,46099,16,46108,25,2.63,3.24,2.64,0,0,0
soccer,saudi-arabia,saudi-professional-league,Al Feiha - Al-Nasr,9,8,269,113,2550,0,2,59293,5,40331,163,3.47,3.47,1.92,0,0,0
soccer,bahrain,premier-league,Malkia - Al-Hadd,9,8,167,11,2016,0,1,41851,3,41852,4,1.83,3.21,4.14,0,0,0
soccer,greece,greek-cup,Atromitos - Asteras Tripolis&nbsp;,9,8,207,51,2290,6,1,50253,6,50251,4,1.87,3.15,4.32,0,1,0
soccer,spain,copa-del-rey,&nbsp;Sevilla - Cadiz CF&nbsp;,9,8,280,124,2623,10,1,46142,11,61324,37,1.39,4.75,8.34,0,1,0
soccer,spain,copa-federacion,San Sebastian Reyes - UP Plasencia&nbsp;,9,8,280,124,2624,11,1,61408,16,0,0,1.57,3.61,5,0,1,0
soccer,portugal,taca-de-portugal,&nbsp;Moreirense - FC Porto,9,8,263,107,2524,7,2,58019,4,46141,10,12.61,5.64,1.24,0,0,0
soccer,spain,copa-del-rey,&nbsp;Barcelona - Celta Vigo&nbsp;,9,8,280,124,2623,10,1,46135,4,46237,106,1.18,7.74,13.82,0,1,0
soccer,brazil,copa-do-nordeste,Treze PB - Cordino EC&nbsp;,9,8,175,19,2069,27,1,42614,38,42999,1,1.95,3.29,3.59,0,1,0
basketball,usa,nba,&nbsp;Indiana Pacers - Miami Heat,7,6,293,137,3026,0,1,71555,16,71554,15,1.5,0,2.71,0,0,0
basketball,usa,nba,&nbsp;Washington Wizards - Utah Jazz,7,6,293,137,3026,0,1,71543,4,71545,6,1.34,0,3.45,0,0,0
basketball,usa,nba-g-league,Westchester - Rio Grande Valley Vipers,7,6,293,137,3030,4,2,71632,18,71615,1,1.95,0,1.88,0,0,0
basketball,usa,ncaa,Western Carolina - Mercer,7,6,293,137,3031,5,2,72154,29,71742,103,3.37,0,1.33,0,0,0
basketball,usa,ncaa,Georgia Tech - Notre Dame,7,6,293,137,3031,5,1,71800,161,71670,31,1.89,0,1.93,0,0,0
basketball,usa,ncaa,Michigan State - Rutgers,7,6,293,137,3031,5,1,71660,21,71814,175,1.01,0,16.32,0,0,0
basketball,usa,ncaa,Connecticut - UCF Knights,7,6,293,137,3031,5,1,71703,64,71845,2,1.89,0,1.91,0,0,0
basketball,usa,ncaa,Wofford - Harvard,7,6,293,137,3031,5,1,71737,98,71743,104,1.36,0,3.2,0,0,0
basketball,usa,ncaa,Davidson - George Washington,7,6,293,137,3031,5,1,71728,89,71748,109,1.22,0,4.37,0,0,0
basketball,usa,ncaa,George Mason - Saint Josephs,7,6,293,137,3031,5,2,71785,146,71695,56,2.59,0,1.52,0,0,0
basketball,usa,ncaa,New Hampshire - Binghamton,7,6,293,137,3031,5,1,72032,34,79834,13,1.55,0,2.6,0,0,0
basketball,usa,ncaa,Quinnipiac - Marist,7,6,293,137,3031,5,1,71995,152,41438,56,1.33,0,3.38,0,0,0
basketball,usa,ncaa,Detroit Mercy - Cleveland State,7,6,293,137,3031,5,0,0,0,71836,197,NaN,0,NaN,0,0,0
basketball,usa,ncaa,Oakland - Youngstown State,7,6,293,137,3031,5,1,71792,153,72094,96,1.06,0,10.03,0,0,0
basketball,usa,nba,&nbsp;New York Knicks - Chicago Bulls,7,6,293,137,3026,0,1,71559,20,71548,9,1.53,0,2.61,0,0,0
basketball,argentina,liga-a,Salta - Quimsa,7,6,160,4,2795,0,1,97548,16,67620,18,1.69,0,2.12,0,0,0
basketball,usa,nba,&nbsp;Milwaukee Bucks - Orlando Magic,7,6,293,137,3026,0,1,71551,12,71564,25,1.16,0,5.77,0,0,0
basketball,usa,nba,&nbsp;Houston Rockets - Portland Trail Blazers,7,6,293,137,3026,0,1,71544,5,71553,14,1.27,0,4.05,0,0,0
basketball,usa,ncaa,Villanova - Xavier,7,6,293,137,3031,5,1,71669,30,71646,7,1.17,0,5.14,0,0,0
basketball,usa,ncaa,Lamar - SE Louisiana,7,6,293,137,3031,5,1,72012,14,97953,337,0,0,0,0,0,0
basketball,usa,ncaa,Illinois State - Loyola Chicago,7,6,293,137,3031,5,1,71822,183,72157,32,1.85,0,1.98,0,0,0
basketball,usa,ncaa,Valparaiso - Drake,7,6,293,137,3031,5,1,71730,91,72110,112,1.41,0,2.94,0,0,0
basketball,usa,nba-g-league,Canton Charge - Iowa Wolves,7,6,293,137,3030,4,2,71621,7,71627,13,1.95,0,1.88,0,0,0
basketball,usa,nba,&nbsp;Denver Nuggets - Atlanta Hawks,7,6,293,137,3026,0,1,71560,21,71549,10,1.22,0,4.52,0,0,0
basketball,usa,ncaa,Florida State - Louisville,7,6,293,137,3031,5,1,71667,28,71662,23,1.35,0,3.28,0,0,0
