Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,europe,euro-u19-women,Estonia U19 W - Ireland U19 W,9,8,196,40,2198,34,2,84968,18,47247,22,41.0,26.0,1.01,0,0,1,2,0.9993996113947947,0.9393607508742621
soccer,europe,euro-u19-women,England U19 W - Kazakhstan U19 W,9,8,196,40,2198,34,1,47229,4,90890,38,1.01,26.0,67.0,0,0,1,1,0.9992078763880546,0.9199955151935272
soccer,europe,champions-league,Barcelona - Olympiakos Piraeus,9,8,196,40,2165,1,1,46135,4,46170,39,1.09,13.67,27.5,0,0,0,1,0.9649388230407306,0.5753701901599598
soccer,europe,champions-league,Anderlecht - Paris SG,9,8,196,40,2165,1,2,42002,3,46143,12,18.52,8.72,1.16,0,0,0,2,0.9326296679024847,0.5115650922930137
soccer,europe,champions-league,Qarabag - Atl. Madrid,9,8,196,40,2165,1,2,41800,1,46133,2,17.38,6.49,1.22,0,0,0,2,0.9017658945860421,0.4552472336135064
soccer,europe,euro-u19-women,Sweden U19 W - Bulgaria U19 W,9,8,196,40,2198,34,1,47242,17,84957,7,1.02,21.0,34.0,0,0,1,1,0.9884785091676987,0.41240396755263214
soccer,europe,euro-u17,Serbia U17 - Gibraltar U17,9,8,196,40,2171,7,1,46610,11,90799,48,1.01,17.75,40.75,0,0,0,1,0.9939608449094812,0.3900453358576025
soccer,asia,afc-championship-women-u19,Uzbekistan U19 W - North Korea U19 W,9,8,162,6,1982,20,2,40909,7,40903,1,23.38,15.39,1.02,0,0,1,2,0.9846749046528919,0.21842013729748125
soccer,europe,uefa-youth-league,Vllaznia U19 - Zimbru Chisinau U19,9,8,196,40,2168,4,1,0,0,90786,101,2.16,3.93,2.61,0,0,0,1,0.538828908960104,0.14126762358088338
basketball,argentina,torneo-super-20,Atenas - Quimsa,7,6,160,4,3877,2,2,64800,19,67620,18,2.13,0.0,1.68,0,0,0,1,0.5258288213275707,0.10620830922807577
soccer,europe,uefa-youth-league,Saburtalo Tbilisi U19 - Bursaspor U19,9,8,196,40,2168,4,2,90783,98,0,0,4.55,4.25,1.55,0,0,0,2,0.6777515478728108,0.09184527127792143
basketball,europe,euroleague-women,Lattes Montpellier W - Yakin Dogu Univ. W,7,6,196,40,2886,36,2,69105,11,0,0,2.73,0.0,1.43,0,0,1,2,0.7261657668375471,0.08934196878533093
volleyball,poland,plusliga,GKS Katowice - Bedzin,2,1,262,106,3754,0,1,57501,28,86095,10,1.41,0.0,2.79,0,0,0,1,0.7349880235282809,0.08861734920701432
hockey,united-kingdom,challenge-cup,Braehead - Nottingham,5,4,307,151,3393,1,2,79917,5,45362,16,2.56,5.8,1.95,0,1,0,2,0.5506884839756593,0.07772899342372172
handball,poland,superliga,Spojnia Gdynia - Legionowo,6,5,262,106,3179,0,1,0,0,57576,8,1.62,9.09,2.64,0,0,0,1,0.6428476224466544,0.06679540058641972
hockey,czech-republic,wsm-liga,Kladno - Frydek Mistek,5,4,187,31,3258,1,1,44177,22,77708,8,1.6,4.59,3.88,0,0,0,1,0.6464955034886696,0.05732134263645234
hockey,russia,khl,Metallurg Magnitogorsk - CSKA Moscow,5,4,266,110,3341,0,2,77968,85,46154,23,3.13,4.15,2.0,0,0,0,2,0.5265537669686605,0.05310753393732104
volleyball,iran,super-league,Saipa Alborz - Matin Varamin,2,1,216,60,3730,0,1,85655,2,85657,4,1.4,0.0,3.0,0,0,0,1,0.7246639922256637,0.03632397278982292
volleyball,italy,serie-a2-women,Givova Baronissi W - Marignano W,2,1,220,64,3738,6,1,0,0,85833,4,1.8,0.0,1.9,0,0,1,1,0.5673703929810573,0.02658338420737899
baseball,mexico,lmp,Caneros Mochis - Jalisco,8,7,242,86,3454,1,2,81014,0,81021,7,1.93,0.0,1.8,0,0,0,1,0.5287541618555354,0.02203820686148741
handball,france,lidl-starligue,Montpellier - St. Raphael,6,5,200,44,3141,0,1,46196,65,74295,3,1.33,10.14,4.36,0,0,0,1,0.7570532950957927,0.020851159022437147
basketball,israel,super-league,Maccabi Ashdod - Maccabi Haifa,7,6,219,63,2933,0,2,69996,9,46219,88,2.08,0.0,1.71,0,0,0,2,0.5900103210104564,0.012560068912507584
handball,denmark,santander-cup,Aalborg - Kolding,6,5,188,32,3107,2,1,44699,14,73850,5,1.49,9.13,3.15,0,1,0,1,0.6751310894106838,0.012133312697793622
hockey,russia,khl,Lada - Slovan Bratislava,5,4,266,110,3341,0,1,78187,0,46856,59,2.3,3.99,2.67,0,0,0,2,0.3813980727248614,0.010977756991245508
soccer,italy,serie-d-group-d,Montevarchi Calcio - Imolese,9,8,220,64,2351,9,1,0,0,52239,10,2.18,3.3,2.87,0,0,0,1,0.46284507162748206,0.00762903063382293
volleyball,germany,1-bundesliga,BR Volleys - Herrsching,2,1,204,48,3716,0,1,84262,3,85345,9,1.09,0.0,8.7,0,0,0,1,0.9180164765073596,0.00708843770024595
soccer,italy,serie-d-group-d,Sasso Marconi - Forli,9,8,220,64,2351,9,1,0,0,52096,9,2.32,3.31,2.64,0,0,0,1,0.4347361165986156,0.0065059019005970515
baseball,usa,mlb,Chicago Cubs - Los Angeles Dodgers,8,7,293,137,3460,0,1,81095,22,81102,29,1.86,0.0,2.0,0,0,0,1,0.5402793073135562,0.005720362329319275
soccer,europe,champions-league,Juventus - Sporting,9,8,196,40,2165,1,1,46131,0,46151,20,1.36,5.15,9.54,0,0,0,1,0.7330017289889202,-0.008660134930745427
handball,france,lidl-starligue,Dunkerque - Cesson Rennes-Metropole,6,5,200,44,3141,0,1,48001,12,75146,3,1.3,10.16,4.79,0,0,0,1,0.7671366097229171,-0.009074691200692634
hockey,switzerland,swiss-league,Langenthal - Visp,5,4,284,128,3381,1,1,63124,124,79736,14,1.6,5.5,3.98,0,0,0,1,0.6210735399454368,-0.010470560145501849
hockey,sweden,hockeyallsvenskan,Sodertalje - Vasterviks IK,5,4,283,127,3354,1,2,68547,22,79108,14,2.45,4.07,2.4,0,0,0,1,0.40026198897889514,-0.013350432414970208
basketball,europe,euroleague-women,Polkowice W - Euroleasing Sopron W,7,6,196,40,2886,36,2,69109,15,69103,9,2.19,0.0,1.64,0,0,1,2,0.603561933919093,-0.015872544332324292
handball,denmark,hth-go-ligaen-women,Viborg W - Odense W,6,5,188,32,3109,4,1,45161,13,73957,4,2.07,7.74,2.09,0,0,1,1,0.4738033042267933,-0.01796930864536257
soccer,italy,serie-d-group-b,Lumezzane - Calcio Romanese,9,8,220,64,2349,7,1,52076,43,0,0,2.4,3.21,2.63,0,0,0,2,0.3683986671291307,-0.019086813159746144
soccer,world,world-cup-u17,Brazil U17 - Honduras U17,9,8,302,146,2731,7,1,61058,1,56389,5,1.04,9.89,31.91,0,1,0,1,0.960671158662291,-0.022549874780433667
soccer,asia,afc-cup,Bengaluru (Ind)  - Istiqlol Dushanbe (Taj) ,9,8,162,6,1964,2,1,40354,1,40358,5,2.43,3.36,2.71,0,1,0,1,0.3977841245905497,-0.023345858213261704
soccer,oman,professional-league,Al-Salam - Al-Shabab,9,8,255,99,2485,0,2,57256,4,40287,119,3.0,3.2,2.15,0,0,0,2,0.4509765812571502,-0.0264350872148932
soccer,europe,uefa-youth-league,Qarabag U19 - Atl. Madrid U19,9,8,196,40,2168,4,2,0,0,46423,6,16.87,8.88,1.09,0,0,0,2,0.9152171142230493,-0.02681494996529129
soccer,mexico,primera-division,Queretaro - Cruz Azul,9,8,242,86,2428,0,2,55550,17,55549,16,2.88,3.15,2.47,0,0,0,2,0.3867870894492908,-0.030364550381123546
hockey,usa,nhl,San Jose Sharks - Montreal Canadiens,5,4,293,137,3383,0,1,79803,10,79804,11,2.28,3.83,2.81,0,0,0,1,0.4212886924694077,-0.030829516538867598
hockey,finland,mestis,RoKi - Jokipojat,5,4,199,43,3307,1,1,78340,14,78325,16,2.06,4.37,2.66,0,0,0,1,0.46892448803664954,-0.03209014589103953
hockey,finland,liiga,Karpat - IFK Helsinki,5,4,199,43,3306,0,1,77910,27,77896,13,1.95,4.11,3.19,0,0,0,1,0.4970475596538514,-0.032376061763147154
soccer,brazil,serie-a,Avai - Botafogo RJ,9,8,175,19,2042,0,2,42496,9,42489,2,3.14,3.02,2.4,0,0,0,2,0.3977065656334604,-0.03250303034263935
hockey,usa,nhl,Edmonton Oilers - Carolina Hurricanes,5,4,293,137,3383,0,1,79797,4,79820,27,2.26,3.94,2.77,0,0,0,1,0.4240413454271533,-0.03306869788462984
hockey,russia,khl,Kunlun - Tractor Chelyabinsk,5,4,266,110,3341,0,1,78875,11,78189,2,2.48,3.81,2.55,0,0,0,1,0.38322203892824375,-0.033519826660780766
hockey,canada,whl,Tri-City Americans - Kelowna Rockets,5,4,180,24,3250,1,1,77640,19,77623,2,1.98,4.63,2.7,0,0,0,1,0.4879718126669871,-0.03450592950955672
handball,greece,a1,PAOK - A.S.E. Douka,6,5,207,51,3155,0,1,46269,30,74225,98,1.4,9.04,3.45,0,0,0,1,0.7042250246406612,-0.035212413757686196
baseball,japan,npb,Fukuoka S. Hawks - Rakuten Gold. Eagles,8,7,223,67,3452,0,1,80988,9,80985,6,1.43,0.0,2.84,0,0,0,1,0.6884815712451094,-0.03597989097556639
soccer,brazil,serie-a,Coritiba - Cruzeiro,9,8,175,19,2042,0,2,42500,13,42492,5,3.0,3.05,2.48,0,0,0,2,0.38155222938180144,-0.036317885900765186
hockey,finland,mestis,Hermes - IPK,5,4,199,43,3307,1,1,78335,9,78330,4,2.11,4.51,2.53,0,0,0,1,0.4548130408868182,-0.03634638173767002
soccer,asia,afc-champions-league,Urawa (Jpn)  - Shanghai SIPG (Chn) ,9,8,162,6,1963,1,2,40177,9,40173,5,2.55,3.59,2.5,0,0,0,1,0.36917708497378615,-0.03780544084957764
soccer,poland,division-1,Pogon Siedlce - Ol. Grudziadz,9,8,262,106,2498,1,2,57517,14,57515,12,2.78,3.01,2.56,0,0,0,2,0.36720683138946514,-0.03842981515574953
