Sport,Country,League,Participants,Odds
basketball,usa,wnba,Indiana Fever W - New York Liberty W,4.33,1.23
basketball,usa,wnba,Connecticut Sun W - Dallas Wings W,1.14,6.04
basketball,asia,southeast-asian-games,Myanmar - Thailand,0.00,0.00
basketball,asia,southeast-asian-games-women,Malaysia W - Philippines W,1.41,2.71
basketball,world,universiade,Russia Univ. - Australia Univ.,3.68,1.23
basketball,asia,southeast-asian-games-women,Thailand W - Myanmar W,0.00,0.00
basketball,world,universiade,Serbia Univ. - Mexico Univ.,1.05,8.77
basketball,world,universiade,USA Univ. - Romania Univ.,0.00,0.00
basketball,world,universiade,Germany Univ. - Finland Univ.,1.37,2.97
basketball,world,universiade,Hungary Univ. - Latvia Univ.,4.45,1.19
basketball,world,universiade,Estonia Univ. - Czech Republic Univ.,4.74,1.17
basketball,world,friendly-international,Latvia - Czech Republic,1.08,7.33
basketball,world,friendly-international,Turkey - Ukraine,1.05,9.50
basketball,world,friendly-international,Great Britain - Hungary,1.50,2.43
