Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
hockey,germany,del2,Bad Nauheim - Bayreuth,5,204,3316,1,78479,78477,1.73,4.69,3.38,0,0,0,1,0.5512999923353892,-0.0633575524106531
hockey,switzerland,national-league,Langnau Tigers - Biel,5,284,3380,2,79730,79732,2.49,4.42,2.23,0,0,0,2,0.4133135388302597,-0.06366732390936658
hockey,germany,del2,Bietigheim/Bissingen - Ravensburg,5,204,3316,1,78470,78481,1.74,4.75,3.33,0,0,0,1,0.5476317406403437,-0.0636767179537864
soccer,denmark,superliga,Helsingor - Aarhus,9,188,2126,2,44686,44692,4.75,3.68,1.75,0,0,0,2,0.544054842851958,-0.06387203334543123
hockey,slovakia,tipsport-liga,Kosice - Nitra,5,275,3347,1,79007,78999,1.77,4.65,3.39,0,0,0,1,0.5369351886837644,-0.06444768315550253
soccer,brazil,serie-b,Figueirense - Parana,9,175,2043,1,42557,42539,2.57,3.04,2.79,0,0,0,1,0.3495845889498653,-0.06469274292920142
soccer,czech-republic,u19-league,Mlada Boleslav U19 - Karvina U19,9,187,2122,2,44607,44605,2.39,4.0,2.23,0,0,0,1,0.3807474681319184,-0.06475795047821221
basketball,spain,leb-oro,Clavijo - Oviedo,7,280,3009,2,71240,71233,2.08,0.0,1.8,0,0,0,2,0.5265414697668787,-0.065281693024523
soccer,indonesia,liga-2,Persita - PSIS Semarang,9,215,2325,2,51350,51379,2.73,2.95,2.4,0,0,0,2,0.37824975398087574,-0.06585756460421303
hockey,switzerland,national-league,Ambri-Piotta - Lugano,5,284,3380,2,79725,79727,2.77,4.48,2.03,0,0,0,2,0.45889555775788343,-0.06644856092378323
soccer,netherlands,eerste-divisie,Dordrecht - Volendam,9,248,2445,2,55970,55962,3.58,3.59,1.94,0,0,0,2,0.4830371207012683,-0.06692338919099947
rugby-union,japan,top-league,Black Rams - Green Rockets,3,223,3530,1,82077,82087,1.28,23.0,3.75,0,0,0,1,0.7665508743212078,-0.06719600310304988
soccer,netherlands,eerste-divisie,Den Bosch - Jong PSV,9,248,2445,1,55969,55968,2.49,3.37,2.7,0,0,0,1,0.3611171642706054,-0.0676632623934177
soccer,netherlands,eerste-divisie,Telstar - Sittard,9,248,2445,1,55977,55976,2.47,3.46,2.67,0,0,0,1,0.36422344604398293,-0.06827761106895382
hockey,denmark,metal-ligaen,Gentofte - Herning Blue Fox,5,188,3266,2,77839,77844,2.76,4.41,2.03,0,0,0,2,0.4577614861138535,-0.06868367299891025
soccer,turkey,tff-1-lig,Boluspor - Altinordu,9,292,2668,1,63407,63409,2.17,3.38,3.12,0,0,0,1,0.4235858279893625,-0.06907585748981489
soccer,malta,premier-league,Birkirkara - Valletta,9,240,2422,1,55415,55417,2.4,3.6,2.4,0,0,0,2,0.37634092425744753,-0.06912984413008995
soccer,england,premier-league-cup,Birmingham U23 - Derby U23,9,193,3867,2,89584,89580,3.5,4.0,1.73,0,1,0,2,0.5488390875022184,-0.06918955975501656
soccer,austria,erste-liga,A. Lustenau - Wacker Innsbruck,9,165,2006,1,41477,41475,2.37,3.42,2.8,0,0,0,1,0.38182774433363875,-0.06939288024034751
soccer,saudi-arabia,saudi-professional-league,Al-Shabab - Al-Nasr,9,269,2550,2,59281,59275,2.76,3.4,2.23,0,0,0,2,0.4098916911072897,-0.0698711616510114
soccer,england,premier-league-cup,Sheffield Utd U23 - Ipswich U23,9,193,3867,1,89583,89588,2.0,4.0,2.75,0,1,0,1,0.46492812288262514,-0.07014375423474972
handball,romania,liga-nationala,Calarasi - Turda,6,265,3186,1,76044,76037,1.86,8.88,2.26,0,0,0,1,0.5045348789538395,-0.07158735482076561
soccer,norway,eliteserien,Brann - Kristiansund,9,254,2473,1,56667,56661,1.45,4.29,7.53,0,0,0,1,0.6672907803592618,-0.07206304106460085
hockey,slovakia,tipsport-liga,Nove Zamky - Dukla Trencin,5,275,3347,2,79008,79000,3.09,4.38,1.9,0,0,0,2,0.4910160168441952,-0.07452174221781017
hockey,czech-republic,extraliga,Pardubice - Kometa Brno,5,187,3257,2,77681,77683,3.42,4.63,1.77,0,0,0,2,0.5325489475683237,-0.07453034130398312
basketball,philippines,governors-cup,TNT KaTropa - Rain or Shine Elasto Painters,7,261,2973,1,70609,70602,1.39,0.0,2.89,0,1,0,1,0.6984252839018011,-0.07484321891409365
