HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Date,Season,IsPlayoffs,IsOvertime,Bookmaker,HomeOdd,DrawOdd,AwayOdd,IsValid
Bayi,Zhejiang,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,188BET,1.16,0,4.55,True
Bayi,Zhejiang,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,bet365,1.16,0,4.75,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,10Bet,2.5,0,1.45,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,188BET,2.73,0,1.4,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,bet365,2.55,0,1.47,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,bwin.es,2.65,0,1.42,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,ComeOn,2.5,0,1.45,True
Fujian,Shandong,3,2,12/17/2013 1:30:00 PM,2013/2014,False,False,Jetbull,1.2,0,4,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,10Bet,3.95,0,1.2,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,188BET,4.05,0,1.2,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,bet365,4,0,1.22,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,bwin,3.8,0,1.22,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,bwin.es,3.8,0,1.22,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,ComeOn,3.93,0,1.2,True
Sichuan,Shanghai,0,3,12/17/2013 1:30:00 PM,2013/2014,False,False,Jetbull,22,0,1,True
Guangdong,Henan,3,1,12/22/2013 8:00:00 AM,2013/2014,False,False,188BET,4.3,0,1.18,True
Guangdong,Henan,3,1,12/22/2013 8:00:00 AM,2013/2014,False,False,bet365,4.25,0,1.2,True
