soccer,africa,first,LE 11,13,13,1.0200,1.0000,0.26,0.0200
soccer,africa,first,LE 12,63,59,1.1384,0.9365,4.12,0.0654
soccer,africa,first,LE 13,104,89,1.1871,0.8558,0.809999999999997,0.0078
soccer,africa,first,LE 14,156,129,1.2435,0.8269,2.86,0.0183
soccer,africa,first,LE 15,214,164,1.3003,0.7664,-4.07000000000001,-0.0190
soccer,africa,others,LE 11,14,13,1.0679,0.9286,-0.0699999999999992,-0.0050
soccer,africa,others,LE 12,73,63,1.1434,0.8630,-1.1,-0.0151
soccer,africa,others,LE 13,151,124,1.2015,0.8212,-2.62,-0.0174
soccer,africa,others,LE 14,304,237,1.2852,0.7796,-0.890000000000008,-0.0029
soccer,africa,others,LE 15,459,345,1.3446,0.7516,1.49999999999999,0.0033
soccer,albania,first,LE 11,34,33,1.0844,0.9706,1.77,0.0521
soccer,albania,first,LE 12,154,132,1.1426,0.8571,-3.74,-0.0243
soccer,albania,first,LE 13,229,186,1.1811,0.8122,-11.12,-0.0486
soccer,albania,first,LE 14,320,252,1.2345,0.7875,-11.48,-0.0359
soccer,albania,first,LE 15,428,320,1.2907,0.7477,-20.71,-0.0484
soccer,albania,others,LE 12,9,7,1.1456,0.7778,-1.01,-0.1122
soccer,albania,others,LE 13,21,17,1.2090,0.8095,-0.37,-0.0176
soccer,albania,others,LE 14,50,41,1.3006,0.8200,3.5,0.0700
soccer,albania,others,LE 15,71,54,1.3462,0.7606,1.31,0.0185
soccer,algeria,first,LE 12,17,17,1.1512,1.0000,2.57,0.1512
soccer,algeria,first,LE 13,54,44,1.2170,0.8148,-0.88,-0.0163
soccer,algeria,first,LE 14,126,111,1.3001,0.8810,18.51,0.1469
soccer,algeria,first,LE 15,230,203,1.3762,0.8826,49.7999999999999,0.2165
soccer,algeria,others,LE 11,13,13,1.0785,1.0000,1.02,0.0785
soccer,algeria,others,LE 12,33,27,1.1285,0.8182,-2.64,-0.0800
soccer,algeria,others,LE 13,41,34,1.1522,0.8293,-1.86,-0.0454
soccer,algeria,others,LE 14,53,41,1.2026,0.7736,-4.24,-0.0800
soccer,algeria,others,LE 15,67,47,1.2557,0.7015,-9.49,-0.1416
soccer,andorra,first,LE 11,10,8,1.0310,0.8000,-1.74,-0.1740
