Sport,Country,League,Total Records,Success Rate,Money Per Game,Kelly,Participants,Odds
baseball,south-korea,kbo,99,0.9583,0.3050,0.8456,NC Dinos - KT Wiz Suwon,1.37,3.2
soccer,russia,division-2-ural-povolzhye,57,0.9667,0.2253,0.8219,Zenit-Izhevsk - Orenburg 2,1.23,5.31,10.01
soccer,austria,regionalliga-west,65,1.0000,0.1598,1.0000,USK Anif - Johann,1.18,6.43,9.73
