Sport,Country,League,Total Records,Success Rate,Money Per Game,Kelly,Participants,Odds
volleyball,europe,european-championships,67,0.9552,-0.0022,0.3152,Estonia - Serbia,7.69,1.07
volleyball,europe,european-championships,67,0.9552,-0.0022,0.3952,Finland - Poland,7.53,1.08
soccer,england,premier-league,56,0.7143,-0.0143,-0.1785,Bournemouth - Manchester City,10.14,5.73,1.32
soccer,norway,toppserien-women,57,0.8421,-0.0307,-0.7369,Grand Bodo W - LSK Kvinner W,12.6,8.55,1.1
basketball,usa,wnba,23,0.8261,-0.0357,-0.9129,San Antonio Stars W - Minnesota Lynx W,7.2,1.1
baseball,usa,mlb,33,0.6667,-0.0533,0.0001,Philadelphia Phillies - Chicago Cubs,2.7,1.5
volleyball,world,world-championship-u18-women,20,0.9000,-0.0560,-0.1000,South Korea U18 W - Serbia U18 W,6.13,1.1
soccer,italy,serie-a,80,0.7000,-0.0650,-0.0500,Genoa - Juventus,9.48,4.55,1.4
soccer,germany,junioren-bundesliga-north,24,0.6667,-0.0933,-0.4085,Dresden U19 - Wolfsburg U19,6.33,5.48,1.31
rugby-league,australia,intrust-super-cup,67,0.7164,-0.0940,-0.5727,Northern Pride - Redcliffe,4,31,1.22
soccer,sweden,division-2-norrland,30,0.6333,-0.1330,-0.4452,Moron - Hudiksvalls,6.05,4.77,1.34
soccer,spain,laliga,51,0.6275,-0.1529,-0.5741,Alaves - Barcelona,10.39,5.61,1.31
baseball,netherlands,hoofdklasse,76,0.7500,-0.2125,-1.7500,Mr. Cocker HCAW - L&amp;D Amsterdam,7.5,1.1
handball,world,club-friendly,27,0.6296,-0.2156,-1.0540,Leoben (Aut) - Topolcany (Svk) ,4.75,14,1.22
baseball,netherlands,hoofdklasse,44,0.6136,-0.2995,-2.1464,Amersfoort - DSS,5.7,1.14
baseball,netherlands,hoofdklasse,47,0.4255,-0.4189,-1.3698,Vaessen Pioniers - Curacao Neptunus,3.52,1.32
baseball,netherlands,hoofdklasse,42,0.4524,-0.4388,-1.8293,Onze Gezellen - Twins,4.05,1.24
