Sport,Country,League,Total Records,Success Rate,Money Per Game,Kelly,Participants,Odds
volleyball,world,universiade,24,0.8333,-0.0442,-0.5559,Argentina Univ. - Switzerland Univ.,1.12,5.43
basketball,world,universiade,24,0.7286,-0.2259,-3.1485,Australia Univ. - Ukraine Univ.,1.07,7.6
baseball,south-korea,kbo,185,0.3730,-0.4525,-0.9066,KIA Tigers - SK Wyverns,1.49,2.58
soccer,germany,regionalliga-nordost,57,0.2500,-0.6342,-1.2500,Meuselwitz - Neustrelitz,1.5,4.04,5.78
