Sport,Country,League,Total Records,Success Rate,Money Per Game,Kelly,Participants,Odds
basketball,world,universiade,24,0.7286,-0.2259,-4.6994,Ukraine Univ. - Russia Univ.,1.05,8.42
basketball,world,universiade,24,0.7286,-0.2259,-6.0564,Romania Univ. - United Arab Emirates Univ.,1.04,9.7
soccer,venezuela,copa-venezuela,28,0.5250,-0.2794,-0.8721,Aragua - Yaracuyanos,1.34,4.2,8.45
soccer,estonia,esiliiga,69,0.5667,-0.2945,-1.4966,Maardu - Elva,1.21,6.59,7.07
baseball,south-korea,kbo,185,0.3730,-0.4525,-0.9333,KIA Tigers - Lotte Giants,1.48,2.64
