2017,Stromsbergs - Karlslunds,1.3,1
2017,Habo - Gute,1.38,0
2017,Norrtalje - Sundbybergs,1.47,1
2017,Skiljebo - Aspudden Tellus,1.29,0
2017,Gute - Stromsbergs,1.22,1
2017,Karlbergs - S. Kerbura,1.42,1
2017,Karlslunds - Eskilstuna City,1.5,1
2017,S. Kerbura - Skiljebo,1.41,1
2017,Skiljebo - Habo,1.22,1
2017,Sundbybergs - Karlslunds,1.16,1
2017,Eskilstuna City - Stromsbergs,1.22,1
2017,Forward - Norrtalje,1.16,1
2017,Karlslunds - Aspudden Tellus,1.3,1
2017,Skiljebo - Upsala,1.25,0
2017,Stromsbergs - Forward,1.42,1
2017,Eskilstuna City - Sundbybergs,1.31,1
2017,Gute - Sundbybergs,1.17,1
2017,S. Kerbura - Karlslunds,1.21,1
2017,Karlslunds - Habo,1.16,1
2017,Sundbybergs - Forward,1.21,1
2017,S. Kerbura - Eskilstuna City,1.46,1
2017,Stromsbergs - Karlslunds,1.3,1
2017,Habo - Gute,1.38,0
2017,Norrtalje - Sundbybergs,1.47,1
2017,Skiljebo - Aspudden Tellus,1.29,0
2017,Gute - Stromsbergs,1.22,1
2017,Karlbergs - S. Kerbura,1.42,1
2017,Karlslunds - Eskilstuna City,1.5,1
2017,S. Kerbura - Skiljebo,1.41,1
2017,Skiljebo - Habo,1.22,1
2017,Sundbybergs - Karlslunds,1.16,1
2017,Eskilstuna City - Stromsbergs,1.22,1
2017,Forward - Norrtalje,1.16,1
2017,Karlslunds - Aspudden Tellus,1.3,1
2017,Skiljebo - Upsala,1.25,0
2017,Stromsbergs - Forward,1.42,1
2017,Eskilstuna City - Sundbybergs,1.31,1
2017,Gute - Sundbybergs,1.17,1
2017,S. Kerbura - Karlslunds,1.21,1
2017,Karlslunds - Habo,1.16,1
2017,Sundbybergs - Forward,1.21,1
2017,S. Kerbura - Eskilstuna City,1.46,1
2017,Stromsbergs - Karlslunds,1.3,1
2017,Habo - Gute,1.38,0
2017,Norrtalje - Sundbybergs,1.47,1
2017,Skiljebo - Aspudden Tellus,1.29,0
2017,Gute - Stromsbergs,1.22,1
2017,Karlbergs - S. Kerbura,1.42,1
2017,Karlslunds - Eskilstuna City,1.5,1
2017,S. Kerbura - Skiljebo,1.41,1
2017,Skiljebo - Habo,1.22,1
2017,Sundbybergs - Karlslunds,1.16,1
2017,Eskilstuna City - Stromsbergs,1.22,1
2017,Forward - Norrtalje,1.16,1
2017,Karlslunds - Aspudden Tellus,1.3,1
2017,Skiljebo - Upsala,1.25,0
2017,Stromsbergs - Forward,1.42,1
2017,Eskilstuna City - Sundbybergs,1.31,1
2017,Gute - Sundbybergs,1.17,1
2017,S. Kerbura - Karlslunds,1.21,1
2017,Karlslunds - Habo,1.16,1
2017,Sundbybergs - Forward,1.21,1
2017,S. Kerbura - Eskilstuna City,1.46,1
2016,Linkoping City - Hudiksvalls,1.46,0
2016,Sollentuna - Habo,1.33,1
2016,Karlbergs - Varmdo,1.34,1
2016,Skiljebo - Karlbergs,1.49,1
2016,Skiljebo - Vasteras IK,1.17,0
2016,S. Kerbura - Sollentuna,1.39,1
2016,Norrtalje - Varmdo,1.39,0
2016,Karlbergs - Kvarnsvedens,1.33,1
2016,Norrtalje - Kvarnsvedens,1.43,1
2016,Sollentuna - IK Franke,1.22,0
2016,Skiljebo - Sundbybergs,1.3,1
2016,S. Kerbura - IK Franke,1.43,0
2016,Gute - Vasteras IK,1.2,1
2016,Linkoping City - Hudiksvalls,1.46,0
2016,Sollentuna - Habo,1.33,1
2016,Karlbergs - Varmdo,1.34,1
2016,Skiljebo - Karlbergs,1.49,1
2016,Skiljebo - Vasteras IK,1.17,0
2016,S. Kerbura - Sollentuna,1.39,1
2016,Norrtalje - Varmdo,1.39,0
2016,Karlbergs - Kvarnsvedens,1.33,1
2016,Norrtalje - Kvarnsvedens,1.43,1
2016,Sollentuna - IK Franke,1.22,0
2016,Skiljebo - Sundbybergs,1.3,1
2016,S. Kerbura - IK Franke,1.43,0
2016,Gute - Vasteras IK,1.2,1
2016,Linkoping City - Hudiksvalls,1.46,0
