Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
soccer,world,world-cup,1.5,123,41,41,1.4494,1,18.35666667,0.4494,1,3,3,0.444,0.4566666667,1,1
hockey,italy,serie-a,1.5,133,22.16666667,21.16666667,1.4431,0.9722,8.395,0.4036,0.9093,6,6,0.1983333333,0.465,0.4559386973,1
basketball,lithuania,nkl,1.4,50,50,50,1.346,1,17.3,0.346,1,1,1,0.346,0.346,1,1
soccer,finland,kakkonen-west,1.5,63,15.75,13.5,1.4497,0.9063,3.93,0.3125,0.7039,4,4,0.085,0.435,0.1857923497,1
soccer,el-salvador,primera-division,1.5,93,13.28571429,11.71428571,1.4718,0.8881,3.938571429,0.3087,0.6501,7,6,-0.003333333333,0.5,-0.006711409396,1
soccer,france,ligue-2,1.4,152,16.88888889,16,1.359,0.963,4.764444444,0.3071,0.856,9,8,-0.1066666667,0.4,-0.2962962963,1
soccer,japan,j-league,1.3,88,11,11,1.2685,1,2.90125,0.2685,1,8,8,0.2433333333,0.3,1,1
soccer,europe,euro-u21,1.5,165,20.625,16.875,1.4485,0.8733,3.70125,0.2657,0.579,8,7,-0.105,0.5,-0.2427745665,1
basketball,europe,champions-league,1.5,56,56,49,1.4463,0.875,14.77,0.2638,0.591,1,1,0.26375,0.26375,0.5910364146,0.5910364146
hockey,sweden,hockeyettan-ostra,1.4,90,30,28,1.3492,0.9333,7.8,0.2599,0.7418,3,3,0.078,0.3516666667,0.225433526,1
hockey,canada,ohl,1.3,55,13.75,13.75,1.2588,1,3.52,0.2588,1,4,4,0.245,0.27,1,1
soccer,england,championship,1.3,81,13.5,13.5,1.2583,1,3.576666667,0.2583,1,6,6,0.23,0.28,1,1
basketball,venezuela,lpb,1.4,164,32.8,29.6,1.3586,0.925,7.408,0.2563,0.7175,5,5,0.025,0.364,0.06711409396,1
soccer,denmark,1st-division,1.4,174,14.5,12.91666667,1.3639,0.9208,3.0375,0.2561,0.6967,12,11,-0.1033333333,0.39,-0.2897196262,1
