Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
american-football,usa,afl,1.5,59,26,1.4517,0.4407,-21.08,-0.3573,-0.791,
baseball,mexico,lmb,1.4,55,22,1.378,0.4,-24.86,-0.452,-1.1958,
baseball,usa,pcl,1.5,226,97,1.4591,0.4292,-84.51,-0.3739,-0.8145,
basketball,australia,wnbl-women,1.5,101,46,1.4595,0.4554,-34.07,-0.3373,-0.7341,
basketball,bulgaria,nbl,1.5,67,32,1.4539,0.4776,-20.32,-0.3033,-0.6682,
basketball,czech-republic,zbl-women,1.4,85,42,1.3526,0.4941,-28.17,-0.3314,-0.9399,
basketball,europe,eurocup-women,1.5,102,48,1.4632,0.4706,-31.65,-0.3103,-0.6698,
basketball,georgia,superleague,1.4,58,27,1.3629,0.4655,-21.15,-0.3647,-1.0048,
basketball,qatar,qbl,1.4,44,22,1.3555,0.5,-14.8,-0.3364,-0.9463,
basketball,russia,superleague-a-women,1.5,83,40,1.4619,0.4819,-24.62,-0.2966,-0.6421,
basketball,russia,vtb-united-league,1.5,141,64,1.4647,0.4539,-48.01,-0.3405,-0.7328,
basketball,ukraine,superleague,1.5,260,129,1.448,0.4962,-74.93,-0.2882,-0.6433,
basketball,usa,nba-las-vegas-summer-league,1.5,98,48,1.4602,0.4898,-27.98,-0.2855,-0.6204,
handball,denmark,1-division,1.5,200,100,1.4548,0.5,-54.8,-0.274,-0.6025,
handball,greece,a1,1.5,86,42,1.4581,0.4884,-24.68,-0.287,-0.6264,
handball,russia,superleague,1.5,99,44,1.4633,0.4444,-34.93,-0.3528,-0.7615,
handball,switzerland,spl-women,1.5,159,78,1.4974,0.4906,-42.36,-0.2664,-0.5356,
handball,world,world-championship-u21,1.5,42,21,1.4471,0.5,-11.52,-0.2743,-0.6134,
hockey,germany,oberliga-north,1.5,73,35,1.4605,0.4795,-21.79,-0.2985,-0.6481,
hockey,germany,oberliga-south,1.5,91,44,1.4575,0.4835,-27.08,-0.2976,-0.6505,
hockey,sweden,division-1-e,1.3,75,36,1.2636,0.48,-29.73,-0.3964,-1.5038,
hockey,sweden,hockeyettan-vastra,1.2,70,31,1.1776,0.4429,-33.34,-0.4763,-2.6822,
hockey,sweden,shl,1.3,120,59,1.2639,0.4917,-45.31,-0.3776,-1.4307,
soccer,argentina,primera-b-metropolitana,1.5,60,29,1.4747,0.4833,-17.35,-0.2892,-0.6092,
soccer,argentina,primera-b-nacional,1.5,149,70,1.4477,0.4698,-46.47,-0.3119,-0.6967,
soccer,austria,regionalliga-central,1.3,78,38,1.2583,0.4872,-30.35,-0.3891,-1.5062,
soccer,belgium,second-amateur-division-group-vfv-a,1.4,97,42,1.3703,0.433,-39.36,-0.4058,-1.0958,
soccer,colombia,copa-aguila,1.4,84,34,1.363,0.4048,-37.66,-0.4483,-1.2352,
soccer,el-salvador,primera-division,1.4,60,22,1.3767,0.3667,-29.52,-0.492,-1.3062,
soccer,england,southern-premier-league,1.4,208,103,1.3573,0.4952,-68.18,-0.3278,-0.9174,
soccer,europe,bene-league-women,1.4,43,20,1.3702,0.4651,-15.55,-0.3616,-0.9768,
soccer,europe,euro-women,1.5,54,13,1.4539,0.2407,-35.19,-0.6517,-1.4357,
soccer,finland,kakkonen-group-c,1.5,50,25,1.4648,0.5,-12.98,-0.2596,-0.5585,
soccer,germany,oberliga-mittelrhein,1.5,80,25,1.4469,0.3125,-43.55,-0.5444,-1.2182,
soccer,germany,regionalliga-nordost,1.5,85,35,1.4511,0.4118,-34.39,-0.4046,-0.897,
soccer,greece,football-league-group-2,1.4,41,14,1.3463,0.3415,-22.26,-0.5429,-1.5676,
soccer,italy,lega-pro-c2-a,1.5,66,30,1.4594,0.4545,-22.52,-0.3412,-0.7427,
soccer,luxembourg,national-division,1.5,83,39,1.4567,0.4699,-26.06,-0.314,-0.6874,
soccer,mexico,copa-mexico,1.5,57,22,1.4518,0.386,-25.05,-0.4395,-0.9728,
soccer,mexico,primera-division,1.5,152,63,1.4617,0.4145,-59.87,-0.3939,-0.8531,
soccer,norway,division-2-group-2,1.5,126,62,1.464,0.4921,-35.42,-0.2811,-0.6059,
soccer,oman,professional-league,1.5,50,23,1.4632,0.46,-16.13,-0.3226,-0.6965,
soccer,paraguay,primera-division,1.5,229,110,1.4553,0.4803,-69.03,-0.3014,-0.6621,
soccer,poland,division-2-west,1.4,53,23,1.3615,0.434,-21.46,-0.4049,-1.12,
soccer,qatar,premier-league,1.5,89,44,1.461,0.4944,-24.67,-0.2772,-0.6013,
soccer,russia,youth-league,1.5,150,75,1.4557,0.5,-41.6,-0.2773,-0.6085,
soccer,south-africa,premier-league,1.5,100,40,1.458,0.4,-42.05,-0.4205,-0.9181,
soccer,spain,primera-division-women,1.4,121,55,1.3604,0.4545,-46.3,-0.3826,-1.0617,
soccer,spain,segunda-division-b-group-4,1.3,52,26,1.2442,0.5,-19.26,-0.3704,-1.5165,
soccer,sweden,division-1-sodra,1.5,130,56,1.4526,0.4308,-48.28,-0.3714,-0.8205,
soccer,sweden,division-2-sodra-gotaland,1.5,67,32,1.4552,0.4776,-20.63,-0.3079,-0.6764,
soccer,sweden,division-2-sodra-svealand,1.5,158,79,1.4548,0.5,-42.9,-0.2715,-0.597,
soccer,turkey,tff-3-lig-group-1,1.4,41,18,1.3829,0.439,-15.96,-0.3893,-1.0166,
soccer,turkey,tff-3-lig-group-3,1.5,74,35,1.4592,0.473,-23.1,-0.3122,-0.6798,
soccer,usa,nasl,1.5,46,22,1.4654,0.4783,-13.78,-0.2996,-0.6436,
soccer,world,friendly-international-women,1.5,64,30,1.4639,0.4688,-20.28,-0.3169,-0.6831,
soccer,world,viareggio-cup,1.5,48,24,1.4621,0.5,-12.7,-0.2646,-0.5726,
soccer,world,world-cup,1.3,76,35,1.2501,0.4605,-32.12,-0.4226,-1.6896,
soccer,world,world-cup,1.4,96,44,1.3577,0.4583,-36.05,-0.3755,-1.0498,
