Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly,Number Of Seasons,No Of Positive Seasons,Money Low,Money High
american-football,austria,afl,1.30,47,1.0676,0.9117,-0.0378,-0.3942,5,3,-0.195,0.0700000000000001
american-football,austria,afl,1.50,14,1.4252,0.8000,0.1327,0.3296,4,2,-0.17,0.466666666666667
american-football,canada,cfl,1.30,160,1.2138,0.8442,0.0245,0.1155,10,6,-0.2225,0.238
american-football,canada,cfl,1.50,208,1.4043,0.6778,-0.0535,-0.1189,10,4,-0.4625,0.388
american-football,europe,european-championship,1.30,3,1.0967,1.0000,0.0967,1.0000,1,1,0.0966666666666667,0.0966666666666667
american-football,finland,vaahteraliiga,1.30,7,1.1289,0.8889,-0.0100,0.0268,3,2,-0.203333333333333,0.0933333333333333
american-football,finland,vaahteraliiga,1.50,4,1.4333,0.8333,0.1833,0.4487,2,1,-0.0833333333333333,0.45
american-football,germany,gfl,1.30,15,1.1564,0.6667,-0.2394,-1.4644,4,2,-1,0.219
american-football,germany,gfl,1.50,9,1.4319,0.3750,-0.4700,-1.0722,2,1,-1,0.06
american-football,usa,afl,1.30,141,1.1370,0.9623,0.0949,0.6873,5,5,0.0323076923076923,0.18
american-football,usa,afl,1.50,57,1.3959,0.7790,0.0805,0.2210,5,3,-0.0466666666666667,0.33
american-football,usa,ncaa,1.30,737,1.1788,0.8234,-0.0337,-0.1640,9,5,-0.461666666666666,0.188
american-football,usa,ncaa,1.50,735,1.3890,0.7754,0.0739,0.1979,9,5,-0.247777777777778,0.403333333333333
american-football,usa,nfl,1.30,740,1.1945,0.8217,-0.0225,-0.0950,9,3,-0.1375,0.137333333333333
american-football,usa,nfl,1.50,654,1.4041,0.6898,-0.0362,-0.0778,9,4,-0.228888888888889,0.178461538461538
american-football,world,world-championship,1.30,2,1.1000,1.0000,0.1000,1.0000,1,1,0.1,0.1
baseball,australia,abl,1.50,18,1.4521,0.8750,0.2771,0.5985,2,2,0.0875,0.466666666666667
baseball,colombia,lcbp,1.50,2,1.4800,0.0000,-1.0000,-2.0833,1,0,-1,-1
baseball,cuba,serie-nacional,1.50,121,1.4686,0.5278,-0.2278,-0.4799,2,0,-0.27,-0.185555555555556
baseball,czech-republic,extraliga,1.30,3,1.1400,1.0000,0.1400,1.0000,1,1,0.14,0.14
baseball,czech-republic,extraliga,1.50,5,1.4340,0.8000,0.1680,0.3392,1,1,0.168,0.168
