Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
soccer,china,super-league,1.20,54,10.8,10.8,1.1385,1.0000,1.638,0.1385,1.0000,5,5,0.11,0.1725,0.999999999999999,1
soccer,china,yi-league,1.20,21,10.5,10.5,1.1720,1.0000,1.635,0.1720,1.0000,2,2,0.154,0.19,1,1
soccer,czech-republic,division-2,1.20,54,7.71428571428571,7.71428571428571,1.1486,1.0000,1.16571428571429,0.1486,1.0000,7,7,0.13,0.17,0.999999999999999,1
soccer,ecuador,serie-a,1.20,22,7.33333333333333,7.33333333333333,1.1917,1.0000,1.40666666666667,0.1917,1.0000,3,3,0.18,0.2,1,1
soccer,egypt,premier-league,1.30,64,10.6666666666667,10.6666666666667,1.2594,1.0000,2.71333333333333,0.2594,1.0000,6,6,0.24,0.28,0.999999999999999,1
soccer,england,championship,1.30,81,13.5,13.5,1.2583,1.0000,3.57666666666667,0.2583,1.0000,6,6,0.23,0.28,0.999999999999999,1
soccer,england,league-one,1.20,33,11,11,1.1667,1.0000,1.83333333333333,0.1667,1.0000,3,3,0.16,0.18,1,1
soccer,england,league-two,1.30,33,11,11,1.2267,1.0000,2.49333333333333,0.2267,1.0000,3,3,0.22,0.24,0.999999999999999,1
soccer,england,southern-premier-league,1.20,22,22,22,1.1550,1.0000,3.41,0.1550,1.0000,1,1,0.155,0.155,1,1
soccer,england,vanarama-national-league-south,1.20,30,30,30,1.1667,1.0000,5,0.1667,1.0000,1,1,0.166666666666667,0.166666666666667,1,1
soccer,europe,bene-league-women,1.50,28,14,12,1.4633,0.9000,3.65,0.3183,0.6941,2,2,0.184,0.4525,0.388185654008439,1
soccer,europe,euro,1.20,25,12.5,12.5,1.1517,1.0000,2.015,0.1517,1.0000,2,2,0.13,0.173333333333333,1,1
soccer,europe,europa-league,1.20,26,8.66666666666667,8.66666666666667,1.1667,1.0000,1.45333333333333,0.1667,1.0000,3,3,0.12,0.2,1,1
soccer,europe,uefa-youth-league,1.20,48,9.6,9.6,1.1665,1.0000,1.6,0.1665,1.0000,5,5,0.16,0.18,0.999999999999999,1
soccer,faroe-islands,premier-league,1.20,61,8.71428571428571,8.71428571428571,1.1650,1.0000,1.47285714285714,0.1650,1.0000,7,7,0.13,0.186666666666667,0.999999999999999,1
soccer,finland,kakkonen-east,1.20,27,6.75,6.75,1.1710,1.0000,1.155,0.1710,1.0000,4,4,0.15,0.19,1,1
soccer,finland,kakkonen-east,1.30,21,5.25,5.25,1.2471,1.0000,1.305,0.2471,1.0000,4,4,0.22,0.265,0.999999999999999,1
soccer,finland,kakkonen-group-a,1.20,23,7.66666666666667,7.66666666666667,1.1450,1.0000,1.16666666666667,0.1450,1.0000,3,3,0.115,0.16,0.999999999999999,1
soccer,finland,kakkonen-group-b,1.30,25,8.33333333333333,8.33333333333333,1.2628,1.0000,2.15666666666667,0.2628,1.0000,3,3,0.25,0.275,1,1
soccer,finland,kakkonen-south,1.30,30,7.5,7.5,1.2483,1.0000,1.815,0.2483,1.0000,4,4,0.233333333333333,0.26,1,1
soccer,finland,kakkonen-west,1.30,27,6.75,6.75,1.2575,1.0000,1.7175,0.2575,1.0000,4,4,0.235,0.29,1,1
soccer,france,division-1-women,1.20,23,3.83333333333333,3.83333333333333,1.1625,1.0000,0.628333333333333,0.1625,1.0000,6,6,0.12,0.19,0.999999999999999,1
soccer,france,ligue-2,1.20,32,16,16,1.1750,1.0000,2.76,0.1750,1.0000,2,2,0.17,0.18,0.999999999999998,1
soccer,france,national,1.20,29,9.66666666666667,9.66666666666667,1.1583,1.0000,1.49,0.1583,1.0000,3,3,0.135,0.2,1,1
soccer,germany,oberliga-baden-wurttemberg,1.20,39,7.8,7.8,1.1770,1.0000,1.404,0.1770,1.0000,5,5,0.14,0.2,1,1
soccer,germany,oberliga-bayern-nord,1.20,25,8.33333333333333,8.33333333333333,1.1667,1.0000,1.4,0.1667,1.0000,3,3,0.15,0.18,0.999999999999999,1
soccer,germany,oberliga-bayern-nord,1.50,20,10,10,1.4550,1.0000,4.61,0.4550,1.0000,2,2,0.44,0.47,1,1
soccer,germany,oberliga-hessen,1.20,24,24,24,1.1675,1.0000,4.02,0.1675,1.0000,1,1,0.1675,0.1675,1,1
soccer,germany,oberliga-niederrhein,1.20,30,15,15,1.1583,1.0000,2.36,0.1583,1.0000,2,2,0.156666666666667,0.16,1,1
soccer,germany,oberliga-niedersachsen,1.20,20,6.66666666666667,6.66666666666667,1.1650,1.0000,1.15,0.1650,1.0000,3,3,0.13,0.195,1,1
soccer,germany,oberliga-nrw,1.20,24,24,24,1.1650,1.0000,3.96,0.1650,1.0000,1,1,0.165,0.165,1,1
soccer,germany,oberliga-rheinland-pfalz-saar,1.30,25,8.33333333333333,8.33333333333333,1.2833,1.0000,2.32,0.2833,1.0000,3,3,0.26,0.3,0.999999999999999,1
soccer,germany,oberliga-schleswig-holstein,1.30,59,11.8,11.8,1.2540,1.0000,3,0.2540,1.0000,5,5,0.21,0.295,0.999999999999998,1
soccer,germany,regionalliga-bayern,1.20,29,9.66666666666667,9.66666666666667,1.1767,1.0000,1.71333333333333,0.1767,1.0000,3,3,0.17,0.18,1,1
soccer,germany,regionalliga-sudwest,1.40,49,12.25,12.25,1.3638,1.0000,4.4275,0.3638,1.0000,4,4,0.345,0.38,1,1
soccer,greece,football-league-group-1,1.20,32,32,32,1.1688,1.0000,5.4,0.1688,1.0000,1,1,0.16875,0.16875,1,1
soccer,greece,football-league-group-2,1.20,20,20,20,1.1800,1.0000,3.6,0.1800,1.0000,1,1,0.18,0.18,0.999999999999999,0.999999999999999
