soccer,albania,super-league,1.10,23,23,1.0809,1.0000,1.86,0.0809
soccer,albania,super-league,1.20,86,83,1.1358,0.9651,8.14,0.0947
soccer,albania,super-league,1.30,137,120,1.1801,0.8759,3.32,0.0242
soccer,albania,super-league,1.40,178,148,1.2220,0.8315,0.440000000000002,0.0025
soccer,albania,super-league,1.50,232,181,1.2755,0.7802,-5.64,-0.0243
soccer,algeria,division-1,1.20,17,17,1.1512,1.0000,2.57,0.1512
soccer,algeria,division-1,1.30,54,44,1.2170,0.8148,-0.88,-0.0163
soccer,algeria,division-1,1.40,126,111,1.3001,0.8810,18.51,0.1469
soccer,algeria,division-1,1.50,230,203,1.3762,0.8826,49.7999999999999,0.2165
soccer,andorra,primera-divisio,1.10,10,8,1.0310,0.8000,-1.74,-0.1740
soccer,andorra,primera-divisio,1.20,13,10,1.0654,0.7692,-2.34,-0.1800
soccer,andorra,primera-divisio,1.30,13,10,1.0654,0.7692,-2.34,-0.1800
soccer,andorra,primera-divisio,1.40,16,13,1.1156,0.8125,-1.34,-0.0838
soccer,andorra,primera-divisio,1.50,16,13,1.1156,0.8125,-1.34,-0.0838
soccer,argentina,primera-division,1.20,19,19,1.1700,1.0000,3.23,0.1700
soccer,argentina,primera-division,1.30,45,45,1.2098,1.0000,9.44,0.2098
soccer,argentina,primera-division,1.40,82,73,1.2798,0.8902,10.64,0.1298
soccer,argentina,primera-division,1.50,225,182,1.3960,0.8089,26.75,0.1189
soccer,armenia,premier-league,1.10,21,18,1.0671,0.8571,-1.74,-0.0829
soccer,armenia,premier-league,1.20,57,51,1.1230,0.8947,0.469999999999997,0.0082
soccer,armenia,premier-league,1.30,132,113,1.2051,0.8561,4.17,0.0316
soccer,armenia,premier-league,1.40,197,158,1.2547,0.8020,0.330000000000004,0.0017
soccer,armenia,premier-league,1.50,259,208,1.3046,0.8031,11.19,0.0432
soccer,australia,a-league,1.30,26,23,1.2500,0.8846,2.78,0.1069
soccer,australia,a-league,1.40,88,73,1.3299,0.8295,8.69,0.0988
soccer,australia,a-league,1.50,160,122,1.3941,0.7625,9.03,0.0564
soccer,austria,tipico-bundesliga,1.10,12,8,1.0800,0.6667,-3.32,-0.2767
soccer,austria,tipico-bundesliga,1.20,56,44,1.1586,0.7857,-5,-0.0893
soccer,austria,tipico-bundesliga,1.30,116,84,1.2034,0.7241,-15,-0.1293
soccer,austria,tipico-bundesliga,1.40,180,128,1.2560,0.7111,-19.56,-0.1087
soccer,austria,tipico-bundesliga,1.50,296,220,1.3311,0.7432,-2.24000000000001,-0.0076
soccer,azerbaijan,premier-league,1.10,4,4,1.1000,1.0000,0.4,0.1000
soccer,azerbaijan,premier-league,1.20,30,26,1.1533,0.8667,0.159999999999999,0.0053
soccer,azerbaijan,premier-league,1.30,107,95,1.2310,0.8879,10.32,0.0964
soccer,azerbaijan,premier-league,1.40,195,160,1.2898,0.8205,10.9,0.0559
soccer,azerbaijan,premier-league,1.50,284,239,1.3426,0.8415,37.33,0.1314
soccer,bahrain,premier-league,1.20,8,8,1.1625,1.0000,1.3,0.1625
soccer,bahrain,premier-league,1.30,32,20,1.2444,0.6250,-7.3,-0.2281
soccer,bahrain,premier-league,1.40,80,52,1.3113,0.6500,-12.08,-0.1510
soccer,bahrain,premier-league,1.50,124,82,1.3615,0.6613,-12.64,-0.1019
soccer,bangladesh,premier-league,1.20,9,8,1.1656,0.8889,0.329999999999999,0.0367
soccer,bangladesh,premier-league,1.30,12,11,1.1867,0.9167,1.08,0.0900
soccer,bangladesh,premier-league,1.40,20,18,1.2645,0.9000,2.77,0.1385
soccer,bangladesh,premier-league,1.50,39,34,1.3536,0.8718,6.95,0.1782
soccer,belarus,vysshaya-liga,1.10,8,8,1.0825,1.0000,0.660000000000001,0.0825
soccer,belarus,vysshaya-liga,1.20,51,46,1.1584,0.9020,2.18,0.0427
soccer,belarus,vysshaya-liga,1.30,145,103,1.2284,0.7103,-19.33,-0.1333
soccer,belarus,vysshaya-liga,1.40,273,182,1.2910,0.6667,-40.03,-0.1466
soccer,belarus,vysshaya-liga,1.50,397,257,1.3448,0.6474,-54.7299999999999,-0.1379
soccer,belgium,jupiler-league,1.20,7,7,1.2000,1.0000,1.4,0.2000
soccer,belgium,jupiler-league,1.30,74,68,1.2411,0.9189,10.58,0.1430
soccer,belgium,jupiler-league,1.40,211,185,1.3121,0.8768,31.42,0.1489
soccer,belgium,jupiler-league,1.50,390,316,1.3795,0.8103,44.1,0.1131
soccer,bolivia,liga-de-futbol-prof,1.10,5,5,1.0700,1.0000,0.35,0.0700
soccer,bolivia,liga-de-futbol-prof,1.20,75,75,1.1604,1.0000,12.03,0.1604
soccer,bolivia,liga-de-futbol-prof,1.30,261,222,1.2280,0.8506,10.64,0.0408
soccer,bolivia,liga-de-futbol-prof,1.40,544,419,1.2958,0.7702,-5.01,-0.0092
soccer,bolivia,liga-de-futbol-prof,1.50,750,569,1.3402,0.7587,7.71999999999998,0.0103
soccer,bosnia-and-herzegovina,premier-league,1.10,69,64,1.0899,0.9275,0.700000000000002,0.0101
soccer,bosnia-and-herzegovina,premier-league,1.20,262,222,1.1448,0.8473,-7.65,-0.0292
soccer,bosnia-and-herzegovina,premier-league,1.30,437,378,1.1891,0.8650,13.04,0.0298
soccer,bosnia-and-herzegovina,premier-league,1.40,618,515,1.2382,0.8333,17.74,0.0287
soccer,bosnia-and-herzegovina,premier-league,1.50,780,614,1.2844,0.7872,0.690000000000001,0.0009
soccer,botswana,premier-league,1.10,1,1,1.0800,1.0000,0.0800000000000001,0.0800
soccer,botswana,premier-league,1.20,2,2,1.1250,1.0000,0.25,0.1250
soccer,botswana,premier-league,1.30,2,2,1.1250,1.0000,0.25,0.1250
soccer,botswana,premier-league,1.40,4,2,1.2475,0.5000,-1.75,-0.4375
soccer,botswana,premier-league,1.50,6,4,1.3167,0.6667,-0.84,-0.1400
soccer,brazil,serie-a,1.20,32,32,1.1650,1.0000,5.28,0.1650
soccer,brazil,serie-a,1.30,148,120,1.2389,0.8108,0.239999999999995,0.0016
soccer,brazil,serie-a,1.40,272,216,1.2944,0.7941,6.56,0.0241
soccer,brazil,serie-a,1.50,480,328,1.3656,0.6833,-38.56,-0.0803
soccer,bulgaria,parva-liga,1.10,108,98,1.0691,0.9074,-3.38999999999999,-0.0314
soccer,bulgaria,parva-liga,1.20,225,198,1.1094,0.8800,-5.58,-0.0248
soccer,bulgaria,parva-liga,1.30,384,326,1.1639,0.8490,-5.5,-0.0143
soccer,bulgaria,parva-liga,1.40,548,440,1.2195,0.8029,-15.36,-0.0280
soccer,bulgaria,parva-liga,1.50,686,525,1.2663,0.7653,-30.58,-0.0446
soccer,burundi,ligue-a,1.40,1,1,1.3100,1.0000,0.31,0.3100
soccer,burundi,ligue-a,1.50,1,1,1.3100,1.0000,0.31,0.3100
soccer,cambodia,c-league,1.20,1,1,1.1800,1.0000,0.18,0.1800
soccer,cambodia,c-league,1.30,3,3,1.2467,1.0000,0.74,0.2467
soccer,cambodia,c-league,1.40,3,3,1.2467,1.0000,0.74,0.2467
soccer,cambodia,c-league,1.50,4,3,1.2975,0.7500,-0.26,-0.0650
soccer,cameroon,elite-one,1.20,5,5,1.1720,1.0000,0.86,0.1720
soccer,cameroon,elite-one,1.30,14,12,1.2386,0.8571,0.74,0.0529
soccer,cameroon,elite-one,1.40,23,17,1.2952,0.7391,-1.4,-0.0609
soccer,cameroon,elite-one,1.50,55,33,1.3985,0.6000,-9.95,-0.1809
soccer,canada,championship,1.30,3,3,1.2533,1.0000,0.76,0.2533
soccer,canada,championship,1.40,6,5,1.3083,0.8333,0.53,0.0883
soccer,canada,championship,1.50,7,6,1.3314,0.8571,1,0.1429
soccer,chile,primera-division,1.20,7,7,1.2000,1.0000,1.4,0.2000
soccer,chile,primera-division,1.30,60,53,1.2607,0.8833,6.54,0.1090
soccer,chile,primera-division,1.40,172,145,1.3260,0.8430,19.65,0.1142
soccer,chile,primera-division,1.50,240,187,1.3635,0.7792,13.47,0.0561
soccer,china,super-league,1.10,15,10,1.0833,0.6667,-4.1,-0.2733
soccer,china,super-league,1.20,64,59,1.1423,0.9219,3.76,0.0588
soccer,china,super-league,1.30,155,125,1.2061,0.8065,-5.06,-0.0326
