Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly
american-football,austria,afl,1.10,22,1.0436,0.9545,-0.0023,-0.0871
american-football,austria,afl,1.20,9,1.1611,0.7778,-0.0944,-0.6015
american-football,austria,afl,1.30,2,1.2750,1.0000,0.2750,1.0000
american-football,austria,afl,1.40,2,1.3500,0.5000,-0.3250,-0.9286
american-football,austria,afl,1.50,1,1.5000,0.0000,-1.0000,-2.0000
american-football,canada,cfl,1.20,6,1.1900,0.3333,-0.6067,-3.1754
american-football,canada,cfl,1.30,27,1.2441,0.7407,-0.0804,-0.3215
american-football,canada,cfl,1.40,25,1.3464,0.6000,-0.1928,-0.5547
american-football,canada,cfl,1.50,26,1.4454,0.7692,0.1108,0.2511
american-football,denmark,national-ligaen,1.10,1,1.0200,1.0000,0.0200,1.0000
american-football,europe,european-championship,1.10,3,1.0833,1.0000,0.0833,1.0000
american-football,finland,vaahteraliiga,1.10,3,1.1000,1.0000,0.1000,1.0000
american-football,germany,gfl,1.10,1,1.0700,1.0000,0.0700,1.0000
american-football,germany,gfl,1.20,3,1.1300,0.6667,-0.2500,-1.8974
american-football,germany,gfl,1.30,2,1.2900,1.0000,0.2900,1.0000
american-football,germany,gfl,1.40,3,1.3667,1.0000,0.3667,1.0000
american-football,germany,gfl,1.50,1,1.5000,1.0000,0.5000,1.0000
american-football,italy,ifl,1.30,1,1.2500,0.0000,-1.0000,-4.0000
american-football,sweden,superserien,1.20,1,1.1300,1.0000,0.1300,1.0000
american-football,usa,afl,1.10,34,1.0765,0.9412,0.0129,0.1719
american-football,usa,afl,1.20,30,1.1420,0.7000,-0.2050,-1.4127
american-football,usa,afl,1.30,7,1.2314,0.7143,-0.1229,-0.5203
american-football,usa,afl,1.40,12,1.3533,0.7500,0.0183,0.0425
american-football,usa,afl,1.50,28,1.4539,0.2857,-0.5854,-1.2878
american-football,usa,ncaa,1.10,41,1.0461,1.0000,0.0461,1.0000
american-football,usa,ncaa,1.20,181,1.1599,0.8343,-0.0328,-0.2020
american-football,usa,ncaa,1.30,285,1.2682,0.8842,0.1231,0.4526
american-football,usa,ncaa,1.40,440,1.3548,0.7000,-0.0520,-0.1457
american-football,usa,ncaa,1.50,261,1.4522,0.4215,-0.3889,-0.8579
