Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
american-football,usa,afl,1.30,24,22,1.2404,0.9167,3.31,0.1379,0.5737
american-football,usa,afl,1.40,25,23,1.3544,0.9200,6.1,0.2440,0.6885
american-football,usa,ncaa,1.50,272,206,1.4588,0.7574,28.1000000000001,0.1033,0.2252
baseball,italy,ibl,1.20,35,34,1.1617,0.9714,4.52,0.1291,0.7986
baseball,mexico,lmb,1.20,22,22,1.1950,1.0000,4.29,0.1950,1.0000
baseball,mexico,lmb,1.50,363,275,1.4600,0.7576,37.8400000000001,0.1042,0.2266
baseball,puerto-rico,prbl,1.50,30,24,1.4680,0.8000,5.22,0.1740,0.3718
baseball,south-korea,kbo,1.30,22,22,1.2850,1.0000,6.27,0.2850,1.0000
baseball,south-korea,kbo,1.40,99,88,1.3667,0.8889,21.12,0.2133,0.5818
baseball,usa,mlb,1.30,33,33,1.2833,1.0000,9.35000000000001,0.2833,1.0000
baseball,usa,mlb,1.40,122,100,1.3838,0.8197,16.13,0.1322,0.3445
basketball,asia,abl,1.20,50,48,1.1588,0.9600,5.58,0.1116,0.7028
basketball,australia,seabl,1.50,156,125,1.4576,0.8013,25.93,0.1662,0.3633
basketball,bahrain,premier-league,1.30,33,29,1.2633,0.8788,3.65,0.1106,0.4200
basketball,belarus,premier-league,1.50,23,18,1.4791,0.7826,3.62,0.1574,0.3285
basketball,bosnia-and-herzegovina,prvenstvo-bih,1.30,20,19,1.2500,0.9500,3.74,0.1870,0.7480
basketball,chile,lnb,1.50,42,33,1.4583,0.7857,6.3,0.1500,0.3273
basketball,croatia,a1-liga,1.50,103,82,1.4583,0.7961,16.84,0.1635,0.3567
basketball,czech-republic,nbl,1.30,200,180,1.2522,0.9000,25.24,0.1262,0.5004
basketball,europe,champions-league,1.30,63,63,1.2467,1.0000,15.54,0.2467,1.0000
basketball,europe,champions-league,1.50,49,42,1.4429,0.8571,11.48,0.2343,0.5290
basketball,europe,eurobasket-u18,1.50,48,37,1.4571,0.7708,5.79,0.1206,0.2639
basketball,europe,eurocup-women,1.20,81,78,1.1574,0.9630,9.32999999999999,0.1152,0.7318
basketball,europe,eurocup-women,1.40,33,27,1.3691,0.8182,3.9,0.1182,0.3202
basketball,europe,euroleague-women,1.50,88,71,1.4468,0.8068,14.54,0.1652,0.3698
basketball,europe,european-championship-u16-women,1.50,30,24,1.4480,0.8000,4.78,0.1593,0.3557
basketball,europe,european-championship-u18-b-women,1.40,46,40,1.3452,0.8696,7.72,0.1678,0.4861
basketball,europe,european-championship-women,1.40,61,50,1.3616,0.8197,7.16,0.1174,0.3246
basketball,europe,european-championship-women,1.50,43,35,1.4526,0.8140,7.58,0.1763,0.3895
basketball,europe,fiba-europe-cup,1.40,72,61,1.3474,0.8472,10.15,0.1410,0.4058
basketball,france,lfb-women,1.40,68,56,1.3576,0.8235,8.00000000000001,0.1176,0.3289
basketball,germany,dbbl-women,1.30,22,20,1.2614,0.9091,3.31,0.1505,0.5757
basketball,germany,dbbl-women,1.50,22,18,1.4541,0.8182,4.31,0.1959,0.4314
basketball,hungary,nb-i-a,1.30,135,118,1.2585,0.8741,13.59,0.1007,0.3894
basketball,hungary,nb-i-a,1.40,139,116,1.3519,0.8345,18.02,0.1296,0.3684
basketball,hungary,nb-i-a,1.50,154,123,1.4631,0.7987,25.98,0.1687,0.3643
basketball,indonesia,ibl,1.40,64,53,1.3492,0.8281,7.25000000000001,0.1133,0.3244
basketball,italy,a2-east,1.40,185,155,1.3615,0.8378,26.15,0.1414,0.3911
basketball,italy,a2-east,1.50,162,122,1.4567,0.7531,16.21,0.1001,0.2191
basketball,italy,a2-play-offs,1.40,54,44,1.3602,0.8148,5.85,0.1083,0.3008
basketball,italy,a2-play-offs,1.50,38,29,1.4558,0.7632,4.29,0.1129,0.2477
basketball,italy,a2-west,1.40,361,310,1.3584,0.8587,60.1900000000001,0.1667,0.4652
basketball,italy,serie-a1-women,1.40,102,84,1.3577,0.8235,11.79,0.1156,0.3231
basketball,italy,serie-a1-women,1.50,76,66,1.4459,0.8684,19.35,0.2546,0.5710
basketball,japan,b-league,1.50,22,22,1.4500,1.0000,9.9,0.4500,1.0000
basketball,japan,bj-league,1.50,295,230,1.4564,0.7797,40.13,0.1360,0.2981
basketball,lithuania,nkl,1.40,50,50,1.3460,1.0000,17.3,0.3460,1.0000
basketball,netherlands,dbl,1.40,135,109,1.3613,0.8074,13.74,0.1018,0.2817
