Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly
american-football,austria,afl,1.30,33,1.0897,0.9091,-0.0106,-0.1044
american-football,canada,cfl,1.30,33,1.2342,0.6667,-0.1761,-0.7564
american-football,canada,cfl,1.50,51,1.3969,0.6863,-0.0380,-0.1042
american-football,usa,afl,1.30,71,1.1194,0.8169,-0.0925,-0.7161
american-football,usa,afl,1.50,40,1.4238,0.4250,-0.4043,-0.9319
american-football,usa,ncaa,1.50,701,1.3910,0.5963,-0.1774,-0.4361
american-football,usa,nfl,1.30,167,1.2204,0.6707,-0.1881,-0.8239
american-football,usa,nfl,1.50,296,1.3907,0.6486,-0.0929,-0.2507
baseball,cuba,serie-nacional,1.50,33,1.4500,0.6667,-0.0467,-0.0741
baseball,europe,european-championship,1.30,33,1.0979,0.8182,-0.1118,-1.0394
baseball,italy,ibl,1.50,31,1.4339,0.4839,-0.3045,-0.7057
baseball,japan,npb,1.30,33,1.2867,0.3333,-0.5767,-1.9922
baseball,japan,npb,1.50,341,1.4310,0.6452,-0.0739,-0.1782
baseball,netherlands,hoofdklasse,1.30,162,1.1272,0.6358,-0.2948,-2.2283
baseball,netherlands,hoofdklasse,1.50,87,1.3945,0.6322,-0.1055,-0.3002
baseball,south-korea,kbo,1.50,251,1.4235,0.6972,-0.0080,-0.0178
baseball,usa,mlb,1.50,33,1.4433,0.6667,-0.0533,-0.0852
baseball,world,world-baseball-classic,1.30,45,1.1422,0.8222,-0.0604,-0.4278
baseball,world,world-baseball-classic,1.50,33,1.4033,0.5455,-0.2400,-0.5815
basketball,africa,african-championship,1.30,54,1.1206,0.7593,-0.1641,-1.2377
basketball,argentina,liga-a,1.50,98,1.3953,0.6633,-0.0649,-0.1886
basketball,asia,abl,1.50,41,1.3898,0.6098,-0.1500,-0.3915
basketball,asia,asia-challenge,1.30,23,1.0913,0.9130,0.0017,-0.0393
basketball,asia,asia-championship-u18,1.30,25,1.1364,0.7200,-0.1800,-1.3328
basketball,australia,seabl,1.30,111,1.1886,0.7117,-0.1602,-0.8172
basketball,australia,seabl,1.50,70,1.3911,0.7143,-0.0119,-0.0162
basketball,australia,wnbl-women,1.30,186,1.1324,0.8441,-0.0503,-0.3338
basketball,australia,wnbl-women,1.50,75,1.4231,0.5067,-0.2816,-0.6594
basketball,austria,abl,1.50,95,1.3861,0.6947,-0.0421,-0.0959
basketball,belarus,premier-league,1.30,84,1.1342,0.8333,-0.0581,-0.4089
basketball,belarus,premier-league,1.50,39,1.3900,0.6923,-0.0397,-0.0966
