Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
baseball,cuba,serie-nacional,1.40,22,22,11,1.4000,0.5000,-6.6,-0.3000,-0.7500,1,0,-0.3,-0.3,-0.750000000000001,-0.750000000000001
basketball,qatar,qbl,1.50,22,5.5,2,1.4953,0.3500,-2.5,-0.4750,-0.9555,4,0,-1,-0.25,-2,-0.5
basketball,sweden,basketligan-women,1.30,24,24,12,1.2600,0.5000,-8.68,-0.3617,-1.3910,1,0,-0.361666666666667,-0.361666666666667,-1.39102564102564,-1.39102564102564
basketball,ukraine,fbu-superleague,1.40,29,14.5,5.5,1.3477,0.3667,-7.115,-0.5107,-1.4710,2,0,-0.563333333333333,-0.458,-1.64077669902913,-1.30113636363636
hockey,sweden,hockeyettan-vastra,1.20,33,11,0,1.1844,0.0000,-11,-1.0000,-5.5072,3,0,-1,-1,-6.52173913043479,-5
rugby-union,england,greene-king-ipa-championship,1.50,36,12,3,1.4481,0.1944,-7.6,-0.7150,-1.5984,3,0,-1,-0.51,-2.24719101123596,-1.12915129151291
soccer,argentina,copa-argentina,1.50,24,4,1,1.4671,0.1500,-2.55,-0.7800,-1.6794,6,0,-1,-0.25,-2.27272727272727,-0.5
soccer,belgium,first-amateur-division,1.50,25,25,10,1.4560,0.4000,-10.35,-0.4140,-0.9079,1,0,-0.414,-0.414,-0.907894736842106,-0.907894736842106
soccer,brazil,campeonato-goiano,1.50,20,5,2,1.4669,0.3333,-2.085,-0.5150,-1.0803,4,0,-1,-0.275,-2,-0.614525139664804
soccer,denmark,2nd-division-group-1,1.40,20,10,5,1.3525,0.5000,-3.325,-0.3325,-0.9432,2,0,-0.34,-0.325,-0.944444444444444,-0.942028985507246
soccer,denmark,2nd-division-group-2,1.40,20,10,5,1.3525,0.5000,-3.325,-0.3325,-0.9432,2,0,-0.34,-0.325,-0.944444444444444,-0.942028985507246
soccer,denmark,2nd-division-group-3,1.40,20,10,5,1.3525,0.5000,-3.325,-0.3325,-0.9432,2,0,-0.34,-0.325,-0.944444444444444,-0.942028985507246
soccer,europe,euro-women,1.50,42,14,2,1.4658,0.2778,-11.0633333333333,-0.5933,-1.2809,3,0,-1,-0.27,-2.1551724137931,-0.5625
soccer,finland,kakkonen-south,1.50,27,6.75,3,1.4631,0.3750,-2.4225,-0.4625,-0.9735,4,0,-1,-0.265,-2,-0.554973821989529
soccer,germany,oberliga-mittelrhein,1.50,45,9,2,1.4370,0.2000,-6.03,-0.7030,-1.6485,5,0,-1,-0.255,-2.4390243902439,-0.536842105263158
soccer,germany,oberliga-nrw,1.40,24,24,6,1.3375,0.2500,-15.9,-0.6625,-1.9630,1,0,-0.6625,-0.6625,-1.96296296296296,-1.96296296296296
soccer,greece,football-league-group-1,1.40,23,11.5,4.5,1.3383,0.4167,-5.48,-0.4458,-1.3019,2,0,-0.546666666666667,-0.345,-1.49090909090909,-1.11290322580645
soccer,greece,football-league-group-2,1.40,27,13.5,4.5,1.3500,0.3333,-7.48,-0.5550,-1.5905,2,0,-0.563333333333333,-0.546666666666667,-1.69,-1.49090909090909
soccer,netherlands,tweede-divisie,1.40,21,21,0,1.3767,0.0000,-21,-1.0000,-2.6549,1,0,-1,-1,-2.65486725663717,-2.65486725663717
soccer,portugal,campeonato-de-portugal-prio,1.50,21,10.5,5,1.4575,0.2500,-3,-0.6250,-1.3995,2,0,-1,-0.25,-2.27272727272727,-0.526315789473684
soccer,serbia-and-montenegro,prva-liga,1.50,20,20,8,1.5000,0.4000,-8,-0.4000,-0.8000,1,0,-0.4,-0.4,-0.8,-0.8
soccer,serbia,prva-liga,1.50,24,24,12,1.4513,0.5000,-6.48,-0.2700,-0.5983,1,0,-0.27,-0.27,-0.598337950138504,-0.598337950138504
soccer,south-africa,premier-league,1.30,25,8.33333333333333,3.33333333333333,1.2817,0.3333,-4.08333333333333,-0.5750,-2.0285,3,0,-1,-0.35,-3.44827586206897,-1.16666666666667
soccer,switzerland,1-liga-promotion,1.30,24,6,2.5,1.2688,0.3750,-2.915,-0.5313,-1.9228,4,0,-1,-0.355,-3.33333333333333,-1.38888888888889
volleyball,world,world-championship,1.50,21,10.5,3,1.4467,0.1667,-6.06,-0.7533,-1.6825,2,0,-1,-0.506666666666667,-2.22222222222222,-1.14285714285714
