Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly,Number Of Seasons,No Of Positive Seasons,Money Low,Money High
soccer,greece,football-league-group-2,1.30,58,1.2210,0.9167,0.1185,0.5395,2,2,0.0383333333333333,0.198571428571429
soccer,indonesia,premier-league,1.30,42,1.2623,0.8167,0.0270,0.1178,2,2,0.004,0.05
soccer,indonesia,premier-league,1.50,54,1.3997,0.7639,0.0638,0.1732,2,2,0.0508333333333333,0.0766666666666667
soccer,israel,leumit-league,1.30,54,1.2283,1.0000,0.2283,1.0000,6,6,0.0700000000000001,0.3
soccer,italy,lega-pro-c2-b,1.30,32,1.1683,1.0000,0.1683,1.0000,3,3,0.11,0.2
soccer,italy,lega-pro-group-c,1.30,95,1.2296,1.0000,0.2296,1.0000,2,2,0.2225,0.236666666666667
soccer,italy,lega-pro-group-c,1.50,58,1.3789,1.0000,0.3789,1.0000,3,3,0.36,0.406666666666667
soccer,italy,primavera-group-c,1.30,24,1.0942,1.0000,0.0942,1.0000,1,1,0.0941666666666667,0.0941666666666667
soccer,italy,serie-c2-c,1.50,74,1.4257,0.8492,0.2103,0.4950,3,2,-0.00571428571428572,0.45
soccer,japan,j-league,1.30,109,1.2454,1.0000,0.2454,1.0000,9,9,0.18,0.3
soccer,malaysia,fa-cup,1.30,21,1.1892,0.9762,0.1600,0.8504,6,6,0.00142857142857146,0.245
soccer,netherlands,eredivisie-women,1.50,21,1.4080,1.0000,0.4080,1.0000,2,2,0.4,0.416
soccer,north-central-america,concacaf-champions-league,1.30,174,1.1878,0.9100,0.0779,0.4307,8,7,-0.00500000000000002,0.227777777777778
soccer,northern-ireland,irish-cup,1.30,48,1.1462,0.9410,0.0786,0.5374,6,6,0.00444444444444445,0.1775
soccer,norway,junior-u19,1.30,51,1.2100,0.9792,0.1852,0.8800,3,3,0.020625,0.285
soccer,peru,copa-inca,1.30,21,1.2400,1.0000,0.2400,1.0000,2,2,0.226666666666667,0.253333333333333
soccer,rwanda,national-football-league,1.30,20,1.2180,1.0000,0.2180,1.0000,1,1,0.218,0.218
soccer,san-marino,campionato-sammarinese,1.30,46,1.2497,0.9643,0.2033,0.8212,4,4,0.08,0.28
soccer,saudi-arabia,division-1,1.30,20,1.2211,1.0000,0.2211,1.0000,3,3,0.17,0.263333333333333
soccer,serbia-and-montenegro,prva-liga,1.30,72,1.1467,0.8889,0.0111,0.1313,1,1,0.0111111111111111,0.0111111111111111
soccer,serbia,prva-liga,1.30,24,1.1963,1.0000,0.1963,1.0000,1,1,0.19625,0.19625
soccer,slovakia,divison-c-west,1.50,29,1.4091,0.9318,0.3093,0.7652,4,4,0.0172727272727273,0.45
soccer,spain,segunda-division-b-group-2,1.30,53,1.2130,1.0000,0.2130,1.0000,5,5,0.11,0.3
soccer,sweden,elitettan-women,1.30,38,1.1965,0.8944,0.0653,0.3573,2,2,0.0566666666666666,0.074
soccer,sweden,elitettan-women,1.50,34,1.4010,0.8264,0.1593,0.3935,2,2,0.0911111111111111,0.2275
soccer,ukraine,youth-league,1.30,36,1.1611,1.0000,0.1611,1.0000,1,1,0.161111111111111,0.161111111111111
soccer,ukraine,youth-league,1.50,20,1.3820,0.8000,0.0820,0.2764,1,1,0.082,0.082
soccer,united-arab-emirates,uae-league,1.30,115,1.2190,0.9665,0.1761,0.8137,8,8,0.0157142857142857,0.283333333333333
soccer,usa,usl,1.30,26,1.2233,1.0000,0.2233,1.0000,2,2,0.17,0.276666666666667
volleyball,asia,asian-championship,1.50,34,1.3907,0.9074,0.2574,0.6704,3,3,0.163333333333333,0.39
volleyball,asia,asian-games,1.30,36,1.0628,0.9444,0.0050,0.0595,1,1,0.00500000000000003,0.00500000000000003
volleyball,austria,2-bundesliga-west,1.30,122,1.1413,0.9366,0.0611,0.4881,5,4,-0.0146153846153846,0.190833333333333
volleyball,austria,2-bundesliga,1.30,27,1.1454,0.9722,0.1106,0.7811,3,3,0.0625,0.172727272727273
volleyball,austria,2-bundesliga,1.50,30,1.4224,0.8873,0.2629,0.6205,3,3,0.0493333333333333,0.4
volleyball,belarus,division-a,1.30,46,1.1000,0.9130,-0.0030,0.0435,1,0,-0.00304347826086955,-0.00304347826086955
volleyball,europe,european-championships,1.50,66,1.3913,0.8656,0.2061,0.5220,5,5,0.035,0.413333333333333
volleyball,germany,2-bundesliga-north-women,1.30,229,1.1400,0.8892,0.0097,0.0978,3,2,-0.0072222222222222,0.0281818181818182
volleyball,russia,superleague-east,1.30,40,1.1735,0.9500,0.1120,0.6618,1,1,0.112,0.112
volleyball,turkey,division-1,1.50,142,1.4140,0.8639,0.2175,0.5351,8,8,0.03625,0.47
volleyball,world,world-championship-u18-women,1.30,56,1.1057,0.9688,0.0657,0.6732,2,2,0.023125,0.108333333333333
volleyball,world,world-championship-u19,1.30,60,1.1210,0.9643,0.0764,0.6692,2,1,-0.00785714285714285,0.160625
volleyball,world,world-championship-u19,1.50,36,1.3833,0.7922,0.1024,0.2501,2,2,0.0090909090909091,0.195714285714286
volleyball,world,world-championship-u21,1.50,64,1.3977,0.8646,0.2098,0.5241,4,4,0.05625,0.3925
volleyball,world,world-championship-u23,1.30,36,1.0828,0.9750,0.0563,0.6729,2,2,0.0275,0.085
volleyball,world,world-cup-women,1.30,40,1.0627,1.0000,0.0627,1.0000,2,2,0.0321428571428572,0.0933333333333333
water-polo,europe,adriatic-league,1.30,111,1.0752,0.9459,0.0059,0.2262,2,1,-0.0021052631578947,0.0138888888888889
water-polo,europe,adriatic-league,1.50,30,1.4200,0.8000,0.1340,0.3238,2,2,0.108,0.16
water-polo,europe,european-championship,1.30,27,1.0885,1.0000,0.0885,1.0000,2,2,0.04875,0.128181818181818
water-polo,world,olympic-games-women,1.30,28,1.1383,0.9583,0.0963,0.6571,2,2,0.06,0.1325
