Sport,Country,League,Category,Total games,Succeful,Avg. Odd,Success rate,Total win,Win per game,Money Usage Rate,Season
soccer,africa,caf-champions-league,1.2,3,3,1.12,1,0.36,0.12,1,2015
soccer,africa,caf-champions-league,1.3,3,3,1.21,1,0.63,0.21,1,2015
soccer,africa,caf-champions-league,1.4,18,12,1.3767,0.6667,-1.44,-0.08,-0.2124,2015
soccer,africa,caf-champions-league,1.5,6,6,1.465,1,2.79,0.465,1,2015
soccer,africa,caf-champions-league,1.2,2,2,1.2,1,0.4,0.2,1,2014
soccer,africa,caf-champions-league,1.3,8,8,1.28,1,2.24,0.28,1,2014
soccer,africa,caf-champions-league,1.4,6,4,1.3533,0.6667,-0.54,-0.09,-0.2547,2014
soccer,africa,caf-champions-league,1.5,8,2,1.4725,0.25,-5.14,-0.6425,-1.3598,2014
soccer,africa,caf-champions-league,1.2,4,2,1.175,0.5,-1.66,-0.415,-2.3714,2013
soccer,africa,caf-champions-league,1.3,4,2,1.23,0.5,-1.54,-0.385,-1.6739,2013
soccer,africa,caf-champions-league,1.5,8,6,1.46,0.75,0.72,0.09,0.1957,2013
soccer,africa,caf-champions-league,1.1,1,1,1.08,1,0.08,0.08,1,2012
soccer,africa,caf-champions-league,1.2,1,1,1.16,1,0.16,0.16,1,2012
soccer,africa,caf-champions-league,1.3,3,3,1.2533,1,0.76,0.2533,1,2012
soccer,africa,caf-champions-league,1.4,3,0,1.3867,0,-3,-1,-2.5862,2012
soccer,africa,caf-champions-league,1.5,5,5,1.472,1,2.36,0.472,1,2012
soccer,africa,caf-champions-league,1.3,6,6,1.2533,1,1.52,0.2533,1,2011
soccer,africa,caf-champions-league,1.4,8,8,1.37,1,2.96,0.37,1,2011
soccer,africa,caf-champions-league,1.5,8,8,1.4675,1,3.74,0.4675,1,2011
soccer,africa,caf-champions-league,1.3,2,2,1.29,1,0.58,0.29,1,2010
soccer,africa,caf-champions-league,1.4,8,8,1.3875,1,3.1,0.3875,1,2010
soccer,africa,caf-champions-league,1.5,6,4,1.4733,0.6667,-0.16,-0.0267,-0.0563,2010
soccer,africa,caf-champions-league,1.2,3,2,1.18,0.6667,-0.66,-0.22,-1.2222,2009
soccer,africa,caf-champions-league,1.3,1,0,1.3,0,-1,-1,-3.3333,2009
soccer,africa,caf-champions-league,1.4,4,3,1.3775,0.75,0.13,0.0325,0.0861,2009
soccer,africa,caf-champions-league,1.5,6,2,1.485,0.3333,-3.04,-0.5067,-1.0447,2009
soccer,africa,caf-confederations-cup,1.1,2,2,1.1,1,0.2,0.1,1,2017
soccer,africa,caf-confederations-cup,1.2,4,4,1.16,1,0.64,0.16,1,2017
soccer,africa,caf-confederations-cup,1.3,2,2,1.29,1,0.58,0.29,1,2017
soccer,africa,caf-confederations-cup,1.4,10,8,1.356,0.8,0.78,0.078,0.2191,2017
soccer,africa,caf-confederations-cup,1.5,16,14,1.4388,0.875,4.14,0.2588,0.5897,2017
soccer,africa,caf-confederations-cup,1.2,6,6,1.1633,1,0.98,0.1633,1,2016
soccer,africa,caf-confederations-cup,1.3,2,2,1.24,1,0.48,0.24,1,2016
soccer,africa,caf-confederations-cup,1.4,14,12,1.3614,0.8571,2.44,0.1743,0.4822,2016
soccer,africa,caf-confederations-cup,1.5,10,4,1.458,0.4,-4.08,-0.408,-0.8908,2016
soccer,africa,caf-confederations-cup,1.2,1,1,1.19,1,0.19,0.19,1,2015
soccer,africa,caf-confederations-cup,1.3,2,2,1.265,1,0.53,0.265,1,2015
soccer,africa,caf-confederations-cup,1.4,3,1,1.3367,0.3333,-1.67,-0.5567,-1.6535,2015
soccer,africa,caf-confederations-cup,1.5,7,6,1.4614,0.8571,1.73,0.2471,0.5356,2015
soccer,africa,caf-confederations-cup,1.4,12,10,1.3767,0.8333,1.72,0.1433,0.3805,2014
soccer,africa,caf-confederations-cup,1.5,8,4,1.4725,0.5,-2.14,-0.2675,-0.5661,2014
soccer,africa,caf-confederations-cup,1.2,1,1,1.2,1,0.2,0.2,1,2013
soccer,africa,caf-confederations-cup,1.3,2,2,1.255,1,0.51,0.255,1,2013
soccer,africa,caf-confederations-cup,1.4,6,3,1.36,0.5,-1.87,-0.3117,-0.8657,2013
soccer,africa,caf-confederations-cup,1.5,1,1,1.46,1,0.46,0.46,1,2013
soccer,africa,caf-confederations-cup,1.2,2,2,1.145,1,0.29,0.145,1,2012
soccer,africa,caf-confederations-cup,1.4,6,4,1.3667,0.6667,-0.52,-0.0867,-0.2364,2012
soccer,africa,caf-confederations-cup,1.5,6,3,1.45,0.5,-1.73,-0.2883,-0.6407,2012
soccer,africa,caf-confederations-cup,1.1,2,2,1.05,1,0.1,0.05,1,2011
soccer,africa,caf-confederations-cup,1.2,2,2,1.14,1,0.28,0.14,1,2011
soccer,africa,caf-confederations-cup,1.3,2,0,1.28,0,-2,-1,-3.5714,2011
soccer,africa,caf-confederations-cup,1.4,10,8,1.372,0.8,0.92,0.092,0.2473,2011
soccer,africa,caf-confederations-cup,1.5,12,8,1.4533,0.6667,-0.48,-0.04,-0.0882,2011
soccer,africa,caf-confederations-cup,1.4,3,3,1.3567,1,1.07,0.3567,1,2010
soccer,africa,caf-confederations-cup,1.5,4,3,1.4425,0.75,0.28,0.07,0.1582,2010
soccer,africa,cecafa-championship,1.1,2,2,1.065,1,0.13,0.065,1,2015
soccer,africa,cecafa-championship,1.2,3,3,1.12,1,0.36,0.12,1,2015
soccer,africa,cecafa-championship,1.5,1,1,1.49,1,0.49,0.49,1,2015
soccer,africa,cecafa-clubs-cup,1.3,2,2,1.27,1,0.54,0.27,1,2015
soccer,africa,cecafa-clubs-cup,1.4,1,1,1.36,1,0.36,0.36,1,2015
soccer,africa,cecafa-clubs-cup,1.5,3,3,1.4667,1,1.4,0.4667,1,2015
soccer,africa,cosafa-cup,1.2,1,1,1.11,1,0.11,0.11,1,2017
soccer,africa,cosafa-cup,1.4,1,1,1.33,1,0.33,0.33,1,2017
soccer,africa,cosafa-cup,1.5,3,3,1.47,1,1.41,0.47,1,2017
soccer,africa,cosafa-cup,1.2,1,1,1.17,1,0.17,0.17,1,2016
soccer,africa,cosafa-cup,1.3,1,1,1.22,1,0.22,0.22,1,2016
soccer,africa,cosafa-cup,1.4,2,1,1.365,0.5,-0.64,-0.32,-0.8767,2016
soccer,africa,cosafa-cup,1.3,1,0,1.29,0,-1,-1,-3.4483,2015
soccer,africa,cosafa-cup,1.4,2,2,1.39,1,0.78,0.39,1,2015
soccer,africa,cosafa-cup,1.5,2,0,1.415,0,-2,-1,-2.4096,2015
soccer,africa,nile-basin-cup,1.2,2,2,1.125,1,0.25,0.125,1,2011
soccer,africa,nile-basin-cup,1.3,1,1,1.23,1,0.23,0.23,1,2011
soccer,albania,albanian-cup,1.5,2,2,1.435,1,0.87,0.435,1,2016
soccer,albania,albanian-cup,1.3,1,1,1.22,1,0.22,0.22,1,2015
soccer,albania,albanian-cup,1.4,3,3,1.3767,1,1.13,0.3767,1,2015
soccer,albania,albanian-cup,1.2,2,0,1.16,0,-2,-1,-6.25,2014
soccer,albania,albanian-cup,1.4,3,3,1.3467,1,1.04,0.3467,1,2014
soccer,albania,albanian-cup,1.5,1,1,1.44,1,0.44,0.44,1,2013
soccer,albania,albanian-cup,1.2,3,3,1.1633,1,0.49,0.1633,1,2012
soccer,albania,albanian-cup,1.3,1,1,1.3,1,0.3,0.3,1,2012
soccer,albania,albanian-cup,1.4,5,4,1.378,0.8,0.52,0.104,0.2751,2012
soccer,albania,albanian-cup,1.5,3,2,1.4533,0.6667,-0.14,-0.0467,-0.1029,2012
soccer,albania,albanian-cup,1.2,4,4,1.125,1,0.5,0.125,1,2011
soccer,albania,albanian-cup,1.3,10,8,1.256,0.8,0.12,0.012,0.0469,2011
soccer,albania,albanian-cup,1.4,18,14,1.3656,0.7778,1.18,0.0656,0.1793,2011
soccer,albania,albanian-cup,1.5,14,8,1.4557,0.5714,-2.36,-0.1686,-0.3699,2011
soccer,albania,super-cup,1.5,1,0,1.5,0,-1,-1,-2,2013
soccer,albania,super-league,1.1,2,2,1.09,1,0.18,0.09,1,2016
soccer,albania,super-league,1.2,2,2,1.19,1,0.38,0.19,1,2016
soccer,albania,super-league,1.3,2,0,1.22,0,-2,-1,-4.5455,2016
soccer,albania,super-league,1.4,2,2,1.32,1,0.64,0.32,1,2016
soccer,albania,super-league,1.5,4,4,1.445,1,1.78,0.445,1,2016
soccer,albania,super-league,1.2,2,2,1.11,1,0.22,0.11,1,2015
soccer,albania,super-league,1.3,6,4,1.2367,0.6667,-1.08,-0.18,-0.7606,2015
soccer,albania,super-league,1.4,6,2,1.3567,0.3333,-3.24,-0.54,-1.514,2015
soccer,albania,super-league,1.1,2,2,1.09,1,0.18,0.09,1,2014
soccer,albania,super-league,1.2,4,4,1.175,1,0.7,0.175,1,2014
soccer,albania,super-league,1.4,4,2,1.38,0.5,-1.26,-0.315,-0.8289,2014
soccer,albania,super-league,1.5,4,4,1.45,1,1.8,0.45,1,2014
soccer,albania,super-league,1.3,3,3,1.2467,1,0.74,0.2467,1,2013
soccer,albania,super-league,1.2,3,3,1.17,1,0.51,0.17,1,2012
soccer,albania,super-league,1.3,18,15,1.245,0.8333,0.54,0.03,0.1224,2012
soccer,albania,super-league,1.4,9,6,1.4,0.6667,-0.6,-0.0667,-0.1667,2012
soccer,albania,super-league,1.5,9,6,1.44,0.6667,-0.36,-0.04,-0.0909,2012
soccer,albania,super-league,1.1,3,3,1.1,1,0.3,0.1,1,2011
soccer,albania,super-league,1.2,12,9,1.1675,0.75,-1.53,-0.1275,-0.7612,2011
soccer,albania,super-league,1.3,6,3,1.245,0.5,-2.34,-0.39,-1.5918,2011
soccer,albania,super-league,1.4,12,12,1.345,1,4.14,0.345,1,2011
soccer,albania,super-league,1.5,9,9,1.44,1,3.96,0.44,1,2011
soccer,albania,super-league,1.1,16,16,1.075,1,1.2,0.075,1,2010
soccer,albania,super-league,1.2,21,15,1.1657,0.7143,-3.54,-0.1686,-1.0172,2007
soccer,albania,super-league,1.3,16,12,1.2825,0.75,-0.68,-0.0425,-0.1504,2010
soccer,albania,super-league,1.4,8,4,1.35,0.5,-2.56,-0.32,-0.9143,2010
soccer,albania,super-league,1.2,40,40,1.15,1,6,0.15,1,2010
soccer,albania,super-league,1.2,4,4,1.14,1,0.56,0.14,1,2009
soccer,albania,super-league,1.3,4,4,1.21,1,0.84,0.21,1,2009
soccer,albania,super-league,1.4,12,8,1.3667,0.6667,-1,-0.0833,-0.2273,2009
soccer,albania,super-league,1.5,20,16,1.438,0.8,2.76,0.138,0.3151,2009
soccer,albania,super-league,1.2,12,6,1.1675,0.5,-5.01,-0.4175,-2.4925,2008
soccer,albania,super-league,1.3,3,3,1.3,1,0.9,0.3,1,2008
soccer,albania,super-league,1.4,15,12,1.36,0.8,1.38,0.092,0.2556,2008
soccer,albania,super-league,1.5,9,3,1.46,0.3333,-4.56,-0.5067,-1.1014,2008
soccer,albania,super-league,1.1,9,9,1.09,1,0.81,0.09,1,2007
soccer,albania,super-league,1.5,28,12,1.4586,0.4286,-10.32,-0.3686,-0.8037,2010
soccer,albania,super-league,1.3,9,6,1.2667,0.6667,-1.5,-0.1667,-0.625,2007
soccer,albania,super-league,1.4,6,3,1.375,0.5,-1.8,-0.3,-0.8,2007
soccer,albania,super-league,1.5,3,3,1.5,1,1.5,0.5,1,2007
soccer,albania,super-league,1.2,15,9,1.16,0.6,-4.62,-0.308,-1.925,2006
soccer,albania,super-league,1.3,6,3,1.3,0.5,-2.1,-0.35,-1.1667,2006
soccer,albania,super-league,1.4,12,12,1.4,1,4.8,0.4,1,2006
soccer,albania,super-league,1.5,12,6,1.49,0.5,-3.12,-0.26,-0.5306,2006
soccer,albania,super-league,1.1,2,1,1.1,0.5,-0.9,-0.45,-4.5,2005
soccer,albania,super-league,1.2,5,5,1.164,1,0.82,0.164,1,2005
soccer,albania,super-league,1.3,2,1,1.285,0.5,-0.7,-0.35,-1.2281,2005
soccer,albania,super-league,1.4,5,3,1.378,0.6,-0.86,-0.172,-0.455,2005
soccer,albania,super-league,1.5,10,7,1.467,0.7,0.27,0.027,0.0578,2005
soccer,algeria,algeria-cup,1.1,5,5,1.07,1,0.35,0.07,1,2016
soccer,algeria,algeria-cup,1.2,8,8,1.1588,1,1.27,0.1588,1,2016
soccer,algeria,algeria-cup,1.3,2,1,1.23,0.5,-0.76,-0.38,-1.6522,2016
soccer,algeria,algeria-cup,1.4,6,3,1.36,0.5,-1.91,-0.3183,-0.8843,2016
soccer,algeria,algeria-cup,1.5,2,0,1.44,0,-2,-1,-2.2727,2016
soccer,algeria,algeria-cup,1.1,6,6,1.08,1,0.48,0.08,1,2015
soccer,algeria,algeria-cup,1.2,12,6,1.1617,0.5,-4.94,-0.4117,-2.5464,2015
soccer,algeria,algeria-cup,1.3,4,4,1.26,1,1.04,0.26,1,2015
soccer,algeria,algeria-cup,1.4,2,2,1.39,1,0.78,0.39,1,2015
soccer,algeria,algeria-cup,1.5,8,2,1.4625,0.25,-5.08,-0.635,-1.373,2015
soccer,algeria,algeria-cup,1.1,2,2,1.095,1,0.19,0.095,1,2014
soccer,algeria,algeria-cup,1.3,2,2,1.25,1,0.5,0.25,1,2014
soccer,algeria,algeria-cup,1.4,2,1,1.395,0.5,-0.61,-0.305,-0.7722,2014
soccer,algeria,algeria-cup,1.5,1,1,1.5,1,0.5,0.5,1,2014
soccer,algeria,algeria-cup,1.4,1,0,1.4,0,-1,-1,-2.5,2013
soccer,algeria,algeria-cup,1.5,2,2,1.435,1,0.87,0.435,1,2013
soccer,algeria,algeria-cup,1.4,1,1,1.36,1,0.36,0.36,1,2012
soccer,algeria,algeria-cup,1.5,1,1,1.48,1,0.48,0.48,1,2012
soccer,algeria,division-1,1.2,10,10,1.16,1,1.6,0.16,1,2016
soccer,algeria,division-1,1.3,10,10,1.27,1,2.7,0.27,1,2016
soccer,algeria,division-1,1.4,10,5,1.365,0.5,-3.05,-0.305,-0.8356,2016
soccer,algeria,division-1,1.4,25,25,1.35,1,8.75,0.35,1,2013
soccer,algeria,division-1,1.2,5,5,1.13,1,0.65,0.13,1,2015
soccer,algeria,division-1,1.3,20,15,1.245,0.75,-1.55,-0.0775,-0.3163,2015
soccer,algeria,division-1,1.4,15,15,1.38,1,5.7,0.38,1,2015
soccer,algeria,division-1,1.5,10,10,1.48,1,4.8,0.48,1,2015
soccer,algeria,division-1,1.5,40,35,1.4838,0.875,12,0.3,0.6202,2014
soccer,algeria,division-1,1.5,30,30,1.4633,1,13.9,0.4633,1,2016
soccer,algeria,division-1,1.4,10,10,1.385,1,3.85,0.385,1,2012
soccer,algeria,division-1,1.3,5,0,1.23,0,-5,-1,-4.3478,2011
soccer,algeria,division-1,1.4,10,10,1.35,1,3.5,0.35,1,2011
soccer,algeria,division-1,1.5,10,5,1.47,0.5,-2.5,-0.25,-0.5319,2011
soccer,algeria,division-1,1.2,2,2,1.16,1,0.32,0.16,1,2010
soccer,algeria,division-1,1.3,2,2,1.25,1,0.5,0.25,1,2010
soccer,algeria,division-1,1.4,2,2,1.37,1,0.74,0.37,1,2010
soccer,algeria,division-1,1.5,14,12,1.4329,0.8571,3.14,0.2243,0.5182,2010
soccer,andorra,andorra-cup,1.5,1,0,1.5,0,-1,-1,-2,2016
soccer,andorra,primera-divisio,1.1,10,8,1.031,0.8,-1.74,-0.174,-5.6129,2011
soccer,andorra,primera-divisio,1.2,3,2,1.18,0.6667,-0.6,-0.2,-1.1111,2011
soccer,andorra,primera-divisio,1.4,3,3,1.3333,1,1,0.3333,1,2011
soccer,argentina,copa-argentina,1.2,3,2,1.1667,0.6667,-0.62,-0.2067,-1.24,2017
soccer,argentina,copa-argentina,1.3,4,4,1.235,1,0.94,0.235,1,2017
soccer,argentina,copa-argentina,1.4,1,0,1.35,0,-1,-1,-2.8571,2017
soccer,argentina,copa-argentina,1.5,3,0,1.46,0,-3,-1,-2.1739,2017
soccer,argentina,copa-argentina,1.1,6,4,1.0767,0.6667,-1.7,-0.2833,-3.6957,2016
soccer,argentina,copa-argentina,1.2,6,6,1.17,1,1.02,0.17,1,2016
soccer,argentina,copa-argentina,1.3,4,4,1.235,1,0.94,0.235,1,2016
soccer,argentina,copa-argentina,1.4,2,2,1.4,1,0.8,0.4,1,2016
soccer,argentina,copa-argentina,1.5,6,2,1.4367,0.3333,-3.16,-0.5267,-1.2061,2016
soccer,argentina,copa-argentina,1.1,4,4,1.07,1,0.28,0.07,1,2014
soccer,argentina,copa-argentina,1.2,4,4,1.14,1,0.56,0.14,1,2014
soccer,argentina,copa-argentina,1.3,4,4,1.245,1,0.98,0.245,1,2014
soccer,argentina,copa-argentina,1.4,6,4,1.3233,0.6667,-0.7,-0.1167,-0.3608,2014
soccer,argentina,copa-argentina,1.5,4,2,1.5,0.5,-1,-0.25,-0.5,2014
soccer,argentina,copa-argentina,1.3,3,1,1.2467,0.3333,-1.77,-0.59,-2.3919,2013
soccer,argentina,copa-argentina,1.4,2,2,1.37,1,0.74,0.37,1,2013
soccer,argentina,copa-argentina,1.5,1,0,1.47,0,-1,-1,-2.1277,2013
soccer,argentina,copa-argentina,1.3,16,6,1.2788,0.375,-8.46,-0.5288,-1.8969,2012
soccer,argentina,copa-argentina,1.4,14,6,1.37,0.4286,-5.82,-0.4157,-1.1236,2012
soccer,argentina,copa-argentina,1.5,12,6,1.475,0.5,-3.1,-0.2583,-0.5439,2012
soccer,argentina,copa-argentina,1.2,4,2,1.165,0.5,-1.74,-0.435,-2.6364,2011
soccer,argentina,copa-argentina,1.3,14,14,1.2657,1,3.72,0.2657,1,2011
soccer,argentina,copa-argentina,1.4,12,4,1.3783,0.3333,-6.58,-0.5483,-1.4493,2011
soccer,argentina,copa-argentina,1.5,10,4,1.436,0.4,-4.3,-0.43,-0.9862,2011
soccer,argentina,primera-b-metropolitana,1.4,4,0,1.4,0,-4,-1,-2.5,2016
soccer,argentina,primera-b-metropolitana,1.5,8,0,1.48,0,-8,-1,-2.0833,2016
soccer,argentina,primera-b-metropolitana,1.5,18,18,1.46,1,8.28,0.46,1,2015
soccer,argentina,primera-b-metropolitana,1.3,5,0,1.29,0,-5,-1,-3.4483,2014
soccer,argentina,primera-b-metropolitana,1.4,5,5,1.4,1,2,0.4,1,2014
soccer,argentina,primera-b-metropolitana,1.5,25,10,1.484,0.4,-10.05,-0.402,-0.8306,2014
soccer,argentina,primera-b-metropolitana,1.5,8,0,1.48,0,-8,-1,-2.0833,2013
soccer,argentina,primera-b-metropolitana,1.4,1,0,1.4,0,-1,-1,-2.5,2009
soccer,argentina,primera-b-metropolitana,1.5,1,1,1.42,1,0.42,0.42,1,2008
soccer,argentina,primera-b-nacional,1.3,11,11,1.28,1,3.08,0.28,1,2016
soccer,argentina,primera-b-nacional,1.3,30,10,1.2667,0.3333,-17.1,-0.57,-2.1375,2013
soccer,argentina,primera-b-nacional,1.4,32,24,1.3725,0.75,0.8,0.025,0.0671,2011
soccer,argentina,primera-b-nacional,1.4,20,20,1.37,1,7.4,0.37,1,2015
soccer,argentina,primera-b-nacional,1.5,20,10,1.435,0.5,-5.6,-0.28,-0.6437,2015
soccer,argentina,primera-b-nacional,1.3,5,5,1.28,1,1.4,0.28,1,2014
soccer,argentina,primera-b-nacional,1.4,10,5,1.35,0.5,-3.4,-0.34,-0.9714,2014
soccer,argentina,primera-b-nacional,1.2,10,10,1.18,1,1.8,0.18,1,2013
soccer,argentina,primera-b-nacional,1.4,44,11,1.3725,0.25,-28.82,-0.655,-1.7584,2016
soccer,argentina,primera-b-nacional,1.5,10,10,1.49,1,4.9,0.49,1,2013
soccer,argentina,primera-b-nacional,1.3,16,16,1.3,1,4.8,0.3,1,2012
soccer,argentina,primera-b-nacional,1.3,16,8,1.265,0.5,-5.84,-0.365,-1.3774,2011
soccer,argentina,primera-b-nacional,1.5,40,24,1.468,0.6,-4.56,-0.114,-0.2436,2009
soccer,argentina,primera-b-nacional,1.5,8,0,1.41,0,-8,-1,-2.439,2011
soccer,argentina,primera-b-nacional,1.5,24,8,1.4467,0.3333,-12.32,-0.5133,-1.1493,2010
soccer,argentina,primera-b-nacional,1.4,16,8,1.35,0.5,-5.12,-0.32,-0.9143,2009
soccer,argentina,primera-b-nacional,1.5,43,16,1.4316,0.3721,-19.73,-0.4588,-1.063,2016
soccer,argentina,primera-b-nacional,1.5,4,2,1.455,0.5,-1.16,-0.29,-0.6374,2008
soccer,argentina,primera-c-metropolitana,1.4,11,11,1.4,1,4.4,0.4,1,2016
soccer,argentina,primera-c-metropolitana,1.5,14,6,1.4521,0.4286,-5.27,-0.3764,-0.8325,2016
soccer,argentina,primera-c-metropolitana,1.5,2,1,1.485,0.5,-0.53,-0.265,-0.5464,2014
soccer,argentina,primera-division,1.3,28,14,1.2625,0.5,-10.36,-0.37,-1.4095,2004
soccer,argentina,primera-d-metropolitana,1.5,5,5,1.48,1,2.4,0.48,1,2016
soccer,argentina,primera-d-metropolitana,1.5,2,2,1.44,1,0.88,0.44,1,2015
soccer,argentina,primera-d-metropolitana,1.4,1,1,1.4,1,0.4,0.4,1,2013
