Sport,Country,League,Category,Total games,Succeful,Avg. Odd,Success rate,Total win,Win per game,Money Usage Rate,Season
soccer,africa,africa-cup-of-nations-u20,1.1,1,1,1.1,1,0.1,0.1,1,2017
soccer,africa,africa-cup-of-nations-u20,1.3,8,6,1.2738,0.75,-0.34,-0.0425,-0.1553,2017
soccer,africa,africa-cup-of-nations-u20,1.4,2,2,1.37,1,0.74,0.37,1,2017
soccer,africa,africa-cup-of-nations-u20,1.5,1,0,1.49,0,-1,-1,-2.0408,2017
soccer,africa,africa-cup-of-nations-u20,1.5,4,3,1.47,0.75,0.38,0.095,0.2021,2015
soccer,africa,africa-cup-of-nations-u20,1.3,1,0,1.22,0,-1,-1,-4.5455,2013
soccer,africa,africa-cup-of-nations-u23,1.4,1,0,1.32,0,-1,-1,-3.125,2015
soccer,africa,africa-cup-of-nations,1.2,2,2,1.15,1,0.3,0.15,1,2019
soccer,africa,africa-cup-of-nations,1.3,3,3,1.25,1,0.75,0.25,1,2019
soccer,africa,africa-cup-of-nations,1.4,3,3,1.3667,1,1.1,0.3667,1,2019
soccer,africa,africa-cup-of-nations,1.5,2,1,1.415,0.5,-0.59,-0.295,-0.7108,2019
soccer,africa,africa-cup-of-nations,1.1,12,12,1.0133,1,0.16,0.0133,1,2017
soccer,africa,africa-cup-of-nations,1.2,20,16,1.158,0.8,-1.44,-0.072,-0.4557,2017
soccer,africa,africa-cup-of-nations,1.3,4,0,1.28,0,-4,-1,-3.5714,2017
soccer,africa,africa-cup-of-nations,1.4,12,8,1.3667,0.6667,-1.16,-0.0967,-0.2636,2017
soccer,africa,africa-cup-of-nations,1.5,20,8,1.448,0.4,-8.32,-0.416,-0.9286,2017
soccer,africa,africa-cup-of-nations,1.2,8,8,1.2,1,1.6,0.2,1,2015
soccer,africa,africa-cup-of-nations,1.3,8,8,1.23,1,1.84,0.23,1,2015
soccer,africa,africa-cup-of-nations,1.4,8,8,1.33,1,2.64,0.33,1,2015
soccer,africa,africa-cup-of-nations,1.5,8,0,1.46,0,-8,-1,-2.1739,2015
soccer,africa,africa-cup-of-nations,1.2,4,4,1.17,1,0.68,0.17,1,2013
soccer,africa,africa-cup-of-nations,1.3,8,6,1.2675,0.75,-0.44,-0.055,-0.2056,2013
soccer,africa,africa-cup-of-nations,1.4,6,6,1.37,1,2.22,0.37,1,2013
soccer,africa,africa-cup-of-nations,1.5,6,6,1.49,1,2.94,0.49,1,2013
soccer,africa,africa-cup-of-nations,1.2,16,16,1.17,1,2.72,0.17,1,2012
soccer,africa,africa-cup-of-nations,1.3,12,8,1.2767,0.6667,-1.8,-0.15,-0.5422,2012
soccer,africa,africa-cup-of-nations,1.4,24,16,1.3517,0.6667,-2.56,-0.1067,-0.3033,2012
soccer,africa,africa-cup-of-nations,1.5,20,20,1.454,1,9.08,0.454,1,2012
soccer,africa,africa-cup-of-nations,1.3,1,0,1.28,0,-1,-1,-3.5714,2010
soccer,africa,africa-cup-of-nations,1.4,2,2,1.39,1,0.78,0.39,1,2010
soccer,africa,africa-cup-of-nations,1.5,1,0,1.49,0,-1,-1,-2.0408,2010
soccer,africa,africa-cup-of-nations,1.1,1,1,1.1,1,0.1,0.1,1,2008
soccer,africa,africa-cup-of-nations,1.3,1,1,1.21,1,0.21,0.21,1,2008
soccer,africa,africa-cup-of-nations,1.4,1,1,1.37,1,0.37,0.37,1,2008
soccer,africa,africa-cup-of-nations,1.5,1,0,1.48,0,-1,-1,-2.0833,2008
soccer,africa,african-championship-women,1.1,3,3,1.04,1,0.12,0.04,1,2016
soccer,africa,african-championship-women,1.2,3,1,1.1667,0.3333,-1.81,-0.6033,-3.62,2016
soccer,africa,african-championship-women,1.3,3,3,1.2333,1,0.7,0.2333,1,2016
soccer,africa,african-championship-women,1.4,2,2,1.39,1,0.78,0.39,1,2016
soccer,africa,african-championship-women,1.5,2,1,1.47,0.5,-0.5,-0.25,-0.5319,2016
soccer,africa,african-championship-women,1.1,1,0,1.02,0,-1,-1,-50,2014
soccer,africa,african-championship-women,1.2,1,1,1.18,1,0.18,0.18,1,2014
soccer,africa,african-championship-women,1.3,2,1,1.255,0.5,-0.76,-0.38,-1.4902,2014
soccer,africa,african-championship-women,1.4,1,1,1.4,1,0.4,0.4,1,2014
soccer,africa,african-championship-women,1.5,2,2,1.445,1,0.89,0.445,1,2014
soccer,africa,african-championship-women,1.3,1,1,1.25,1,0.25,0.25,1,2012
soccer,africa,african-championship-women,1.5,1,1,1.5,1,0.5,0.5,1,2012
soccer,africa,african-nations-championship,1.2,2,2,1.16,1,0.32,0.16,1,2016
soccer,africa,african-nations-championship,1.3,2,2,1.27,1,0.54,0.27,1,2016
soccer,africa,african-nations-championship,1.4,6,2,1.36,0.3333,-3.28,-0.5467,-1.5185,2016
soccer,africa,african-nations-championship,1.5,2,2,1.46,1,0.92,0.46,1,2016
soccer,africa,african-nations-championship,1.3,4,4,1.255,1,1.02,0.255,1,2014
soccer,africa,african-nations-championship,1.5,2,1,1.495,0.5,-0.51,-0.255,-0.5152,2014
soccer,africa,african-nations-championship,1.4,1,1,1.4,1,0.4,0.4,1,2011
soccer,africa,african-nations-championship,1.5,2,2,1.46,1,0.92,0.46,1,2011
soccer,africa,caf-african-championship-u17,1.2,1,1,1.17,1,0.17,0.17,1,2017
soccer,africa,caf-african-championship-u17,1.3,2,1,1.255,0.5,-0.79,-0.395,-1.549,2017
soccer,africa,caf-african-championship-u17,1.4,2,0,1.325,0,-2,-1,-3.0769,2017
soccer,africa,caf-african-championship-u17,1.5,1,0,1.49,0,-1,-1,-2.0408,2017
soccer,africa,caf-african-championship-u17,1.3,1,1,1.22,1,0.22,0.22,1,2013
soccer,africa,caf-african-championship-u17,1.4,1,0,1.37,0,-1,-1,-2.7027,2013
soccer,africa,caf-champions-league,1.1,2,2,1.1,1,0.2,0.1,1,2017
soccer,africa,caf-champions-league,1.2,12,8,1.1633,0.6667,-2.72,-0.2267,-1.3878,2017
soccer,africa,caf-champions-league,1.3,8,6,1.2275,0.75,-0.6,-0.075,-0.3297,2017
soccer,africa,caf-champions-league,1.4,6,2,1.38,0.3333,-3.3,-0.55,-1.4474,2017
soccer,africa,caf-champions-league,1.5,4,2,1.46,0.5,-1.08,-0.27,-0.587,2017
soccer,africa,caf-champions-league,1.2,4,4,1.18,1,0.72,0.18,1,2016
soccer,africa,caf-champions-league,1.3,4,0,1.28,0,-4,-1,-3.5714,2016
soccer,africa,caf-champions-league,1.4,16,16,1.3725,1,5.96,0.3725,1,2016
soccer,africa,caf-champions-league,1.5,10,6,1.464,0.6,-1.14,-0.114,-0.2457,2016
