Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
basketball,qatar,qbl,1.4,44,11,5.5,1.3541,0.4881,-3.7,-0.3534,-0.8824,4,1,-1,0.31,-2.631578947,1
handball,world,world-championship-u21,1.5,42,14,7,1.4525,0.5,-3.84,-0.2721,-0.6044,3,0,-0.2825,-0.26,-0.6686390533,-0.5360824742
hockey,kazakhstan,championship,1.4,48,16,11.66666667,1.3558,0.5,-0.11,-0.3208,-0.9333,3,1,-1,0.3675,-2.857142857,1
hockey,sweden,division-1-d,1.5,45,9,4.8,1.4593,0.4867,-1.992,-0.2903,-0.6314,5,1,-1,0.46,-2.127659574,1
hockey,ukraine,extra-league,1.4,45,11.25,6,1.3501,0.5,-3.095,-0.3244,-0.9537,4,1,-1,0.3333333333,-3.125,1
hockey,usa,echl,1.5,40,13.33333333,9,1.4733,0.5,-0.31,-0.2767,-0.5263,3,1,-1,0.445,-2,1
soccer,brazil,campeonato-gaucho,1.4,44,8.8,4.6,1.3509,0.4867,-2.55,-0.3401,-0.9667,5,0,-0.5566666667,-0.1033333333,-1.621359223,-0.3069306931
soccer,finland,kakkonen-group-a,1.5,42,14,8.666666667,1.4594,0.5,-1.226666667,-0.2644,-0.6093,3,1,-1,0.22,-2.272727273,0.4731182796
soccer,finland,kakkonen-south,1.5,45,11.25,6,1.4792,0.4083,-2.4825,-0.4018,-0.8042,4,1,-1,0.166,-2,0.3688888889
soccer,greece,division-c-group-d,1.4,49,12.25,6.25,1.3531,0.4935,-3.86,-0.3403,-0.8988,4,1,-1,0.33,-2.631578947,1
soccer,greece,football-league-group-2,1.4,41,20.5,7,1.3448,0.325,-11.13,-0.5663,-1.6497,2,0,-0.6725,-0.46,-1.992592593,-1.306818182
soccer,italy,lega-pro-group-b,1.4,49,16.33333333,11,1.3667,0.5,-1.113333333,-0.31,-0.9161,3,1,-1,0.4,-2.777777778,1
soccer,finland,kakkonen-group-c,1.5,50,16.66666667,8.333333333,1.4625,0.5,-4.326666667,-0.2599,-0.5619,3,0,-0.2733333333,-0.25,-0.5942028986,-0.5434782609
soccer,malaysia,premier-league,1.5,57,9.5,5.5,1.4606,0.5,-1.455,-0.2639,-0.5943,6,2,-1,0.5,-2.222222222,1
soccer,israel,leumit-league,1.5,120,15,9.75,1.4617,0.5,-0.8025,-0.2688,-0.5779,8,3,-1,0.5,-2.380952381,1
basketball,europe,eurocup-women,1.5,102,20.4,9.6,1.4669,0.4962,-6.33,-0.2709,-0.5846,5,2,-0.569,0.188,-1.281531532,0.3884297521
basketball,slovakia,extraliga,1.5,290,32.22222222,18.44444444,1.4522,0.4994,-5.476666667,-0.2754,-0.6135,9,3,-1,0.3,-2.325581395,0.6741573034
handball,russia,superleague,1.5,99,16.5,7.333333333,1.4607,0.4958,-5.821666667,-0.2779,-0.5873,6,1,-0.704,0.45,-1.436734694,1
soccer,spain,segunda-division-b-group-2,1.5,220,27.5,14.375,1.4536,0.4958,-6.655,-0.2788,-0.6149,8,2,-1,0.156,-2.197802198,0.3497757848
soccer,paraguay,primera-division,1.5,229,25.44444444,12.22222222,1.4555,0.4959,-7.67,-0.28,-0.6014,9,2,-1,0.455,-2.192982456,1
soccer,russia,division-2-east,1.5,78,13,7.333333333,1.4477,0.487,-2.321666667,-0.2911,-0.6829,6,1,-1,0.178,-2.43902439,0.3836206897
