Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly
american-football,austria,afl,1.30,47,1.0766,0.8936,-0.0511,-0.4953
american-football,canada,cfl,1.30,160,1.2098,0.8250,-0.0038,-0.0093
american-football,canada,cfl,1.50,208,1.4047,0.6538,-0.0887,-0.2016
american-football,usa,ncaa,1.30,737,1.1804,0.8141,-0.0433,-0.2162
american-football,usa,nfl,1.30,740,1.1979,0.8230,-0.0182,-0.0715
american-football,usa,nfl,1.50,654,1.4030,0.6942,-0.0302,-0.0647
baseball,cuba,serie-nacional,1.50,121,1.4645,0.5455,-0.2009,-0.4330
baseball,italy,ibl,1.50,81,1.4447,0.5926,-0.1447,-0.3236
baseball,japan,npb,1.30,88,1.2650,0.7500,-0.0488,-0.1934
baseball,japan,npb,1.50,1001,1.4274,0.6813,-0.0281,-0.0644
baseball,netherlands,hoofdklasse,1.30,201,1.1471,0.7662,-0.1200,-0.8238
baseball,netherlands,hoofdklasse,1.50,178,1.4266,0.6461,-0.0779,-0.1836
baseball,south-korea,kbo,1.50,284,1.4280,0.6162,-0.1311,-0.2805
baseball,taiwan,cpbl,1.50,27,1.4207,0.7037,0.0030,-0.0005
baseball,usa,il,1.50,221,1.4708,0.6018,-0.1090,-0.2439
baseball,usa,pcl,1.50,233,1.4560,0.4635,-0.3267,-0.7130
baseball,world,world-baseball-classic,1.50,45,1.3827,0.6000,-0.1662,-0.4453
basketball,africa,african-championship,1.30,89,1.0904,0.7865,-0.1580,-1.5737
basketball,argentina,liga-a,1.30,1118,1.2111,0.7657,-0.0754,-0.3444
basketball,argentina,liga-a,1.50,1089,1.4036,0.7117,-0.0023,-0.0028
basketball,asia,abl,1.30,153,1.1320,0.8431,-0.0471,-0.3456
basketball,asia,abl,1.50,63,1.4216,0.5397,-0.2348,-0.5522
basketball,asia,asia-challenge,1.30,32,1.1225,0.8750,-0.0300,-0.1454
basketball,asia,asia-championship-u18,1.30,52,1.1327,0.7308,-0.1802,-1.2982
basketball,asia,asia-cup-women,1.30,23,1.0848,0.7826,-0.1696,-1.7815
basketball,asia,asia-cup,1.50,32,1.4191,0.6250,-0.1191,-0.2699
basketball,asia,asian-games,1.30,35,1.1134,0.8000,-0.1140,-0.9632
basketball,australia,nbl,1.30,339,1.1998,0.8319,-0.0060,-0.0096
basketball,australia,nbl,1.50,309,1.4060,0.6990,-0.0173,-0.0422
basketball,australia,seabl-women,1.30,137,1.1536,0.7153,-0.1863,-1.1374
basketball,australia,seabl-women,1.50,62,1.4263,0.6290,-0.1024,-0.2412
