Sport,Country,League Name,Margin,Total Records,Records Per Season,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Number Of Seasons,No Of Positive Seasons,Money Low,Money High,Rate Low,Rate High
baseball,mexico,lmb,1.50,22,11,11,1.4750,1.0000,5.225,0.4750,1.0000,2,2,0.45,0.5,1,1
basketball,argentina,liga-a,1.30,22,11,11,1.2250,1.0000,2.475,0.2250,1.0000,2,2,0.21,0.24,0.999999999999999,1
basketball,argentina,liga-a,1.50,32,16,16,1.4750,1.0000,7.6,0.4750,1.0000,2,2,0.47,0.48,0.999999999999999,1
basketball,austria,abl,1.20,50,7.14285714285714,7.14285714285714,1.1486,1.0000,1.05142857142857,0.1486,1.0000,7,7,0.11,0.18,0.999999999999998,1
basketball,china,wcba-women,1.30,21,7,7,1.2617,1.0000,1.88333333333333,0.2617,1.0000,3,3,0.21,0.3,1,1
basketball,czech-republic,nbl,1.20,54,13.5,13.5,1.1513,1.0000,2.0175,0.1513,1.0000,4,4,0.125,0.18,0.999999999999999,1
basketball,estonia,korvpalli-meistriliiga,1.20,50,7.14285714285714,7.14285714285714,1.1513,1.0000,1.07142857142857,0.1513,1.0000,7,7,0.11,0.18,1,1
basketball,europe,aba-league,1.20,24,4.8,4.8,1.1540,1.0000,0.752,0.1540,1.0000,5,5,0.11,0.19,1,1
basketball,france,pro-b,1.20,21,10.5,10.5,1.1350,1.0000,1.505,0.1350,1.0000,2,2,0.11,0.16,0.999999999999999,0.999999999999999
basketball,france,pro-b,1.30,21,7,7,1.2533,1.0000,1.77333333333333,0.2533,1.0000,3,3,0.22,0.28,1,1
basketball,greece,basket-league,1.20,69,8.625,8.625,1.1480,1.0000,1.30375,0.1480,1.0000,8,8,0.12,0.2,1,1
basketball,japan,b-league,1.20,44,44,44,1.1450,1.0000,6.38,0.1450,1.0000,1,1,0.145,0.145,0.999999999999997,0.999999999999997
basketball,japan,b-league,1.30,22,22,22,1.2750,1.0000,6.05,0.2750,1.0000,1,1,0.275,0.275,1,1
basketball,japan,nbl,1.30,30,10,10,1.2233,1.0000,2.19333333333333,0.2233,1.0000,3,3,0.21,0.23,0.999999999999998,0.999999999999999
basketball,philippines,philippine-cup,1.20,20,4,4,1.1483,1.0000,0.648,0.1483,1.0000,5,5,0.11,0.19,0.999999999999999,1
basketball,slovakia,extraliga,1.20,26,6.5,6.5,1.1458,1.0000,0.9875,0.1458,1.0000,4,4,0.11,0.19,0.999999999999999,1
basketball,spain,acb,1.20,63,15.75,15.75,1.1492,1.0000,2.3275,0.1492,1.0000,4,4,0.136666666666667,0.16,0.999999999999999,1
basketball,spain,leb-oro,1.30,31,6.2,6.2,1.2400,1.0000,1.508,0.2400,1.0000,5,5,0.21,0.3,1,1
basketball,ukraine,fbu-superleague,1.30,21,10.5,10.5,1.2450,1.0000,2.57,0.2450,1.0000,2,2,0.243333333333333,0.246666666666667,0.999999999999999,1
basketball,ukraine,superleague,1.30,43,10.75,10.75,1.2669,1.0000,2.89,0.2669,1.0000,4,4,0.24,0.29,0.999999999999999,1
basketball,usa,nba,1.20,33,16.5,16.5,1.1575,1.0000,2.64,0.1575,1.0000,2,2,0.15,0.165,0.999999999999998,0.999999999999998
basketball,usa,nba,1.50,66,16.5,16.5,1.4713,1.0000,7.7825,0.4713,1.0000,4,4,0.46,0.485,0.999999999999999,1
basketball,usa,ncaa,1.40,33,16.5,16.5,1.3550,1.0000,5.995,0.3550,1.0000,2,2,0.33,0.38,0.999999999999999,1
handball,croatia,premijer-liga,1.20,21,4.2,4.2,1.1513,1.0000,0.628,0.1513,1.0000,5,5,0.11,0.19,1,1
handball,europe,european-championship-u19-women,1.40,20,6.66666666666667,6.66666666666667,1.3500,1.0000,2.36,0.3500,1.0000,3,3,0.33,0.375,1,1
handball,europe,european-championship-u20,1.50,28,9.33333333333333,8.66666666666667,1.4412,0.9333,3.17666666666667,0.3425,0.7883,3,3,0.17,0.4475,0.364806866952789,1
handball,europe,whil-women,1.40,39,6.5,6.5,1.3614,1.0000,2.35333333333333,0.3614,1.0000,6,6,0.33,0.4,1,1
handball,france,division-1-women,1.30,32,4,4,1.2450,1.0000,1.01125,0.2450,1.0000,8,8,0.21,0.285,1,1
handball,germany,2-bundesliga,1.20,40,10,10,1.1575,1.0000,1.55,0.1575,1.0000,4,4,0.14,0.18,0.999999999999999,1
handball,poland,superliga,1.30,50,8.33333333333333,8.33333333333333,1.2638,1.0000,2.19833333333333,0.2638,1.0000,6,6,0.225,0.3,0.999999999999999,1
handball,russia,superleague-women,1.20,24,4,4,1.1533,1.0000,0.608333333333333,0.1533,1.0000,6,6,0.11,0.19,1,1
handball,russia,superleague,1.20,24,6,6,1.1450,1.0000,0.86,0.1450,1.0000,4,4,0.135,0.16,0.999999999999999,1
hockey,asia,asia-league,1.20,20,6.66666666666667,6.66666666666667,1.1589,1.0000,1.04,0.1589,1.0000,3,3,0.136666666666667,0.2,0.999999999999999,1
hockey,belarus,extraleague,1.30,54,13.5,13.5,1.2731,1.0000,3.6425,0.2731,1.0000,4,4,0.2625,0.28,0.999999999999998,1
hockey,canada,qmjhl,1.30,40,13.3333333333333,13.3333333333333,1.2467,1.0000,3.33333333333333,0.2467,1.0000,3,3,0.23,0.26,0.999999999999999,1
hockey,canada,qmjhl,1.40,33,33,33,1.3800,1.0000,12.54,0.3800,1.0000,1,1,0.38,0.38,1,1
hockey,canada,whl,1.30,22,11,11,1.2750,1.0000,3.025,0.2750,1.0000,2,2,0.25,0.3,0.999999999999999,1
hockey,canada,whl,1.40,22,22,22,1.3450,1.0000,7.59,0.3450,1.0000,1,1,0.345,0.345,1,1
hockey,finland,mestis,1.40,28,9.33333333333333,9.33333333333333,1.3733,1.0000,3.52333333333333,0.3733,1.0000,3,3,0.33,0.4,0.999999999999999,1
hockey,germany,oberliga-south,1.40,26,6.5,6.5,1.3750,1.0000,2.375,0.3750,1.0000,4,4,0.35,0.4,1,1
hockey,italy,serie-a,1.50,32,8,8,1.4367,1.0000,3.455,0.4367,1.0000,4,4,0.41,0.47,1,1
hockey,norway,get-ligaen,1.20,39,6.5,6.5,1.1608,1.0000,1.035,0.1608,1.0000,6,6,0.12,0.2,0.999999999999999,1
hockey,poland,polish-hockey-league,1.20,34,6.8,6.8,1.1567,1.0000,1.048,0.1567,1.0000,5,5,0.12,0.2,1,1
hockey,russia,mhl,1.40,22,11,11,1.3700,1.0000,4.07,0.3700,1.0000,2,2,0.37,0.37,0.999999999999999,0.999999999999999
hockey,slovakia,tipsport-liga,1.30,26,6.5,6.5,1.2663,1.0000,1.73,0.2663,1.0000,4,4,0.21,0.29,1,1
hockey,sweden,division-1-a,1.30,33,8.25,8.25,1.2509,1.0000,2.0625,0.2509,1.0000,4,4,0.2425,0.265,0.999999999999999,1
hockey,sweden,shl,1.50,24,8,8,1.4433,1.0000,3.54666666666667,0.4433,1.0000,3,3,0.42,0.48,1,1
hockey,world,friendly-international,1.30,38,6.33333333333333,6.33333333333333,1.2361,1.0000,1.53666666666667,0.2361,1.0000,6,6,0.21,0.27,1,1
rugby-league,australia,intrust-super-cup,1.20,28,9.33333333333333,9.33333333333333,1.1714,1.0000,1.55,0.1714,1.0000,3,3,0.1575,0.19,0.999999999999999,1
rugby-league,australia,nrl,1.20,24,6,6,1.1775,1.0000,1.065,0.1775,1.0000,4,4,0.14,0.2,1,1
rugby-union,england,greene-king-ipa-championship,1.30,21,7,7,1.2522,1.0000,1.78,0.2522,1.0000,3,3,0.235,0.266666666666667,1,1
soccer,australia,npl-victoria,1.40,24,4.8,4.8,1.3620,1.0000,1.732,0.3620,1.0000,5,5,0.325,0.4,0.999999999999999,1
soccer,australia,npl-western-australia,1.40,32,8,8,1.3848,1.0000,2.99,0.3848,1.0000,4,4,0.364,0.4,1,1
soccer,austria,tipico-bundesliga,1.50,24,4,4,1.4367,1.0000,1.74666666666667,0.4367,1.0000,6,6,0.41,0.48,1,1
soccer,canada,csl,1.20,28,7,7,1.1619,1.0000,1.1675,0.1619,1.0000,4,4,0.11,0.195,0.999999999999999,1
soccer,china,super-league,1.50,45,11.25,10,1.4471,0.9583,3.225,0.3846,0.8636,4,4,0.208333333333333,0.49,0.454545454545454,1
soccer,colombia,liga-aguila,1.50,26,8.66666666666667,8.66666666666667,1.4767,1.0000,4.12333333333333,0.4767,1.0000,3,3,0.43,0.5,1,1
soccer,croatia,1-hnl,1.20,21,7,7,1.1789,1.0000,1.17,0.1789,1.0000,3,3,0.146666666666667,0.2,1,1
soccer,czech-republic,cfl,1.40,25,6.25,6.25,1.3550,1.0000,2.2275,0.3550,1.0000,4,4,0.33,0.39,1,1
soccer,czech-republic,division-2,1.20,25,8.33333333333333,8.33333333333333,1.1767,1.0000,1.41666666666667,0.1767,1.0000,3,3,0.16,0.19,1,1
soccer,denmark,1st-division,1.40,34,6.8,6.8,1.3473,1.0000,2.372,0.3473,1.0000,5,5,0.33,0.36,1,1
soccer,england,championship,1.50,22,22,22,1.4700,1.0000,10.34,0.4700,1.0000,1,1,0.47,0.47,0.999999999999999,0.999999999999999
soccer,england,league-two,1.40,22,11,11,1.3950,1.0000,4.345,0.3950,1.0000,2,2,0.39,0.4,0.999999999999999,0.999999999999999
soccer,england,vanarama-national-league-south,1.20,20,20,20,1.1650,1.0000,3.3,0.1650,1.0000,1,1,0.165,0.165,0.999999999999997,0.999999999999997
soccer,england,vanarama-national-league,1.30,22,22,22,1.2600,1.0000,5.72,0.2600,1.0000,1,1,0.26,0.26,0.999999999999999,0.999999999999999
soccer,europe,bene-league-women,1.50,23,7.66666666666667,7,1.4569,0.9167,2.48333333333333,0.3319,0.7436,3,3,0.1125,0.45,0.230769230769231,1
soccer,europe,champions-league,1.30,20,5,5,1.2675,1.0000,1.3375,0.2675,1.0000,4,4,0.25,0.29,1,1
soccer,france,ligue-2,1.50,24,8,8,1.4233,1.0000,3.38666666666667,0.4233,1.0000,3,3,0.41,0.43,1,1
soccer,fyr-of-macedonia,first-league,1.30,44,7.33333333333333,7.33333333333333,1.2722,1.0000,1.91333333333333,0.2722,1.0000,6,6,0.238,0.29,1,1
soccer,germany,junioren-bundesliga-north,1.20,28,7,7,1.1563,1.0000,1.15,0.1563,1.0000,4,4,0.12,0.19,1,1
soccer,germany,junioren-bundesliga-south,1.30,32,4.57142857142857,4.57142857142857,1.2629,1.0000,1.17142857142857,0.2629,1.0000,7,7,0.21,0.3,1,1
soccer,germany,oberliga-baden-wurttemberg,1.40,20,10,10,1.3575,1.0000,3.565,0.3575,1.0000,2,2,0.355,0.36,1,1
soccer,germany,oberliga-bremen,1.20,20,5,5,1.1725,1.0000,0.8425,0.1725,1.0000,4,4,0.155,0.2,0.999999999999999,1
soccer,germany,oberliga-hamburg,1.30,21,10.5,10.5,1.2550,1.0000,2.73,0.2550,1.0000,2,2,0.24,0.27,1,1
soccer,germany,oberliga-hamburg,1.50,32,8,8,1.4875,1.0000,3.85,0.4875,1.0000,4,4,0.45,0.5,1,1
soccer,germany,oberliga-niedersachsen,1.20,20,6.66666666666667,6.66666666666667,1.1667,1.0000,1.13333333333333,0.1667,1.0000,3,3,0.14,0.18,1,1
soccer,germany,regionalliga-sudwest,1.20,28,14,14,1.1550,1.0000,2.17,0.1550,1.0000,2,2,0.115,0.195,0.999999999999999,1
soccer,germany,regionalliga-sudwest,1.50,42,14,14,1.4350,1.0000,6.09,0.4350,1.0000,3,3,0.42,0.455,1,1
soccer,greece,football-league,1.20,41,8.2,8.2,1.1700,1.0000,1.39,0.1700,1.0000,5,5,0.12,0.2,0.999999999999999,1
soccer,greece,super-league,1.20,21,7,7,1.1400,1.0000,1,0.1400,1.0000,3,3,0.12,0.15,1,1
soccer,italy,serie-b,1.20,60,20,20,1.1411,1.0000,2.93333333333333,0.1411,1.0000,3,3,0.11,0.173333333333333,0.999999999999999,1
soccer,japan,j-league,1.50,28,9.33333333333333,9.33333333333333,1.4500,1.0000,4.2,0.4500,1.0000,3,3,0.42,0.48,1,1
soccer,norway,division-2-group-2,1.30,24,8,8,1.2500,1.0000,2.04,0.2500,1.0000,3,3,0.23,0.26,1,1
soccer,norway,division-2-group-4,1.40,20,6.66666666666667,6.66666666666667,1.3500,1.0000,2.38666666666667,0.3500,1.0000,3,3,0.33,0.37,1,1
soccer,norway,obos-ligaen,1.40,20,6.66666666666667,6.66666666666667,1.3650,1.0000,2.48333333333333,0.3650,1.0000,3,3,0.35,0.395,1,1
soccer,portugal,primeira-liga,1.20,21,10.5,10.5,1.1900,1.0000,1.96,0.1900,1.0000,2,2,0.18,0.2,1,1
soccer,portugal,segunda-liga,1.40,22,22,22,1.3200,1.0000,7.04,0.3200,1.0000,1,1,0.32,0.32,1,1
soccer,portugal,taca-de-portugal,1.20,29,2.9,2.9,1.1553,1.0000,0.449,0.1553,1.0000,10,10,0.12,0.2,0.999999999999999,1
soccer,romania,liga-1,1.20,37,9.25,9.25,1.1888,1.0000,1.74,0.1888,1.0000,4,4,0.185,0.19,1,1
soccer,romania,liga-2-serie-2,1.30,22,5.5,5.5,1.2788,1.0000,1.4975,0.2788,1.0000,4,4,0.235,0.3,1,1
soccer,romania,liga-2-serie-2,1.40,25,6.25,6.25,1.3513,1.0000,2.1875,0.3513,1.0000,4,4,0.33,0.4,1,1
soccer,russia,division-1,1.20,34,8.5,8.5,1.1525,1.0000,1.2825,0.1525,1.0000,4,4,0.14,0.17,1,1
soccer,russia,division-2-south,1.40,30,7.5,7.5,1.3450,1.0000,2.595,0.3450,1.0000,4,4,0.33,0.37,1,1
soccer,russia,division-2-ural-povolzhye,1.30,24,6,6,1.2663,1.0000,1.5775,0.2663,1.0000,4,4,0.235,0.3,1,1
soccer,slovakia,2-liga-west,1.50,20,6.66666666666667,6.66666666666667,1.4617,1.0000,3.1,0.4617,1.0000,3,3,0.41,0.5,1,1
soccer,spain,laliga,1.20,32,16,16,1.1783,1.0000,2.76,0.1783,1.0000,2,2,0.166666666666667,0.19,1,1
soccer,spain,laliga2,1.30,20,10,10,1.2650,1.0000,2.65,0.2650,1.0000,2,2,0.24,0.29,1,1
soccer,sweden,division-1-norra,1.40,28,7,7,1.3581,1.0000,2.46,0.3581,1.0000,4,4,0.33,0.4,1,1
soccer,sweden,division-1-sodra,1.40,20,5,5,1.3500,1.0000,1.73,0.3500,1.0000,4,4,0.31,0.39,1,1
soccer,sweden,division-2-norra-svealand,1.50,28,5.6,5.6,1.4580,1.0000,2.548,0.4580,1.0000,5,5,0.415,0.49,1,1
soccer,sweden,superettan,1.40,20,5,5,1.3525,1.0000,1.7625,0.3525,1.0000,4,4,0.31,0.4,1,1
soccer,sweden,superettan,1.50,35,7,7,1.4450,1.0000,3.14,0.4450,1.0000,5,5,0.41,0.48,1,1
soccer,switzerland,super-league,1.40,20,5,5,1.3688,1.0000,1.8,0.3688,1.0000,4,4,0.325,0.39,1,1
soccer,thailand,thai-premier-league,1.30,21,7,7,1.2767,1.0000,1.94333333333333,0.2767,1.0000,3,3,0.25,0.3,1,1
soccer,turkey,super-lig,1.20,27,6.75,6.75,1.1625,1.0000,1.0875,0.1625,1.0000,4,4,0.13,0.2,1,1
soccer,turkey,tff-1-lig,1.20,21,21,21,1.1767,1.0000,3.71,0.1767,1.0000,1,1,0.176666666666667,0.176666666666667,1,1
soccer,turkey,tff-1-lig,1.50,49,16.3333333333333,16.3333333333333,1.4383,1.0000,7.16333333333333,0.4383,1.0000,3,3,0.43,0.445,0.999999999999999,1
soccer,venezuela,primera-division,1.50,22,11,11,1.4775,1.0000,5.25,0.4775,1.0000,2,2,0.475,0.48,1,1
soccer,wales,premier-league,1.20,21,7,7,1.1433,1.0000,0.99,0.1433,1.0000,3,3,0.11,0.18,0.999999999999999,1
soccer,wales,premier-league,1.30,32,5.33333333333333,5.33333333333333,1.2600,1.0000,1.39333333333333,0.2600,1.0000,6,6,0.22,0.3,1,1
soccer,world,friendly-international,1.20,22,5.5,5.5,1.1650,1.0000,0.975,0.1650,1.0000,4,4,0.14,0.19,1,1
soccer,world,friendly-international,1.40,45,9,9,1.3660,1.0000,3.262,0.3660,1.0000,5,5,0.31,0.4,0.999999999999999,1
soccer,world,world-cup,1.20,35,17.5,17.5,1.1500,1.0000,2.69,0.1500,1.0000,2,2,0.14,0.16,0.999999999999999,1
soccer,world,world-cup,1.40,22,11,11,1.3750,1.0000,4.125,0.3750,1.0000,2,2,0.35,0.4,0.999999999999999,1
soccer,world,world-cup,1.50,66,33,33,1.4625,1.0000,15.07,0.4625,1.0000,2,2,0.445,0.48,1,1
volleyball,argentina,serie-a1,1.30,51,8.5,8.5,1.2599,1.0000,2.13833333333333,0.2599,1.0000,6,6,0.2275,0.3,0.999999999999999,1
volleyball,china,cvl,1.20,39,9.75,9.75,1.1446,1.0000,1.3725,0.1446,1.0000,4,4,0.13,0.18,1,1
volleyball,finland,mestaruusliiga,1.30,48,9.6,9.6,1.2621,1.0000,2.478,0.2621,1.0000,5,5,0.234,0.286666666666667,0.999999999999998,1
volleyball,germany,2-bundesliga-north-women,1.40,29,9.66666666666667,9.66666666666667,1.3944,1.0000,3.8,0.3944,1.0000,3,3,0.383333333333333,0.4,0.999999999999999,1
volleyball,south-korea,volleyball-league,1.50,36,6,6,1.4594,1.0000,2.755,0.4594,1.0000,6,6,0.43,0.5,1,1
volleyball,world,world-championship,1.20,21,10.5,10.5,1.1500,1.0000,1.59,0.1500,1.0000,2,2,0.14,0.16,1,1
volleyball,world,world-championship,1.40,36,18,16.5,1.3400,0.9167,4.08,0.2267,0.6667,2,2,0.113333333333333,0.34,0.333333333333334,1
water-polo,italy,a1,1.30,23,5.75,5.75,1.2592,1.0000,1.4675,0.2592,1.0000,4,4,0.24,0.3,0.999999999999999,1
