Sport,Country,League Name,Margin,Total Records,Avg. Odd,Success Rate,Money Per Game,Kelly
american-football,usa,ncaa,1.30,507,1.2116,0.8757,0.0612,0.2885
baseball,italy,ibl,1.30,49,1.1900,0.8980,0.0708,0.3609
baseball,mexico,lmb,1.50,22,1.4750,1.0000,0.4750,1.0000
baseball,taiwan,cpbl,1.50,20,1.4420,0.8000,0.1660,0.3475
baseball,usa,il,1.50,42,1.4964,0.7381,0.1036,0.2105
basketball,africa,african-championship,1.50,20,1.4130,0.8000,0.1350,0.3157
basketball,argentina,liga-a,1.30,22,1.2250,1.0000,0.2250,1.0000
basketball,asia,abl,1.30,88,1.1688,0.9205,0.0683,0.4491
basketball,asia,asia-cup,1.30,161,1.0957,0.9255,0.0078,0.1468
basketball,asia,asia-cup,1.50,27,1.3904,0.8148,0.1374,0.3404
basketball,australia,nbl,1.50,54,1.3944,0.7778,0.0839,0.2144
basketball,australia,seabl-women,1.30,46,1.1439,0.9348,0.0683,0.4816
basketball,australia,seabl-women,1.50,44,1.4232,0.7500,0.0698,0.1592
basketball,austria,abl,1.30,139,1.1428,0.9065,0.0237,0.2516
basketball,austria,austria-cup,1.30,26,1.0731,1.0000,0.0731,1.0000
basketball,austria,zweite-liga,1.30,41,1.1044,0.9268,0.0144,0.2259
basketball,bahrain,premier-league,1.30,82,1.1451,0.9024,0.0241,0.2302
basketball,bahrain,premier-league,1.50,23,1.3778,0.9130,0.2561,0.6829
basketball,belgium,euromillions-basketball-league,1.30,101,1.1836,0.8911,0.0479,0.2978
basketball,china,cba,1.50,166,1.4037,0.7651,0.0687,0.1831
basketball,china,wcba-women,1.30,100,1.1468,0.9100,0.0436,0.2969
basketball,china,wcba-women,1.50,74,1.4138,0.7297,0.0305,0.0766
basketball,croatia,a1-liga,1.50,126,1.3974,0.7302,0.0224,0.0511
basketball,cyprus,division-a,1.50,20,1.4460,0.7500,0.0910,0.1895
basketball,denmark,basketligaen,1.30,195,1.1395,0.8821,0.0019,0.0368
basketball,denmark,dameligaen-women,1.30,26,1.1577,1.0000,0.1577,1.0000
basketball,europe,aba-league,1.30,80,1.1860,0.8500,-0.0015,0.0435
basketball,europe,bibl,1.30,37,1.1559,0.8919,0.0262,0.1987
basketball,europe,champions-league,1.50,28,1.3800,0.7500,0.0425,0.0921
basketball,europe,eurobasket-u16-b,1.50,20,1.3980,0.8000,0.1110,0.2975
